Survey_Round,CID,Community,WC1_Set1,WC1_Set2,WC1_Set3,WC1_TnoF,WC1_NoLO,WC1_NoPTNLO,WC1_NoCArr_2y,WC1_NoZ,WC1_Name1,WC1_Percent1,WC1_Name2,WC1_Percent2,WC1_Name3,WC1_Percent3,WC1_HAH_Acres,WC1_MAH_Acres,WC1_TAH_Acres,WC1_LH_FLargest,WC1_LH_Slargest,WC1_LH_TLargest,WC1_LO_IA,WC1_LO_IAHP,WC1_LO_OP,WC1_LO_OPHP,WC1_LO_Pol,WC1_LO_PolHP,WC1_FO,WC1_FOStart_y,WC1_FO_Init,WC1_FO_EWC,WC1_FO_HWC,WC1_FO_MWC,WC1_FO_TWC,WC1_FMnI_EWC,WC1_FMnI_HWC,WC1_FMnI_MWC,WC1_FMnI_TWC,WC1_FO_CoActive,WC1_FExchCT,WC1_FExchCT_Percent,WC1_FExchCT_Head,WC1_FExchCT_Mid,WC1_FExchCT_Tail,WC1_FSCT,WC1_FSCT_Percent,WC1_FSCT_Head,WC1_FSCT_Mid,WC1_FSCT_Tail,WC1_Lining_Init,WC1_OpenK_w,WC1_OpenR_w,WC2_Set1,WC2_Set2,WC2_Set3,WC2_TnoF,WC2_NoLO,WC2_NoPTNLO,WC2_NoCArr_2y,WC2_NoZ,WC2_Name1,WC2_Percent1,WC2_Name2,WC2_Percent2,WC2_Name3,WC2_Percent3,WC2_HAH_Acres,WC2_MAH_Acres,WC2_TAH_Acres,WC2_LH_FLargest,WC2_LH_Slargest,WC2_LH_TLargest,WC2_LO_IA,WC2_LO_IAHP,WC2_LO_OP,WC2_LO_OPHP,WC2_LO_Pol,WC2_LO_PolHP,WC2_FO,WC2_FOStart_y,WC2_FO_Init,WC2_FO_EWC,WC2_FO_HWC,WC2_FO_MWC,WC2_FO_TWC,WC2_FMnI_EWC,WC2_FMnI_HWC,WC2_FMnI_MWC,WC2_FMnI_TWC,WC2_FO_CoActive,WC2_FExchCT,WC2_FExchCT_Percent,WC2_FExchCT_Head,WC2_FExchCT_Mid,WC2_FExchCT_Tail,WC2_FSCT,WC2_FSCT_Percent,WC2_FSCT_Head,WC2_FSCT_Mid,S11_Q_23_C_WC2_TAIL,WC2_Lining_Init,WC3_Set1,WC3_Set2,WC3_Set3,WC3_TnoF,WC3_NoLO,WC3_NoPTNLO,WC3_NoCArr_2y,WC3_NoZ,WC3_Name1,WC3_Percent1,WC3_Name2,WC3_Percent2,WC3_Name3,WC3_Percent3,WC3_HAH_Acres,WC3_MAH_Acres,WC3_TAH_Acres,WC3_LH_FLargest,WC3_LH_Slargest,WC3_LH_TLargest,WC3_LO_IA,WC3_LO_IAHP,WC3_LO_OP,WC3_LO_OPHP,WC3_LO_Pol,WC3_LO_PolHP,WC3_FO,WC3_FOStart_y,WC3_FO_Init,WC3_FO_EWC,WC3_FO_HWC,WC3_FO_MWC,WC3_FO_TWC,WC3_FMnI_EWC,WC3_FMnI_HWC,WC3_FMnI_MWC,WC3_FMnI_TWC,WC3_FO_CoActive,WC3_FExchCT,WC3_FExchCT_Percent,WC3_FExchCT_Head,WC3_FExchCT_Mid,WC3_FExchCT_Tail,WC3_FSCT,WC3_FSCT_Percent,WC3_FSCT_Head,WC3_FSCT_Mid,WC3_FSCT_Tail,WC3_Lining_Init,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,Item_ID,WC_CanalFull_w,WC_CanalHalf_w,WC_CanalQuarter_w,WC_CanalEmpty_w,WC_CNotFull_Res
1,103061011,3,MURABBA 1-6,MURABBA 7-12,MURABBA 12-6,50.0,25.0,25.0,2.0,4.0,MAITLA,50.0,ARAIN,40.0,BHATTI,10.0,2.0,5.0,14.0,50.0,30.0,25.0,0.0,,0.0,,1.0,NAIB NAZIM,4.0,,,,,,,100.0,20.0,20.0,60.0,0.0,1.0,50.0,3.0,2.0,1.0,1.0,15.0,3.0,2.0,1.0,,21.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030610113.0,1,3,6,10,11,,,,,,
1,103071112,4,MURABA 1-12,MURABA 13-24,MURABA 25-36,85.0,75.0,10.0,3.0,13.0,PATHAN,80.0,BHATTI,15.0,SOLGI,5.0,15.0,8.0,4.0,50.0,35.0,30.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,10.0,15.0,75.0,0.0,1.0,20.0,3.0,2.0,1.0,1.0,15.0,3.0,2.0,1.0,2.0,20.0,26.0,MURABA 37-48,MURABA 49-60,MURABA 61-72,85.0,75.0,10.0,3.0,8.0,PATHAN,80.0,BHATTI,15.0,DHADHORE,5.0,10.0,6.0,3.0,55.0,40.0,25.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,10.0,25.0,65.0,0.0,1.0,20.0,3.0,2.0,1.0,1.0,15.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030711124.0,1,3,7,11,12,,,,,,
1,104081213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040812131.0,1,4,8,12,13,,,,,,
1,104081314,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040813142.0,1,4,8,13,14,,,,,,
1,104081415,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040814153.0,1,4,8,14,15,,,,,,
1,104091516,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040915164.0,1,4,9,15,16,,,,,,
1,105101617,1,SHAH PUR SANI,FADDA,NOOR PUR,215.0,150.0,20.0,10.0,3.0,SARAIKI,80.0,PUNJABI,10.0,URDU,10.0,3.0,5.0,2.0,93.0,40.0,15.0,0.0,,0.0,,0.0,,1.0,2008.0,1.0,25.0,15.0,5.0,5.0,100.0,40.0,30.0,30.0,1.0,0.0,,,,,0.0,,,,,2.0,17.0,25.0,SHAH PUR SANI,,,130.0,115.0,15.0,4.0,5.0,,80.0,,14.0,,6.0,25.0,50.0,25.0,50.0,45.0,40.0,0.0,,,,,,,,,,,,,100.0,50.0,25.0,25.0,0.0,0.0,,,,,0.0,,,,,,SHAH PUR SANI,,,180.0,130.0,50.0,3.0,3.0,,13.0,,12.0,,5.0,5.0,6.0,5.0,60.0,35.0,30.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,45.0,35.0,20.0,0.0,0.0,,,,,0.0,,,,,,1051016171.0,1,5,10,16,17,,,,,,
1,105101718,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051017182.0,1,5,10,17,18,,,,,,
1,105111819,3,CHAK 172 EB,DARAJUT,DARAGULAM,35.0,27.0,8.0,6.0,3.0,,60.0,,25.0,,15.0,3.0,3.0,7.0,75.0,20.0,10.0,0.0,,0.0,,0.0,5,4.0,,,,,,,100.0,40.0,30.0,30.0,0.0,0.0,,,,,0.0,,,,,,19.0,25.0,CHAK 172 EB,,,25.0,20.0,5.0,3.0,3.0,,70.0,,15.0,,15.0,5.0,4.0,5.0,25.0,20.0,18.0,0.0,,,,,,,,,,,,,100.0,40.0,30.0,30.0,0.0,0.0,,,,,0.0,,,,,,CHAK 172 EB,,,75.0,72.0,3.0,5.0,4.0,,50.0,,20.0,,10.0,2.0,5.0,6.0,50.0,30.0,25.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,33.0,33.0,34.0,0.0,0.0,,,,,0.0,,,,,,1051118193.0,1,5,11,18,19,,,,,,
1,105121920,4,CHAK 471 E.B,BASTI DARA,BASTI THEEM,300.0,285.0,15.0,5.0,3.0,,70.0,,20.0,,10.0,2.0,2.0,3.0,29.0,25.0,20.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,30.0,40.0,30.0,0.0,0.0,,,,,0.0,,,,,,18.0,24.0,CHAK 471 EB,,,150.0,140.0,10.0,3.0,4.0,,70.0,,15.0,,15.0,10.0,10.0,10.0,45.0,40.0,35.0,0.0,,,,,,,,,,,,,100.0,45.0,35.0,20.0,0.0,0.0,,,,,0.0,,,,,,CHAK 471 EB,,,200.0,175.0,25.0,4.0,5.0,,45.0,,20.0,,10.0,10.0,10.0,10.0,45.0,40.0,34.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,40.0,30.0,30.0,0.0,0.0,,,,,0.0,,,,,,1051219204.0,1,5,12,19,20,,,,,,
1,106132021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061320211.0,1,6,13,20,21,,,,,,
1,106132122,2,KEKAR WALA KHO,AGAY WALA KHO,BASTI GUJJAR,50.0,40.0,10.0,0.0,3.0,BHATTI,50.0,GUJJAR,30.0,DUBB,20.0,10.0,10.0,2.0,70.0,60.0,40.0,0.0,,0.0,,0.0,,4.0,,,,,,,50.0,20.0,20.0,10.0,0.0,0.0,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061321222.0,1,6,13,21,22,,,,,,
1,106142223,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061422233.0,1,6,14,22,23,,,,,,
1,106142324,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061423244.0,1,6,14,23,24,,,,,,
1,107152425,1,BASTI BIADAR KHAN,BASTI HAJI GHULAM ALI,BASTI FAQIR,45.0,30.0,15.0,0.0,4.0,GABOOL,70.0,BHIRMANI,20.0,MASUWANI,10.0,6.0,5.0,3.0,25.0,15.0,5.0,0.0,,1.0,TEACHER,0.0,,1.0,2009.0,1.0,100.0,30.0,40.0,30.0,100.0,30.0,40.0,30.0,1.0,0.0,,,,,0.0,,,,,30.0,8.0,16.0,BASTI PEER BAKSH,BASTI GHULAM SARWAR,BASTI GHULAM MUHAMMAD,50.0,45.0,5.0,0.0,5.0,RAMDANI,60.0,GABOOL,35.0,KHOSA,5.0,8.0,7.0,6.0,25.0,15.0,10.0,0.0,,0.0,,0.0,,1.0,2009.0,1.0,100.0,20.0,70.0,10.0,100.0,60.0,25.0,15.0,1.0,1.0,20.0,1.0,2.0,3.0,0.0,,,,,1.0,BASTI RAJBANI,BASTI HAJI FAQEER,BASTI HAJI KAMAL,25.0,25.0,0.0,0.0,3.0,GABOOL,60.0,HAJBANI,35.0,BHIRMANI,5.0,10.0,5.0,3.0,50.0,30.0,20.0,0.0,,0.0,,0.0,,1.0,2009.0,1.0,100.0,30.0,40.0,30.0,100.0,50.0,30.0,20.0,1.0,1.0,30.0,2.0,1.0,3.0,0.0,,,,,2.0,1071524251.0,1,7,15,24,25,,,,,,
1,107162526,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071625262.0,1,7,16,25,26,,,,,,
1,107162627,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHAN MUHAMMAD,MALOOK,JADA,120.0,90.0,30.0,0.0,3.0,,80.0,,10.0,,10.0,15.0,10.0,5.0,100.0,20.0,15.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,50.0,20.0,30.0,0.0,0.0,,,,,0.0,,,,,2.0,GAMAN WALA,WARHAY WALA,JIND WADA,150.0,100.0,50.0,0.0,7.0,,30.0,,20.0,,18.0,4.0,5.0,3.0,20.0,15.0,12.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,30.0,30.0,40.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,1071626273.0,1,7,16,26,27,,,,,,
1,107172728,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071727284.0,1,7,17,27,28,,,,,,
1,108182829,1,181/7R,1801/7R,,80.0,70.0,10.0,0.0,5.0,BALOCH,60.0,JUTT,30.0,ARAIN,10.0,3.0,2.0,5.0,30.0,15.0,10.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,30.0,40.0,30.0,0.0,0.0,,,,,0.0,,,,,2.0,16.0,16.0,181/7R,,,100.0,95.0,5.0,0.0,7.0,BALOCH,50.0,ARYIN,40.0,JUTT,10.0,10.0,8.0,5.0,28.0,18.0,12.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,30.0,40.0,30.0,0.0,0.0,,,,,0.0,,,,,2.0,181/7R,AZAFI BASTI 171/7R,,80.0,72.0,8.0,0.0,7.0,BALOCH,35.0,ARYIN,30.0,JUTT,20.0,3.0,4.0,5.0,32.0,18.0,12.5,1.0,BAILDAR,0.0,,0.0,,4.0,,,,,,,100.0,33.0,34.0,33.0,0.0,0.0,,,,,0.0,,,,,2.0,1081828291.0,1,8,18,28,29,,,,,,
1,108192930,2,NOOR JAHANIA,,,8.0,8.0,0.0,0.0,3.0,JOTEYA,50.0,BALOCH,30.0,SUPPRY,20.0,25.0,25.0,25.0,55.0,50.0,50.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,25.0,50.0,25.0,0.0,1.0,5.0,3.0,2.0,1.0,0.0,,,,,2.0,24.0,24.0,NOOR JAHANIA,,,20.0,15.0,5.0,0.0,8.0,JOTEYA,40.0,BALOCH,40.0,SUPPARY,20.0,10.0,10.0,10.0,35.0,23.0,10.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,33.0,34.0,33.0,0.0,1.0,10.0,3.0,1.0,2.0,0.0,,,,,2.0,NOOR JAHANIAN,,,25.0,23.0,2.0,0.0,6.0,JOTEYA,30.0,BALOCH,30.0,SUPPARY,25.0,6.0,8.0,5.0,15.0,10.0,9.0,0.0,,0.0,,0.0,,4.0,,,,,,,100.0,40.0,30.0,30.0,0.0,1.0,10.0,1.0,2.0,3.0,0.0,,,,,2.0,1081929302.0,1,8,19,29,30,,,,,,
