Survey_Round,CID,Community,CCI_NoHH,CCI_NoHH_5y,CCI_TP,CCI_TP_5y,CCI_RSI,CCI_RSI_FIntro,CCI_RSE,CCI_RSE_FIntro,CCI_NCMR,CCI_NC_Name,CCI_NC_DistKM,CCI_MoT,CCI_MoT_5y,CCI_MoT_NCTime,CCI_PT_VtNC,CCI_PTVtNC_5y,CCI_PTVtNC_CostRs,CCI_PTVtNC_CPPR_5y,CCI_HHMark,CCI_CC_DistKM,CCI_CC_Name,CCI_CC_TimeMins,CCI_CC_TimeMins_5y,CCI_PTVtCC,CCI_PTVtCC_5y,CCI_PTVtCC_CostRs,CCI_PTVtCC_CostRs_5y,CCI_PO_DistKM,CCI_PO_DistKM_5y,CCI_RS,CCI_RS_5y,CCI_VElec,CCI_VElec_5y,CCI_VElec_FIntro,CCI_NBEC,CCI_NBEC_5y,CCI_UnoffFees,CCI_UnoffFees_Cost,CCI_HHGas,CCI_HHGas_5y,CCI_HHGas_FIntro,CCI_HHSGas,CCI_HHSGas_5y,CCI_HHSGas_FIntro,CCI_Tele,CCI_Tele_5y,CCI_NBtele,CCI_Nbtele_5y,CCI_Cell,CCI_Cell_FIntro,CCI_Sew,CCI_Sew_FIntro,CCI_DS,CCI_DS_FIntro,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,CCI_HH_0Acer,CCI_HH_1Acer,CCI_HH_2Acer,CCI_HH_5Acer,CCI_HH_mt5Acer
1,103061011,3,45.0,40.0,400.0,300.0,5.0,2002.0,2.0,1990.0,0.0,MIAN CHANNU,10.0,4.0,4.0,30.0,1.0,1.0,30.0,20.0,1.0,13.0,MARKET COMMITTEE,25.0,25.0,1.0,1.0,20.0,12.0,2.0,2.0,0.0,0.0,1.0,1.0,1999.0,60.0,20.0,1.0,10.0,1.0,1.0,1995.0,0.0,0.0,,0.0,,,,1.0,2002.0,0.0,,0.0,,1030610113.0,1,3,6.0,10.0,11,,,,,
1,103071112,4,400.0,300.0,4500.0,4000.0,5.0,1999.0,2.0,1990.0,1.0,JAHANIAN,20.0,5.0,5.0,20.0,1.0,1.0,35.0,25.0,3.0,20.0,FOOD MARKET,25.0,30.0,1.0,1.0,40.0,30.0,2.0,2.0,0.0,0.0,1.0,1.0,1979.0,45.0,25.0,1.0,30.0,1.0,1.0,2005.0,0.0,0.0,,0.0,,,,1.0,2002.0,0.0,,0.0,,1030711124.0,1,3,7.0,11.0,12,,,,,
1,104081213,1,150.0,120.0,750.0,600.0,3.0,1993.0,2.0,1986.0,1.0,HAZRO,3.0,5.0,5.0,10.0,1.0,1.0,15.0,10.0,3.0,6.0,QUTBAL,15.0,15.0,1.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1993.0,30.0,30.0,1.0,5.0,1.0,1.0,1979.0,1.0,0.0,2008.0,1.0,1996.0,15.0,30.0,1.0,2005.0,1.0,1986.0,0.0,,1040812131.0,1,4,8.0,12.0,13,,,,,
1,104081314,2,639.0,550.0,2500.0,2000.0,3.0,1984.0,2.0,1984.0,1.0,ATTOCK,12.0,5.0,5.0,20.0,1.0,1.0,20.0,12.0,1.0,12.0,KAMRA,15.0,15.0,1.0,1.0,20.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,30.0,30.0,1.0,2.0,1.0,1.0,1979.0,1.0,1.0,2006.0,1.0,1996.0,30.0,30.0,1.0,2000.0,0.0,,0.0,,1040813142.0,1,4,8.0,13.0,14,,,,,
1,104081415,3,150.0,135.0,700.0,600.0,3.0,1979.0,2.0,1979.0,1.0,HAZRO,13.0,5.0,3.0,20.0,1.0,1.0,30.0,20.0,2.0,3.0,GONDAL,10.0,15.0,1.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1987.0,60.0,30.0,1.0,50.0,1.0,1.0,1979.0,0.0,0.0,,1.0,1990.0,15.0,60.0,1.0,2004.0,1.0,1992.0,0.0,,1040814153.0,1,4,8.0,14.0,15,,,,,
1,104091516,4,600.0,470.0,3000.0,1800.0,3.0,1984.0,2.0,1979.0,1.0,FATEH JANH,14.0,5.0,5.0,20.0,1.0,1.0,20.0,10.0,3.0,14.0,FATEH JANG,20.0,20.0,1.0,1.0,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1979.0,30.0,30.0,1.0,5.0,1.0,1.0,1990.0,1.0,0.0,2008.0,1.0,1988.0,2.0,30.0,1.0,2004.0,1.0,1992.0,0.0,,1040915164.0,1,4,9.0,15.0,16,,,,,
1,105101617,1,600.0,500.0,2100.0,1800.0,1.0,1979.0,1.0,1979.0,0.0,MAIL SI 10,10.0,8.0,3.0,20.0,0.0,0.0,,,3.0,10.0,MAILS SI 10,20.0,60.0,1.0,0.0,25.0,,10.0,0.0,0.0,0.0,1.0,1.0,1982.0,60.0,150.0,1.0,5.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2002.0,0.0,,0.0,,1051016171.0,1,5,10.0,16.0,17,,,,,
1,105101718,2,300.0,260.0,1500.0,1200.0,1.0,1979.0,2.0,1979.0,1.0,MAILSI,15.0,6.0,5.0,60.0,0.0,0.0,,,3.0,15.0,MAILSI,60.0,70.0,1.0,1.0,40.0,25.0,15.0,15.0,0.0,0.0,1.0,1.0,1992.0,60.0,60.0,1.0,15.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1051017182.0,1,5,10.0,17.0,18,,,,,
1,105111819,3,57.0,50.0,700.0,400.0,1.0,1990.0,2.0,1979.0,1.0,BUREWALA,22.0,4.0,3.0,120.0,1.0,0.0,80.0,,3.0,22.0,BUREWALA,120.0,180.0,1.0,0.0,25.0,,35.0,0.0,0.0,0.0,1.0,1.0,1979.0,180.0,180.0,1.0,50.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1051118193.0,1,5,11.0,18.0,19,,,,,
1,105121920,4,553.0,400.0,3000.0,2400.0,1.0,1993.0,1.0,1985.0,1.0,BUREWALA,11.0,8.0,8.0,20.0,0.0,0.0,,,3.0,11.0,BUREWALA,60.0,100.0,1.0,1.0,30.0,20.0,11.0,0.0,0.0,0.0,1.0,1.0,1986.0,365.0,200.0,0.0,,1.0,0.0,2005.0,0.0,0.0,,0.0,,,,1.0,2006.0,0.0,,0.0,,1051219204.0,1,5,12.0,19.0,20,,,,,
1,106132021,1,275.0,275.0,3500.0,3000.0,1.0,1979.0,1.0,1979.0,0.0,SHORKOT,8.0,4.0,4.0,60.0,1.0,1.0,20.0,10.0,3.0,60.0,SHORKOT,60.0,60.0,1.0,1.0,20.0,5.0,1.5,1.5,0.0,0.0,1.0,1.0,2001.0,60.0,90.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1061320211.0,1,6,13.0,20.0,21,,,,,
1,106132122,2,150.0,130.0,1000.0,600.0,1.0,1979.0,2.0,1979.0,1.0,GARHMOR,2.0,4.0,4.0,10.0,1.0,1.0,15.0,10.0,3.0,2.0,GARHMUR,10.0,10.0,1.0,1.0,15.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,1987.0,150.0,150.0,1.0,10.0,1.0,1.0,2001.0,0.0,0.0,,0.0,,,,1.0,2001.0,0.0,,0.0,,1061321222.0,1,6,13.0,21.0,22,,,,,
1,106142223,3,400.0,350.0,3000.0,2000.0,1.0,1979.0,2.0,1979.0,1.0,ATHAR HAZARI,30.0,4.0,4.0,60.0,1.0,1.0,40.0,25.0,3.0,30.0,ATHAR HAZARI,60.0,60.0,1.0,1.0,40.0,25.0,5.0,5.0,0.0,0.0,1.0,1.0,1979.0,60.0,60.0,1.0,10.0,1.0,1.0,2005.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1061422233.0,1,6,14.0,22.0,23,,,,,
1,106142324,4,200.0,180.0,2500.0,2100.0,1.0,1979.0,1.0,1979.0,0.0,KOT SHAKIR,10.0,6.0,6.0,30.0,1.0,1.0,25.0,10.0,3.0,70.0,JHANG,120.0,120.0,1.0,1.0,100.0,70.0,3.0,3.0,0.0,0.0,1.0,1.0,1993.0,30.0,30.0,1.0,10.0,1.0,0.0,2008.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1061423244.0,1,6,14.0,23.0,24,,,,,
1,107152425,1,150.0,100.0,1000.0,700.0,5.0,2009.0,2.0,2000.0,1.0,CHOTI ZAREEN,2.0,8.0,8.0,15.0,0.0,0.0,,,3.0,35.0,D G KHAN,60.0,100.0,1.0,1.0,50.0,25.0,2.0,2.0,0.0,0.0,1.0,1.0,1989.0,15.0,30.0,1.0,7.0,1.0,1.0,2005.0,0.0,0.0,,1.0,2004.0,15.0,30.0,1.0,2002.0,0.0,,0.0,,1071524251.0,1,7,15.0,24.0,25,,,,,
1,107162526,2,300.0,200.0,4000.0,2500.0,1.0,1979.0,2.0,1979.0,1.0,D G KHAN,40.0,6.0,6.0,50.0,1.0,1.0,60.0,25.0,3.0,40.0,D G KHAN,60.0,60.0,1.0,1.0,70.0,25.0,2.0,2.0,0.0,0.0,1.0,1.0,1985.0,30.0,30.0,1.0,15.0,1.0,1.0,1979.0,0.0,0.0,,0.0,,,,1.0,1998.0,0.0,,0.0,,1071625262.0,1,7,16.0,25.0,26,,,,,
1,107162627,3,300.0,200.0,3000.0,2000.0,5.0,2008.0,2.0,2000.0,1.0,D G KHAN,10.0,4.0,4.0,25.0,1.0,1.0,30.0,15.0,3.0,12.0,D G KHAN,25.0,25.0,1.0,1.0,30.0,15.0,3.0,3.0,0.0,0.0,1.0,1.0,1987.0,45.0,60.0,1.0,30.0,1.0,1.0,1979.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1071626273.0,1,7,16.0,26.0,27,,,,,
1,107172728,4,400.0,300.0,5100.0,3800.0,1.0,2000.0,2.0,2000.0,1.0,TAUNSA,28.0,6.0,6.0,90.0,1.0,1.0,60.0,45.0,3.0,30.0,TAUNSA,90.0,80.0,1.0,1.0,60.0,45.0,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1979.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1071727284.0,1,7,17.0,27.0,28,,,,,
1,108182829,1,162.0,120.0,1500.0,1000.0,1.0,,3.0,2007.0,1.0,FORT ABBAS,20.0,6.0,6.0,30.0,1.0,1.0,25.0,15.0,3.0,20.0,FORT ABBAS,30.0,30.0,1.0,1.0,25.0,15.0,3.0,3.0,0.0,0.0,1.0,1.0,1979.0,43.0,30.0,0.0,,1.0,0.0,2009.0,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1081828291.0,1,8,18.0,28.0,29,,,,,
1,108192930,2,100.0,80.0,1300.0,1000.0,1.0,1979.0,1.0,1979.0,0.0,HURAN ABAD,22.0,8.0,4.0,40.0,1.0,1.0,30.0,10.0,3.0,22.0,GALIA MANDI HURAN ABAD,40.0,40.0,1.0,1.0,60.0,20.0,20.0,20.0,0.0,0.0,1.0,1.0,2010.0,60.0,30.0,1.0,10.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2006.0,0.0,,0.0,,1081929302.0,1,8,19.0,29.0,30,,,,,
1,108203031,3,400.0,300.0,2800.0,2000.0,4.0,2000.0,2.0,2000.0,1.0,CHISHTIAN,18.0,8.0,3.0,30.0,1.0,1.0,40.0,20.0,3.0,18.0,CHISHTIAN,30.0,30.0,1.0,1.0,40.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,40.0,30.0,1.0,10.0,1.0,0.0,2008.0,0.0,0.0,,0.0,,,,1.0,2006.0,1.0,2004.0,0.0,,1082030313.0,1,8,20.0,30.0,31,,,,,
1,108213132,4,235.0,185.0,1700.0,1300.0,1.0,,2.0,2004.0,1.0,MANDI SADIQ GUNG,3.0,8.0,8.0,5.0,1.0,1.0,20.0,10.0,3.0,3.0,GULA MANDI SADIQ GUNG,8.0,8.0,0.0,0.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1990.0,90.0,45.0,1.0,25.0,1.0,0.0,2008.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1082131324.0,1,8,21.0,31.0,32,,,,,
1,109223233,1,220.0,180.0,3000.0,2000.0,5.0,2003.0,3.0,2002.0,1.0,LIAQUAT PUR,1.0,1.0,1.0,15.0,0.0,0.0,,,3.0,2.0,RAILWAY MARKET,25.0,25.0,0.0,0.0,,,1.5,1.5,1.0,1.0,1.0,1.0,1979.0,45.0,20.0,1.0,10.0,1.0,1.0,2002.0,1.0,0.0,2011.0,0.0,,,,1.0,2002.0,1.0,2000.0,0.0,,1092232331.0,1,9,22.0,32.0,33,,,,,
1,109223334,2,1172.0,900.0,4623.0,3500.0,1.0,2007.0,3.0,1998.0,1.0,JAN PUR,3.0,1.0,1.0,30.0,0.0,0.0,,,3.0,27.0,LIAQUAT PUR,60.0,120.0,1.0,0.0,60.0,,4.0,1.0,0.0,0.0,1.0,0.0,2009.0,60.0,,1.0,20.0,1.0,0.0,2010.0,0.0,0.0,,0.0,,,,1.0,2010.0,0.0,,0.0,,1092233342.0,1,9,22.0,33.0,34,,,,,
1,109233435,3,300.0,280.0,1500.0,1400.0,1.0,1979.0,2.0,2010.0,1.0,JEHTA BHUTTA,3.0,1.0,1.0,35.0,0.0,0.0,,,1.0,10.0,KHAN PUR,60.0,60.0,1.0,1.0,30.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,1992.0,30.0,90.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2000.0,0.0,,0.0,,1092334353.0,1,9,23.0,34.0,35,,,,,
1,109233536,4,90.0,80.0,700.0,500.0,1.0,1979.0,1.0,1979.0,1.0,KHAN PUR,20.0,8.0,5.0,35.0,0.0,0.0,,,3.0,20.0,KHAN PUR,35.0,35.0,0.0,1.0,,30.0,5.0,5.0,0.0,0.0,1.0,1.0,1996.0,120.0,60.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1092335364.0,1,9,23.0,35.0,36,,,,,
1,110243637,1,175.0,225.0,1200.0,900.0,1.0,1979.0,2.0,1979.0,1.0,JALAL PUR,22.0,8.0,3.0,26.0,0.0,0.0,,,3.0,22.0,JALALPUR,60.0,60.0,0.0,0.0,,,5.0,5.0,0.0,0.0,1.0,1.0,2000.0,60.0,30.0,1.0,20.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2008.0,0.0,,0.0,,1102436371.0,1,10,24.0,36.0,37,,,,,
1,110243738,2,600.0,400.0,4000.0,3000.0,1.0,1979.0,5.0,2007.0,1.0,JALAL PUR PIR WALA,13.0,8.0,3.0,20.0,1.0,1.0,30.0,15.0,3.0,13.0,JALAL PUR PIR WALA,20.0,60.0,1.0,1.0,30.0,15.0,5.0,5.0,0.0,0.0,1.0,1.0,2007.0,50.0,30.0,1.0,50.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1102437382.0,1,10,24.0,37.0,38,,,,,
1,110243839,3,200.0,180.0,1900.0,1500.0,5.0,2008.0,2.0,1987.0,1.0,JALAL PUR PIR WALA,23.0,8.0,8.0,30.0,0.0,0.0,,,3.0,23.0,JALAL PUR PIR WALA,30.0,30.0,1.0,1.0,30.0,30.0,12.0,12.0,0.0,0.0,1.0,1.0,1985.0,30.0,50.0,1.0,70.0,1.0,1.0,2005.0,0.0,0.0,,0.0,,,,1.0,2006.0,0.0,,0.0,,1102438393.0,1,10,24.0,38.0,39,,,,,
1,110253940,4,300.0,200.0,3000.0,2250.0,5.0,1979.0,2.0,1979.0,1.0,MULTAN,14.0,5.0,6.0,25.0,0.0,0.0,,,3.0,14.0,MULTAN,25.0,40.0,0.0,0.0,,,5.0,5.0,0.0,0.0,1.0,1.0,1992.0,30.0,30.0,1.0,20.0,0.0,0.0,,0.0,0.0,,1.0,2000.0,1.0,7.0,1.0,2007.0,0.0,,0.0,,1102539404.0,1,10,25.0,39.0,40,,,,,
1,111264041,1,1400.0,1300.0,15000.0,13000.0,5.0,1979.0,2.0,1979.0,1.0,JARANWALA,18.0,6.0,6.0,45.0,1.0,1.0,30.0,15.0,3.0,18.0,KHURANIWALA,20.0,20.0,1.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,20.0,25.0,1.0,10.0,1.0,1.0,1996.0,1.0,1.0,1997.0,1.0,1993.0,5.0,10.0,1.0,2003.0,1.0,1979.0,1.0,2009.0,1112640411.0,1,11,26.0,40.0,41,,,,,
1,111274142,2,500.0,450.0,5000.0,4500.0,5.0,1997.0,2.0,1988.0,1.0,SAMUNDARI,20.0,8.0,6.0,50.0,1.0,1.0,40.0,20.0,3.0,24.0,GOJRA,60.0,60.0,1.0,1.0,50.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,60.0,60.0,1.0,50.0,1.0,1.0,2006.0,0.0,0.0,,0.0,,,,1.0,1997.0,1.0,1990.0,0.0,,1112741422.0,1,11,27.0,41.0,42,,,,,
1,111274243,3,500.0,400.0,3000.0,2600.0,1.0,1979.0,2.0,1979.0,1.0,SAMUNDARI,21.0,8.0,3.0,60.0,1.0,1.0,50.0,35.0,3.0,21.0,SAMUNDRI,60.0,90.0,1.0,1.0,50.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1991.0,45.0,45.0,0.0,,1.0,0.0,2010.0,0.0,0.0,,0.0,,,,1.0,2008.0,1.0,1991.0,0.0,,1112742433.0,1,11,27.0,42.0,43,,,,,
1,111284344,4,500.0,450.0,6000.0,4500.0,5.0,1991.0,2.0,1996.0,1.0,MAMU KANJAN,8.0,8.0,3.0,15.0,1.0,1.0,18.0,10.0,3.0,8.0,MAMU KANJAN,15.0,30.0,1.0,1.0,18.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1991.0,30.0,30.0,1.0,10.0,1.0,1.0,2005.0,0.0,0.0,,1.0,2000.0,5.0,4.0,1.0,2004.0,0.0,,0.0,,1112843444.0,1,11,28.0,43.0,44,,,,,
1,112294445,1,70.0,50.0,400.0,350.0,1.0,1979.0,1.0,1979.0,1.0,SIAL MORE,3.5,4.0,4.0,15.0,1.0,1.0,15.0,10.0,3.0,3.5,SIAL MORE,15.0,15.0,1.0,1.0,15.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2006.0,45.0,45.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2000.0,0.0,,0.0,,1122944451.0,1,12,29.0,44.0,45,,,,,
1,112304546,2,210.0,170.0,1200.0,1050.0,5.0,1985.0,2.0,1979.0,0.0,SHAH PUR,3.0,4.0,4.0,14.0,1.0,1.0,15.0,10.0,3.0,3.0,SHAH PUR,14.0,14.0,1.0,1.0,15.0,10.0,3.0,3.0,1.0,1.0,1.0,1.0,1979.0,30.0,30.0,0.0,,1.0,1.0,2004.0,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1123045462.0,1,12,30.0,45.0,46,,,,,
1,112304647,3,59.0,45.0,350.0,250.0,1.0,1979.0,2.0,2007.0,0.0,SAHIWAL,16.0,3.0,3.0,90.0,0.0,0.0,,,3.0,4.0,GONDAL,20.0,20.0,0.0,0.0,,,4.0,4.0,0.0,0.0,1.0,1.0,1993.0,60.0,90.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1123046473.0,1,12,30.0,46.0,47,,,,,
1,112314748,4,450.0,400.0,2500.0,2200.0,5.0,1985.0,2.0,1979.0,1.0,SILLAN WALI,10.0,6.0,6.0,25.0,1.0,1.0,20.0,15.0,3.0,10.0,SILLAN WALI,25.0,25.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1979.0,30.0,45.0,0.0,,1.0,1.0,2000.0,0.0,0.0,,1.0,1998.0,20.0,20.0,1.0,2003.0,0.0,,0.0,,1123147484.0,1,12,31.0,47.0,48,,,,,
1,213324849,1,90.0,75.0,1200.0,1000.0,1.0,,1.0,1979.0,0.0,GUJO,6.0,8.0,2.0,10.0,0.0,0.0,,,3.0,6.0,GUJO,10.0,40.0,0.0,0.0,,,6.0,6.0,0.0,0.0,0.0,1.0,1988.0,,10.0,,,1.0,0.0,2010.0,0.0,0.0,,0.0,,,,1.0,2008.0,0.0,,0.0,,2133248491.0,2,13,32.0,48.0,49,,,,,
1,213324950,2,70.0,50.0,400.0,300.0,1.0,,2.0,2009.0,1.0,LAIT STOP,3.0,8.0,8.0,7.0,0.0,0.0,,,3.0,7.0,GHARO,30.0,30.0,1.0,1.0,20.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2009.0,0.0,,0.0,,2133249502.0,2,13,32.0,49.0,50,,,,,
1,213324952,3,79.0,65.0,600.0,450.0,1.0,,2.0,2000.0,1.0,GHARO,20.0,6.0,2.0,20.0,1.0,1.0,20.0,10.0,1.0,100.0,SOHRAB GOTH,120.0,150.0,1.0,1.0,120.0,150.0,20.0,20.0,0.0,0.0,1.0,0.0,2009.0,30.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2006.0,1.0,2011.0,0.0,,2133249523.0,2,13,32.0,49.0,52,,,,,
