CID,FID,CCI_CC_DistKM,CCI_CC_Name,CCI_CC_TimeMins,CCI_CC_TimeMins_5y,CCI_Cell,CCI_Cell_FIntro,CCI_DS,CCI_DS_FIntro,CCI_HHGas,CCI_HHGas_5y,CCI_HHGas_FIntro,CCI_HHMark,CCI_HHSGas,CCI_HHSGas_5y,CCI_HHSGas_FIntro,CCI_HH_0Acer,CCI_HH_1Acer,CCI_HH_2Acer,CCI_HH_5Acer,CCI_HH_mt5Acer,CCI_MoT,CCI_MoT_5y,CCI_MoT_NCTime,CCI_NBEC,CCI_NBEC_5y,CCI_NBtele,CCI_NCMR,CCI_NC_DistKM,CCI_NC_Name,CCI_Nbtele_5y,CCI_NoHH,CCI_NoHH_5y,CCI_PO_DistKM,CCI_PO_DistKM_5y,CCI_PTVtCC,CCI_PTVtCC_5y,CCI_PTVtCC_CostRs,CCI_PTVtCC_CostRs_5y,CCI_PTVtNC_5y,CCI_PTVtNC_CPPR_5y,CCI_PTVtNC_CostRs,CCI_PT_VtNC,CCI_RS,CCI_RSE,CCI_RSE_FIntro,CCI_RSI,CCI_RSI_FIntro,CCI_RS_5y,CCI_Sew,CCI_Sew_FIntro,CCI_TP,CCI_TP_5y,CCI_Tele,CCI_Tele_5y,CCI_UnoffFees,CCI_UnoffFees_Cost,CCI_VElec,CCI_VElec_5y,CCI_VElec_FIntro,Community,D_ID,M_ID,P_ID,Survey_Round,T_ID,UC_ID
103061011.0,1030610113.0,13.0,MARKET COMMITTEE,25.0,25.0,1.0,2002.0,0.0,0.0,1.0,1.0,1995.0,1.0,0.0,0.0,0.0,20.0,8.0,6.0,5.0,6.0,4.0,4.0,30.0,60.0,20.0,0.0,0.0,10.0,MIAN CHANNU,0.0,45.0,40.0,2.0,2.0,1.0,1.0,20.0,12.0,1.0,20.0,30.0,1.0,0.0,2.0,1990.0,5.0,2002.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,1.0,10.0,1.0,1.0,1999.0,6.0,6.0,22.0,2.0,2.0,6.0,10.0
103071112.0,1030711124.0,20.0,FOOD MARKET,25.0,30.0,1.0,2002.0,0.0,0.0,1.0,1.0,2005.0,3.0,0.0,0.0,0.0,250.0,50.0,40.0,40.0,20.0,5.0,5.0,20.0,45.0,25.0,0.0,1.0,20.0,JAHANIAN,0.0,400.0,300.0,2.0,2.0,1.0,1.0,40.0,30.0,1.0,25.0,35.0,1.0,0.0,2.0,1990.0,5.0,1999.0,0.0,0.0,0.0,4500.0,4000.0,0.0,0.0,1.0,30.0,1.0,1.0,1979.0,8.0,6.0,24.0,2.0,2.0,7.0,11.0
104081213.0,1040812131.0,6.0,QUTBAL,15.0,15.0,1.0,2005.0,0.0,0.0,1.0,1.0,1979.0,3.0,1.0,0.0,2008.0,30.0,68.0,30.0,15.0,7.0,5.0,5.0,10.0,30.0,30.0,15.0,1.0,3.0,HAZRO,30.0,150.0,120.0,0.0,0.0,1.0,1.0,20.0,20.0,1.0,10.0,15.0,1.0,0.0,2.0,1986.0,3.0,1993.0,0.0,1.0,1986.0,750.0,600.0,1.0,1996.0,1.0,5.0,1.0,1.0,1993.0,2.0,8.0,26.0,2.0,2.0,8.0,12.0
104081314.0,1040813142.0,12.0,KAMRA,15.0,15.0,1.0,2000.0,0.0,0.0,1.0,1.0,1979.0,1.0,1.0,1.0,2006.0,320.0,32.0,95.0,192.0,0.0,5.0,5.0,20.0,30.0,30.0,30.0,1.0,12.0,ATTOCK,30.0,639.0,550.0,0.0,0.0,1.0,1.0,20.0,10.0,1.0,12.0,20.0,1.0,0.0,2.0,1984.0,3.0,1984.0,0.0,0.0,0.0,2500.0,2000.0,1.0,1996.0,1.0,2.0,1.0,1.0,1979.0,4.0,8.0,28.0,2.0,2.0,8.0,13.0
104081415.0,1040814153.0,3.0,GONDAL,10.0,15.0,1.0,2004.0,0.0,0.0,1.0,1.0,1979.0,2.0,0.0,0.0,0.0,53.0,50.0,25.0,14.0,8.0,5.0,3.0,20.0,60.0,30.0,15.0,1.0,13.0,HAZRO,60.0,150.0,135.0,0.0,0.0,1.0,1.0,10.0,5.0,1.0,20.0,30.0,1.0,0.0,2.0,1979.0,3.0,1979.0,0.0,1.0,1992.0,700.0,600.0,1.0,1990.0,1.0,50.0,1.0,1.0,1987.0,6.0,8.0,30.0,2.0,2.0,8.0,14.0
104091516.0,1040915164.0,14.0,FATEH JANG,20.0,20.0,1.0,2004.0,0.0,0.0,1.0,1.0,1990.0,3.0,1.0,0.0,2008.0,312.0,24.0,36.0,180.0,48.0,5.0,5.0,20.0,30.0,30.0,2.0,1.0,14.0,FATEH JANH,30.0,600.0,470.0,0.0,0.0,1.0,1.0,20.0,20.0,1.0,10.0,20.0,1.0,1.0,2.0,1979.0,3.0,1984.0,1.0,1.0,1992.0,3000.0,1800.0,1.0,1988.0,1.0,5.0,1.0,1.0,1979.0,8.0,8.0,32.0,2.0,2.0,9.0,15.0
105101617.0,1051016171.0,10.0,MAILS SI 10,20.0,60.0,1.0,2002.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,554.0,25.0,10.0,6.0,5.0,8.0,3.0,20.0,60.0,150.0,0.0,0.0,10.0,MAIL SI 10,0.0,600.0,500.0,10.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,2100.0,1800.0,0.0,0.0,1.0,5.0,1.0,1.0,1982.0,2.0,10.0,34.0,2.0,2.0,10.0,16.0
105101718.0,1051017182.0,15.0,MAILSI,60.0,70.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,265.0,0.0,15.0,10.0,10.0,6.0,5.0,60.0,60.0,60.0,0.0,1.0,15.0,MAILSI,0.0,300.0,260.0,15.0,15.0,1.0,1.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,1979.0,1.0,1979.0,0.0,0.0,0.0,1500.0,1200.0,0.0,0.0,1.0,15.0,1.0,1.0,1992.0,4.0,10.0,36.0,2.0,2.0,10.0,17.0
105111819.0,1051118193.0,22.0,BUREWALA,120.0,180.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,30.0,15.0,5.0,4.0,3.0,120.0,180.0,180.0,0.0,1.0,22.0,BUREWALA,0.0,57.0,50.0,35.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,80.0,1.0,0.0,2.0,1979.0,1.0,1990.0,0.0,0.0,0.0,700.0,400.0,0.0,0.0,1.0,50.0,1.0,1.0,1979.0,6.0,10.0,38.0,2.0,2.0,11.0,18.0
105121920.0,1051219204.0,11.0,BUREWALA,60.0,100.0,1.0,2006.0,0.0,0.0,1.0,0.0,2005.0,3.0,0.0,0.0,0.0,438.0,25.0,50.0,30.0,10.0,8.0,8.0,20.0,365.0,200.0,0.0,1.0,11.0,BUREWALA,0.0,553.0,400.0,11.0,0.0,1.0,1.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1985.0,1.0,1993.0,0.0,0.0,0.0,3000.0,2400.0,0.0,0.0,0.0,0.0,1.0,1.0,1986.0,8.0,10.0,40.0,2.0,2.0,12.0,19.0
106132021.0,1061320211.0,60.0,SHORKOT,60.0,60.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,215.0,20.0,20.0,10.0,10.0,4.0,4.0,60.0,60.0,90.0,0.0,0.0,8.0,SHORKOT,0.0,275.0,275.0,1.5,1.5,1.0,1.0,20.0,5.0,1.0,10.0,20.0,1.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,3500.0,3000.0,0.0,0.0,0.0,0.0,1.0,1.0,2001.0,2.0,12.0,42.0,2.0,2.0,13.0,20.0
106132122.0,1061321222.0,2.0,GARHMUR,10.0,10.0,1.0,2001.0,0.0,0.0,1.0,1.0,2001.0,3.0,0.0,0.0,0.0,60.0,30.0,40.0,10.0,10.0,4.0,4.0,10.0,150.0,150.0,0.0,1.0,2.0,GARHMOR,0.0,150.0,130.0,2.0,2.0,1.0,1.0,15.0,5.0,1.0,10.0,15.0,1.0,0.0,2.0,1979.0,1.0,1979.0,0.0,0.0,0.0,1000.0,600.0,0.0,0.0,1.0,10.0,1.0,1.0,1987.0,4.0,12.0,44.0,2.0,2.0,13.0,21.0
106142223.0,1061422233.0,30.0,ATHAR HAZARI,60.0,60.0,1.0,2005.0,0.0,0.0,1.0,1.0,2005.0,3.0,0.0,0.0,0.0,280.0,20.0,40.0,40.0,20.0,4.0,4.0,60.0,60.0,60.0,0.0,1.0,30.0,ATHAR HAZARI,0.0,400.0,350.0,5.0,5.0,1.0,1.0,40.0,25.0,1.0,25.0,40.0,1.0,0.0,2.0,1979.0,1.0,1979.0,0.0,0.0,0.0,3000.0,2000.0,0.0,0.0,1.0,10.0,1.0,1.0,1979.0,6.0,12.0,46.0,2.0,2.0,14.0,22.0
106142324.0,1061423244.0,70.0,JHANG,120.0,120.0,1.0,2005.0,0.0,0.0,1.0,0.0,2008.0,3.0,0.0,0.0,0.0,150.0,10.0,10.0,10.0,20.0,6.0,6.0,30.0,30.0,30.0,0.0,0.0,10.0,KOT SHAKIR,0.0,200.0,180.0,3.0,3.0,1.0,1.0,100.0,70.0,1.0,10.0,25.0,1.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,2500.0,2100.0,0.0,0.0,1.0,10.0,1.0,1.0,1993.0,8.0,12.0,48.0,2.0,2.0,14.0,23.0
107152425.0,1071524251.0,35.0,D G KHAN,60.0,100.0,1.0,2002.0,0.0,0.0,1.0,1.0,2005.0,3.0,0.0,0.0,0.0,35.0,30.0,40.0,20.0,25.0,8.0,8.0,15.0,15.0,30.0,15.0,1.0,2.0,CHOTI ZAREEN,30.0,150.0,100.0,2.0,2.0,1.0,1.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,2000.0,5.0,2009.0,0.0,0.0,0.0,1000.0,700.0,1.0,2004.0,1.0,7.0,1.0,1.0,1989.0,2.0,14.0,50.0,2.0,2.0,15.0,24.0
107162526.0,1071625262.0,40.0,D G KHAN,60.0,60.0,1.0,1998.0,0.0,0.0,1.0,1.0,1979.0,3.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,5.0,6.0,6.0,50.0,30.0,30.0,0.0,1.0,40.0,D G KHAN,0.0,300.0,200.0,2.0,2.0,1.0,1.0,70.0,25.0,1.0,25.0,60.0,1.0,0.0,2.0,1979.0,1.0,1979.0,0.0,0.0,0.0,4000.0,2500.0,0.0,0.0,1.0,15.0,1.0,1.0,1985.0,4.0,14.0,52.0,2.0,2.0,16.0,25.0
107162627.0,1071626273.0,12.0,D G KHAN,25.0,25.0,1.0,2005.0,0.0,0.0,1.0,1.0,1979.0,3.0,0.0,0.0,0.0,150.0,50.0,50.0,25.0,25.0,4.0,4.0,25.0,45.0,60.0,0.0,1.0,10.0,D G KHAN,0.0,300.0,200.0,3.0,3.0,1.0,1.0,30.0,15.0,1.0,15.0,30.0,1.0,0.0,2.0,2000.0,5.0,2008.0,0.0,0.0,0.0,3000.0,2000.0,0.0,0.0,1.0,30.0,1.0,1.0,1987.0,6.0,14.0,54.0,2.0,2.0,16.0,26.0
107172728.0,1071727284.0,30.0,TAUNSA,90.0,80.0,1.0,2005.0,0.0,0.0,1.0,1.0,1979.0,3.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,200.0,6.0,6.0,90.0,0.0,0.0,0.0,1.0,28.0,TAUNSA,0.0,400.0,300.0,7.0,7.0,1.0,1.0,60.0,45.0,1.0,45.0,60.0,1.0,0.0,2.0,2000.0,1.0,2000.0,0.0,0.0,0.0,5100.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,56.0,2.0,2.0,17.0,27.0
108182829.0,1081828291.0,20.0,FORT ABBAS,30.0,30.0,1.0,2007.0,0.0,0.0,1.0,0.0,2009.0,3.0,0.0,0.0,0.0,100.0,20.0,20.0,15.0,7.0,6.0,6.0,30.0,43.0,30.0,0.0,1.0,20.0,FORT ABBAS,0.0,162.0,120.0,3.0,3.0,1.0,1.0,25.0,15.0,1.0,15.0,25.0,1.0,0.0,3.0,2007.0,1.0,0.0,0.0,0.0,0.0,1500.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,2.0,16.0,58.0,2.0,2.0,18.0,28.0
108192930.0,1081929302.0,22.0,GALIA MANDI HURAN ABAD,40.0,40.0,1.0,2006.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,15.0,10.0,8.0,5.0,8.0,4.0,40.0,60.0,30.0,0.0,0.0,22.0,HURAN ABAD,0.0,100.0,80.0,20.0,20.0,1.0,1.0,60.0,20.0,1.0,10.0,30.0,1.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,1300.0,1000.0,0.0,0.0,1.0,10.0,1.0,1.0,2010.0,4.0,16.0,60.0,2.0,2.0,19.0,29.0
108203031.0,1082030313.0,18.0,CHISHTIAN,30.0,30.0,1.0,2006.0,0.0,0.0,1.0,0.0,2008.0,3.0,0.0,0.0,0.0,120.0,100.0,100.0,60.0,20.0,8.0,3.0,30.0,40.0,30.0,0.0,1.0,18.0,CHISHTIAN,0.0,400.0,300.0,0.0,0.0,1.0,1.0,40.0,20.0,1.0,20.0,40.0,1.0,0.0,2.0,2000.0,4.0,2000.0,0.0,1.0,2004.0,2800.0,2000.0,0.0,0.0,1.0,10.0,1.0,1.0,1979.0,6.0,16.0,62.0,2.0,2.0,20.0,30.0
108213132.0,1082131324.0,3.0,GULA MANDI SADIQ GUNG,8.0,8.0,1.0,2005.0,0.0,0.0,1.0,0.0,2008.0,3.0,0.0,0.0,0.0,105.0,50.0,50.0,20.0,10.0,8.0,8.0,5.0,90.0,45.0,0.0,1.0,3.0,MANDI SADIQ GUNG,0.0,235.0,185.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,20.0,1.0,1.0,2.0,2004.0,1.0,0.0,1.0,0.0,0.0,1700.0,1300.0,0.0,0.0,1.0,25.0,1.0,1.0,1990.0,8.0,16.0,64.0,2.0,2.0,21.0,31.0
109223233.0,1092232331.0,2.0,RAILWAY MARKET,25.0,25.0,1.0,2002.0,0.0,0.0,1.0,1.0,2002.0,3.0,1.0,0.0,2011.0,150.0,25.0,10.0,10.0,25.0,1.0,1.0,15.0,45.0,20.0,0.0,1.0,1.0,LIAQUAT PUR,0.0,220.0,180.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2002.0,5.0,2003.0,1.0,1.0,2000.0,3000.0,2000.0,0.0,0.0,1.0,10.0,1.0,1.0,1979.0,2.0,18.0,66.0,2.0,2.0,22.0,32.0
109223334.0,1092233342.0,27.0,LIAQUAT PUR,60.0,120.0,1.0,2010.0,0.0,0.0,1.0,0.0,2010.0,3.0,0.0,0.0,0.0,102.0,350.0,490.0,150.0,80.0,1.0,1.0,30.0,60.0,0.0,0.0,1.0,3.0,JAN PUR,0.0,1172.0,900.0,4.0,1.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1998.0,1.0,2007.0,0.0,0.0,0.0,4623.0,3500.0,0.0,0.0,1.0,20.0,1.0,0.0,2009.0,4.0,18.0,68.0,2.0,2.0,22.0,33.0
109233435.0,1092334353.0,10.0,KHAN PUR,60.0,60.0,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,30.0,20.0,10.0,1.0,1.0,35.0,30.0,90.0,0.0,1.0,3.0,JEHTA BHUTTA,0.0,300.0,280.0,3.0,3.0,1.0,1.0,30.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,2010.0,1.0,1979.0,1.0,0.0,0.0,1500.0,1400.0,0.0,0.0,1.0,100.0,1.0,1.0,1992.0,6.0,18.0,70.0,2.0,2.0,23.0,34.0
109233536.0,1092335364.0,20.0,KHAN PUR,35.0,35.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,12.0,14.0,18.0,7.0,8.0,5.0,35.0,120.0,60.0,0.0,1.0,20.0,KHAN PUR,0.0,90.0,80.0,5.0,5.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,700.0,500.0,0.0,0.0,1.0,100.0,1.0,1.0,1996.0,8.0,18.0,72.0,2.0,2.0,23.0,35.0
110243637.0,1102436371.0,22.0,JALALPUR,60.0,60.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,20.0,20.0,20.0,15.0,8.0,3.0,26.0,60.0,30.0,0.0,1.0,22.0,JALAL PUR,0.0,175.0,225.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1979.0,1.0,1979.0,0.0,0.0,0.0,1200.0,900.0,0.0,0.0,1.0,20.0,1.0,1.0,2000.0,2.0,20.0,74.0,2.0,2.0,24.0,36.0
110243738.0,1102437382.0,13.0,JALAL PUR PIR WALA,20.0,60.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,500.0,50.0,15.0,25.0,10.0,8.0,3.0,20.0,50.0,30.0,0.0,1.0,13.0,JALAL PUR PIR WALA,0.0,600.0,400.0,5.0,5.0,1.0,1.0,30.0,15.0,1.0,15.0,30.0,1.0,0.0,5.0,2007.0,1.0,1979.0,0.0,0.0,0.0,4000.0,3000.0,0.0,0.0,1.0,50.0,1.0,1.0,2007.0,4.0,20.0,76.0,2.0,2.0,24.0,37.0
110243839.0,1102438393.0,23.0,JALAL PUR PIR WALA,30.0,30.0,1.0,2006.0,0.0,0.0,1.0,1.0,2005.0,3.0,0.0,0.0,0.0,90.0,50.0,25.0,25.0,10.0,8.0,8.0,30.0,30.0,50.0,0.0,1.0,23.0,JALAL PUR PIR WALA,0.0,200.0,180.0,12.0,12.0,1.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,1987.0,5.0,2008.0,0.0,0.0,0.0,1900.0,1500.0,0.0,0.0,1.0,70.0,1.0,1.0,1985.0,6.0,20.0,78.0,2.0,2.0,24.0,38.0
110253940.0,1102539404.0,14.0,MULTAN,25.0,40.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,100.0,50.0,20.0,30.0,5.0,6.0,25.0,30.0,30.0,1.0,1.0,14.0,MULTAN,7.0,300.0,200.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1979.0,5.0,1979.0,0.0,0.0,0.0,3000.0,2250.0,1.0,2000.0,1.0,20.0,1.0,1.0,1992.0,8.0,20.0,80.0,2.0,2.0,25.0,39.0
111264041.0,1112640411.0,18.0,KHURANIWALA,20.0,20.0,1.0,2003.0,1.0,2009.0,1.0,1.0,1996.0,3.0,1.0,1.0,1997.0,1350.0,20.0,20.0,9.0,1.0,6.0,6.0,45.0,20.0,25.0,5.0,1.0,18.0,JARANWALA,10.0,1400.0,1300.0,0.0,0.0,1.0,1.0,15.0,10.0,1.0,15.0,30.0,1.0,0.0,2.0,1979.0,5.0,1979.0,0.0,1.0,1979.0,15000.0,13000.0,1.0,1993.0,1.0,10.0,1.0,1.0,1979.0,2.0,22.0,82.0,2.0,2.0,26.0,40.0
111274142.0,1112741422.0,24.0,GOJRA,60.0,60.0,1.0,1997.0,0.0,0.0,1.0,1.0,2006.0,3.0,0.0,0.0,0.0,430.0,20.0,20.0,20.0,10.0,8.0,6.0,50.0,60.0,60.0,0.0,1.0,20.0,SAMUNDARI,0.0,500.0,450.0,0.0,0.0,1.0,1.0,50.0,25.0,1.0,20.0,40.0,1.0,0.0,2.0,1988.0,5.0,1997.0,0.0,1.0,1990.0,5000.0,4500.0,0.0,0.0,1.0,50.0,1.0,1.0,1979.0,4.0,22.0,84.0,2.0,2.0,27.0,41.0
