CID,ND_Eventno,ND_ABC,ND_AM,ND_M_5y,ND_y1,ND_y2,ND_y3,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,ND_EventDesc,ND_M_y,ND_m1,ND_m2,ND_m3,ND_FG,ND_LG,ND_PNGO,ND_FNGO,ND_Oth,ND_UseAssist,ND_PG
102030405,1,,,0.0,,,,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Epidemic,0.0,,,,,,,,,,
102030405,2,1.0,70.0,1.0,2011.0,2012.0,2010.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Civil unrest or violence,0.0,,,,,,,,,,
102030405,3,1.0,80.0,1.0,2011.0,2012.0,2010.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Crop Insect/disease outbreak,1.0,7.0,,,0.0,0.0,0.0,0.0,0.0,,
102030405,4,,,0.0,,,,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,
102030405,5,,,0.0,,,,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Fire,0.0,,,,,,,,,,0.0
102030405,6,,,0.0,,,,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Flood/typhoon,0.0,,,,,,,,,,
102030405,7,,,0.0,,,,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Drought,0.0,,,,,,,,,,
102030405,8,1.0,75.0,1.0,2009.0,2010.0,2011.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Earthquake/landslide,1.0,3.0,,,,,,,,,
102030506,1,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Famine,0.0,,,,,,,,,,
102030506,2,1.0,70.0,1.0,2008.0,2006.0,2005.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Epidemic,1.0,8.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,,
102030506,3,2.0,40.0,1.0,2012.0,2011.0,2008.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Civil unrest or violence,0.0,,,,,,,,,,
102030506,4,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Crop Insect/disease outbreak,1.0,10.0,8.0,,0.0,0.0,0.0,0.0,0.0,,
102030506,5,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,,,,,,,,,,,,
102030506,6,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Fire,0.0,,,,,,,,,,
102030506,7,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Flood/typhoon,0.0,,,,,,,,,,
102030506,8,,,0.0,,,,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Drought,0.0,,,,,,,,,,0.0
102030607,1,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Earthquake/landslide,0.0,,,,,,,,,,
102030607,2,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Famine,0.0,,,,,,,,,,
102030607,3,1.0,85.0,1.0,2008.0,2012.0,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Epidemic,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,
102030607,4,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Civil unrest or violence,0.0,,,,,,,,,,
102030607,5,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Crop Insect/disease outbreak,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,
102030607,6,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,,,,,,,,,,,,
102030607,7,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Fire,0.0,,,,,,,,,,
102030607,8,,,0.0,,,,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Flood/typhoon,0.0,,,,,,,,,,0.0
102040708,1,2.0,2.0,1.0,2012.0,2011.0,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Drought,0.0,,,,,,,,,,
102040708,2,1.0,90.0,1.0,2012.0,2010.0,2008.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Earthquake/landslide,0.0,,,,,,,,,,
102040708,3,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Famine,0.0,,,,,,,,,,
102040708,4,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Epidemic,0.0,,,,,,,,,,
102040708,5,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Civil unrest or violence,0.0,,,,,,,,,,
102040708,6,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Crop Insect/disease outbreak,1.0,8.0,9.0,,0.0,0.0,0.0,0.0,0.0,,
102040708,7,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,,,,,,,,,,,,
102040708,8,,,0.0,,,,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Fire,0.0,,,,,,,,,,
103050809,1,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Flood/typhoon,0.0,,,,,,,,,,
103050809,2,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Drought,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,
103050809,3,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Earthquake/landslide,0.0,,,,,,,,,,
103050809,4,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Famine,0.0,,,,,,,,,,
103050809,5,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Epidemic,1.0,9.0,,,0.0,0.0,0.0,0.0,0.0,,
103050809,6,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Civil unrest or violence,0.0,,,,,,,,,,
103050809,7,,,0.0,,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Crop Insect/disease outbreak,1.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,
103050809,8,2.0,50.0,1.0,2008.0,,,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,,,,,,,,,,,,0.0
103060910,1,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Fire,0.0,,,,,,,,,,
103060910,2,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Flood/typhoon,1.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,,
103060910,3,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Drought,0.0,,,,,,,,,,
103060910,4,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Earthquake/landslide,0.0,,,,,,,,,,
103060910,5,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Famine,0.0,,,,,,,,,,
103060910,6,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Epidemic,0.0,,,,,,,,,,
103060910,7,,,0.0,,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Civil unrest or violence,1.0,4.0,,,,,,,,,
103060910,8,2.0,20.0,1.0,2008.0,,,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Crop Insect/disease outbreak,1.0,12.0,,,0.0,0.0,0.0,0.0,0.0,,
103061011,1,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,,,,,,,,,,,,
103061011,2,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Fire,0.0,,,,,,,,,,
103061011,3,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Flood/typhoon,1.0,5.0,,,,,,,,,
103061011,4,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Drought,0.0,,,,,,,,,,
103061011,5,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Earthquake/landslide,0.0,,,,,,,,,,
103061011,6,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Famine,0.0,,,,,,,,,,
103061011,7,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Epidemic,0.0,,,,,,,,,,
103061011,8,,,0.0,,,,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,Civil unrest or violence,0.0,,,,,,,,,,
103071112,1,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Crop Insect/disease outbreak,1.0,11.0,,,0.0,0.0,0.0,0.0,0.0,,
103071112,2,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,,,,,,,,,,,,
103071112,3,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Fire,0.0,,,,,,,,,,
103071112,4,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Flood/typhoon,0.0,,,,,,,,,,
103071112,5,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Drought,1.0,5.0,6.0,,0.0,0.0,0.0,0.0,0.0,,
103071112,6,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Earthquake/landslide,0.0,,,,,,,,,,
103071112,7,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Famine,0.0,,,,,,,,,,
103071112,8,,,0.0,,,,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,Epidemic,1.0,7.0,8.0,,,,,,,,
104081213,1,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Civil unrest or violence,0.0,,,,,,,,,,
104081213,2,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Crop Insect/disease outbreak,1.0,8.0,9.0,,0.0,0.0,0.0,0.0,0.0,,
104081213,3,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,,,,,,,,,,,,
104081213,4,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Fire,0.0,,,,,,,,,,
104081213,5,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Flood/typhoon,0.0,,,,,,,,,,
104081213,6,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Drought,0.0,,,,,,,,,,
104081213,7,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Earthquake/landslide,0.0,,,,,,,,,,
104081213,8,,,0.0,,,,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,Famine,0.0,,,,,,,,,,
104081314,1,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Epidemic,0.0,,,,,,,,,,
104081314,2,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Civil unrest or violence,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,
104081314,3,1.0,90.0,1.0,2008.0,2009.0,2010.0,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Crop Insect/disease outbreak,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0
104081314,4,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,,,,,,,,,,,,
104081314,5,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Fire,0.0,,,,,,,,,,
104081314,6,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Flood/typhoon,0.0,,,,,,,,,,
104081314,7,,,0.0,,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Drought,0.0,,,,,,,,,,
104081314,8,1.0,80.0,1.0,2009.0,,,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,Earthquake/landslide,1.0,3.0,,,,,,,,,
104081415,1,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Famine,0.0,,,,,,,,,,
104081415,2,2.0,60.0,1.0,2010.0,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Epidemic,0.0,,,,,,,,,,
104081415,3,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Civil unrest or violence,0.0,,,,,,,,,,
104081415,4,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
104081415,5,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,,,,,,,,,,,,
104081415,6,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Fire,0.0,,,,,,,,,,
104081415,7,,,0.0,,,,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Flood/typhoon,0.0,,,,,,,,,,
104081415,8,2.0,70.0,1.0,2011.0,2010.0,2009.0,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,Drought,0.0,,,,,,,,,,
104091516,1,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Earthquake/landslide,1.0,1.0,3.0,,,,,,,,
104091516,2,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Famine,0.0,,,,,,,,,,
104091516,3,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Epidemic,0.0,,,,,,,,,,
104091516,4,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Civil unrest or violence,1.0,6.0,7.0,,0.0,1.0,0.0,0.0,0.0,1.0,
104091516,5,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
104091516,6,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,,,,,,,,,,,,
104091516,7,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Fire,0.0,,,,,,,,,,
104091516,8,,,0.0,,,,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,Flood/typhoon,0.0,,,,,,,,,,
105101617,1,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Drought,0.0,,,,,,,,,,
105101617,2,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Earthquake/landslide,1.0,3.0,,,,,,,,,
105101617,3,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Famine,0.0,,,,,,,,,,
105101617,4,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Epidemic,0.0,,,,,,,,,,
105101617,5,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Civil unrest or violence,1.0,6.0,8.0,,,,,,,,0.0
105101617,6,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
105101617,7,,,0.0,,,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,,,,,,,,,,,,
105101617,8,2.0,50.0,1.0,2007.0,2007.0,,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,Fire,0.0,,,,,,,,,,
105101718,1,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Flood/typhoon,0.0,,,,,,,,,,
105101718,2,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Drought,0.0,,,,,,,,,,
105101718,3,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Earthquake/landslide,1.0,3.0,,,,,,,,,
105101718,4,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Famine,0.0,,,,,,,,,,0.0
105101718,5,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Epidemic,0.0,,,,,,,,,,
105101718,6,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Civil unrest or violence,0.0,,,,,,,,,,
105101718,7,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
105101718,8,,,0.0,,,,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,,,,,,,,,,,,
105111819,1,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Fire,0.0,,,,,,,,,,
105111819,2,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Flood/typhoon,0.0,,,,,,,,,,
105111819,3,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Drought,0.0,,,,,,,,,,0.0
105111819,4,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Earthquake/landslide,0.0,,,,,,,,,,
105111819,5,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Famine,0.0,,,,,,,,,,
105111819,6,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Epidemic,0.0,,,,,,,,,,
105111819,7,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Civil unrest or violence,0.0,,,,,,,,,,
105111819,8,,,0.0,,,,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
105121920,1,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,,,,,,,,,,,,
105121920,2,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Fire,0.0,,,,,,,,,,
105121920,3,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Flood/typhoon,0.0,,,,,,,,,,
105121920,4,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Drought,0.0,,,,,,,,,,
105121920,5,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Earthquake/landslide,0.0,,,,,,,,,,
105121920,6,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Famine,0.0,,,,,,,,,,
105121920,7,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Epidemic,0.0,,,,,,,,,,
105121920,8,,,0.0,,,,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,Civil unrest or violence,0.0,,,,,,,,,,
106132021,1,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
106132021,2,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,,,,,,,,,,,,
106132021,3,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Fire,0.0,,,,,,,,,,
106132021,4,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Flood/typhoon,0.0,,,,,,,,,,
106132021,5,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Drought,0.0,,,,,,,,,,
106132021,6,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Earthquake/landslide,0.0,,,,,,,,,,
106132021,7,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Famine,0.0,,,,,,,,,,
106132021,8,,,0.0,,,,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,Epidemic,0.0,,,,,,,,,,
106132122,1,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Civil unrest or violence,0.0,,,,,,,,,,
106132122,2,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Crop Insect/disease outbreak,1.0,7.0,,,0.0,0.0,0.0,0.0,0.0,,
106132122,3,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,,,,,,,,,,,,
106132122,4,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Fire,0.0,,,,,,,,,,
106132122,5,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Flood/typhoon,0.0,,,,,,,,,,
106132122,6,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Drought,0.0,,,,,,,,,,
106132122,7,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Earthquake/landslide,0.0,,,,,,,,,,
106132122,8,,,0.0,,,,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,Famine,0.0,,,,,,,,,,
106142223,1,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Epidemic,0.0,,,,,,,,,,
106142223,2,1.0,60.0,1.0,2010.0,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Civil unrest or violence,0.0,,,,,,,,,,
106142223,3,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
106142223,4,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,,,,,,,,,,,,
106142223,5,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Fire,0.0,,,,,,,,,,
106142223,6,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Flood/typhoon,0.0,,,,,,,,,,
106142223,7,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Drought,0.0,,,,,,,,,,0.0
106142223,8,,,0.0,,,,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,Earthquake/landslide,0.0,,,,,,,,,,
106142324,1,,,0.0,,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Famine,0.0,,,,,,,,,,
106142324,2,1.0,100.0,1.0,2010.0,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Epidemic,0.0,,,,,,,,,,
106142324,3,,,0.0,,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Civil unrest or violence,0.0,,,,,,,,,,
106142324,4,,,0.0,,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
106142324,5,,,0.0,,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,,,,,,,,,,,,
106142324,6,2.0,30.0,1.0,2010.0,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Fire,0.0,,,,,,,,,,
106142324,7,,,0.0,,,,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,Flood/typhoon,0.0,,,,,,,,,,
