CID,P_Name,P_ID,D_Name,D_ID,T_Name,T_ID,UC_Name,UC_ID,DOI_d,DOI_m,DOI_y,Language 1,Language 2,Language 3,M_ID,Survey_Round,Community,FID,StartTime_hrs,StartTime_mins,EndTime_hrs,EndTime_mins
109223233,PUNJAB,1,RAHIMYAR KHAN,9,LIAQUAT PUR,22,,32,30,3,2012,1.0,3.0,,33.0,1.0,1.0,1092232331.0,10.0,48.0,11.0,50.0
109223334,PUNJAB,1,RAHIMYAR KHAN,9,LIAQUAT PUR,22,,33,5,4,2012,3.0,2.0,1.0,34.0,1.0,2.0,1092233342.0,16.0,30.0,18.0,25.0
109233435,PUNJAB,1,RAHIMYAR KHAN,9,KHAN PUR,23,,34,24,3,2012,1.0,3.0,6.0,35.0,1.0,3.0,1092334353.0,10.0,15.0,11.0,5.0
109233536,PUNJAB,1,RAHIMYAR KHAN,9,KHAN PUR,23,,35,17,3,2012,1.0,3.0,7.0,36.0,1.0,4.0,1092335364.0,11.0,6.0,11.0,50.0
110243637,PUNJAB,1,MULTAN,10,JALAL PUR PIRWALA,24,,36,4,4,2012,3.0,1.0,2.0,37.0,1.0,1.0,1102436371.0,9.0,45.0,10.0,30.0
110243738,PUNJAB,1,MULTAN,10,JALAL PUR PIRWALA,24,,37,30,3,2012,3.0,1.0,2.0,38.0,1.0,2.0,1102437382.0,10.0,50.0,11.0,46.0
110243839,PUNJAB,1,MULTAN,10,JALAL PUR PIRWALA,24,,38,28,3,2012,3.0,2.0,1.0,39.0,1.0,3.0,1102438393.0,14.0,40.0,15.0,6.0
110253940,PUNJAB,1,MULTAN,10,MULTAN SADDAR,25,,39,18,3,2012,3.0,1.0,2.0,40.0,1.0,4.0,1102539404.0,10.0,15.0,10.0,40.0
111264041,PUNJAB,1,FAISALABAD,11,JARANWALA,26,,40,21,3,2012,1.0,2.0,7.0,41.0,1.0,1.0,1112640411.0,2.0,6.0,2.0,32.0
111274142,PUNJAB,1,FAISALABAD,11,SAMUNDARI,27,,41,5,4,2012,1.0,2.0,,42.0,1.0,2.0,1112741422.0,15.0,36.0,16.0,18.0
111274243,PUNJAB,1,FAISALABAD,11,SAMUNDARI,27,,42,28,3,2012,1.0,,,43.0,1.0,3.0,1112742433.0,13.0,10.0,14.0,0.0
111284344,PUNJAB,1,FAISALABAD,11,TANDLIAN WALA,28,,43,11,4,2012,9.0,1.0,2.0,44.0,1.0,4.0,1112843444.0,13.0,35.0,14.0,48.0
112294445,PUNJAB,1,SARGODHA,12,BHALWAL,29,,44,1,4,2012,1.0,1.0,1.0,45.0,1.0,1.0,1122944451.0,14.0,15.0,15.0,10.0
112304546,PUNJAB,1,SARGODHA,12,SHAH PUR,30,,45,18,3,2012,1.0,2.0,,46.0,1.0,2.0,1123045462.0,10.0,35.0,11.0,40.0
112304647,PUNJAB,1,SARGODHA,12,SHAH PUR,30,,46,24,3,2012,1.0,,,47.0,1.0,3.0,1123046473.0,12.0,33.0,14.0,5.0
112314748,PUNJAB,1,SARGODHA,12,SILLAN WALI,31,,47,8,4,2012,1.0,2.0,,48.0,1.0,4.0,1123147484.0,8.0,10.0,9.0,23.0
213324849,SINDH,2,THATTA,13,MIR PUR SAKRO,32,,48,28,3,2012,6.0,2.0,,49.0,1.0,1.0,2133248491.0,11.0,0.0,12.0,30.0
213324950,SINDH,2,THATTA,13,MIR PUR SAKRO,32,,49,9,4,2012,6.0,,,50.0,1.0,2.0,2133249502.0,9.0,0.0,10.0,20.0
213335051,SINDH,2,THATTA,13,MIRPUR BATHORO,33,,50,16,3,2012,6.0,8.0,,51.0,1.0,4.0,2133351514.0,12.0,30.0,13.0,20.0
213324952,SINDH,2,THATTA,13,MIR PUR SAKRO,32,,49,2,4,2012,6.0,,,52.0,1.0,3.0,2133249523.0,13.0,0.0,14.0,25.0
214345253,SINDH,2,DADU,14,DADU,34,,52,28,3,2012,6.0,,,53.0,1.0,1.0,2143452531.0,11.0,14.0,11.0,52.0
214355354,SINDH,2,DADU,14,KOTRI,35,,53,12,4,2012,6.0,3.0,,54.0,1.0,2.0,2143553542.0,14.0,19.0,15.0,23.0
214365455,SINDH,2,DADU,14,JOHI,36,,54,20,3,2012,8.0,6.0,3.0,55.0,1.0,3.0,2143654553.0,16.0,10.0,18.0,13.0
214375556,SINDH,2,DADU,14,KHAIR PUR NATHAN SHAH,37,,55,6,4,2012,6.0,3.0,8.0,56.0,1.0,4.0,2143755564.0,15.0,10.0,15.0,45.0
215385657,SINDH,2,SANGHAR,15,KHIPRO,38,,56,11,4,2012,6.0,3.0,,57.0,1.0,1.0,2153856571.0,11.0,30.0,12.0,40.0
215395758,SINDH,2,SANGHAR,15,SANGHAR,39,,57,25,3,2012,7.0,6.0,1.0,58.0,1.0,2.0,2153957582.0,11.0,17.0,12.0,23.0
215395859,SINDH,2,SANGHAR,15,SANGHAR,39,,58,5,4,2012,6.0,4.0,3.0,59.0,1.0,3.0,2153958593.0,15.0,10.0,16.0,5.0
215405960,SINDH,2,SANGHAR,15,SINJHORO,40,,59,6,4,2012,1.0,6.0,,60.0,1.0,4.0,2154059604.0,13.0,0.0,14.0,0.0
216416061,SINDH,2,JACOBABAD,16,JACOBABAD,41,,60,24,3,2012,6.0,3.0,8.0,61.0,1.0,1.0,2164160611.0,8.0,10.0,9.0,15.0
216416162,SINDH,2,JACOBABAD,16,JACOBABAD,41,,61,20,4,2012,8.0,6.0,,62.0,1.0,2.0,2164161622.0,14.0,5.0,14.0,45.0
216426263,SINDH,2,JACOBABAD,16,KASHMORE,42,,62,15,4,2012,6.0,,,63.0,1.0,3.0,2164262633.0,13.0,10.0,13.0,58.0
216436364,SINDH,2,JACOBABAD,16,KANDHKOT,43,,63,10,4,2012,8.0,6.0,,64.0,1.0,4.0,2164363644.0,12.0,10.0,12.0,50.0
217446465,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,,64,16,4,2012,6.0,,,65.0,1.0,1.0,2174464651.0,13.0,21.0,14.0,5.0
217446566,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,,65,29,3,2012,3.0,6.0,,66.0,1.0,2.0,2174465662.0,12.0,0.0,13.0,15.0
217446667,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,,66,4,4,2012,6.0,5.0,,67.0,1.0,3.0,2174466673.0,13.0,30.0,15.0,15.0
217456768,SINDH,2,HYDERABAD,17,HALA,45,,67,20,3,2012,8.0,2.0,,68.0,1.0,4.0,2174567684.0,15.0,50.0,16.0,38.0
318466869,KPK,3,NOWSHERA,18,NOWSHERA,46,,68,24,3,2012,7.0,,,69.0,1.0,1.0,3184668691.0,11.0,15.0,12.0,35.0
318466970,KPK,3,NOWSHERA,18,NOWSHERA,46,,69,2,4,2012,7.0,,,70.0,1.0,2.0,3184669702.0,11.0,40.0,12.0,19.0
318467071,KPK,3,NOWSHERA,18,NOWSHERA,46,,70,19,3,2012,7.0,10.0,,71.0,1.0,3.0,3184670713.0,11.0,0.0,12.0,0.0
318467172,KPK,3,NOWSHERA,18,NOWSHERA,46,,71,28,3,2012,7.0,5.0,,72.0,1.0,4.0,3184671724.0,8.0,59.0,10.0,45.0
319477273,KPK,3,MANSEHRA,19,MANSEHRA,47,,72,1,4,2012,5.0,2.0,1.0,73.0,1.0,1.0,3194772731.0,16.0,17.0,16.0,51.0
319477274,KPK,3,MANSEHRA,19,MANSEHRA,47,,72,9,4,2012,5.0,2.0,7.0,74.0,1.0,2.0,3194772742.0,,,,
319477375,KPK,3,MANSEHRA,19,MANSEHRA,47,,73,18,4,2012,5.0,2.0,10.0,75.0,1.0,3.0,3194773753.0,,,,
319487476,KPK,3,MANSEHRA,19,BALAKOT,48,,74,24,3,2012,5.0,2.0,10.0,76.0,1.0,4.0,3194874764.0,,,,
101010101,PUNJAB,1,KASUR,1,CHUNIAN,1,LUNDEY,1,15,5,2013,,,,1.0,,,,,,,
101010202,PUNJAB,1,KASUR,1,CHUNIAN,1,MOKAL,2,6,5,2013,,,,2.0,,,,,,,
101010203,PUNJAB,1,KASUR,1,CHUNIAN,1,MOKAL,2,8,5,2013,,,,3.0,,,,,,,
101020304,PUNJAB,1,KASUR,1,PATTOKI,2,CHAK NO 027,3,14,5,2013,,,,4.0,,,,,,,
102030405,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,NOTAK,4,27,4,2013,,,,5.0,,,,,,,
102030506,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,CHAK NO 061 ML,5,4,5,2013,,,,6.0,,,,,,,
102030607,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,KHANSUR,6,10,5,2013,,,,7.0,,,,,,,
102040708,PUNJAB,1,BHAKKAR,2,DARYA KHAN,4,BARANGA,7,18,5,2013,,,,8.0,,,,,,,
103050809,PUNJAB,1,KHANEWAL,3,KHANEWAL,5,BHIRU WAL,8,12,5,2013,,,,9.0,,,,,,,
103060910,PUNJAB,1,KHANEWAL,3,MIAN CHAINNU,6,137/I6L,9,29,5,2013,,,,10.0,,,,,,,
103061011,PUNJAB,1,KHANEWAL,3,MIAN CHANNU,6,ROTLA,10,24,4,2013,,,,11.0,,,,,,,
103071112,PUNJAB,1,KHANEWAL,3,JAHNLAN,7,053/10-R,11,9,5,2013,,,,12.0,,,,,,,
104081213,PUNJAB,1,ATTOCK,4,HAZRO,8,BAHADUR KHAN,12,25,4,2013,,,,13.0,,,,,,,
104081314,PUNJAB,1,ATTOCK,4,ATTOCK,8,KAMRA,13,2,5,2013,,,,14.0,,,,,,,
104081415,PUNJAB,1,ATTOCK,4,HAZRO,8,SHAMS ABAD,14,9,5,2013,,,,15.0,,,,,,,
104091516,PUNJAB,1,ATTOCK,4,FATEH JHANG,9,QUTBAL,15,15,5,2013,,,,16.0,,,,,,,
105101617,PUNJAB,1,VEHARI,5,MAILSI,10,FADDA,16,24,4,2013,,,,17.0,,,,,,,
105101718,PUNJAB,1,VEHARI,5,MAILSI,10,FATEH PUR,17,29,4,2013,,,,18.0,,,,,,,
105111819,PUNJAB,1,VEHARI,5,VEHARI,11,CHAK 166 EB,18,8,5,2013,,,,19.0,,,,,,,
105121920,PUNJAB,1,VEHARI,5,BURAY WALA,12,495 EB,19,15,5,2013,,,,20.0,,,,,,,
106132021,PUNJAB,1,JHANG,6,SHORKOT,13,BINDA SURBANA,20,10,5,2013,,,,21.0,,,,,,,
106132122,PUNJAB,1,JHANG,6,SHORKOT,13,GUDARA,21,13,5,2013,,,,22.0,,,,,,,
106142223,PUNJAB,1,JHANG,6,CHINIOT,14,DOSA,22,29,4,2013,,,,23.0,,,,,,,
106142324,PUNJAB,1,JHANG,6,ISHAZARI,14,KOT SHAKIR,23,4,5,2013,,,,24.0,,,,,,,
107152425,PUNJAB,1,DERA GHAZI KHAN,7,DERA GHAZI KHAN,15,CHOJI ZAREEN,24,7,5,2013,,,,25.0,,,,,,,
107152627,PUNJAB,1,DERA GHAZI KHAN,7,DERA GHAZI KHAN,15,GADAI,26,30,4,2013,,,,27.0,,,,,,,
107162526,PUNJAB,1,DERA GHAZI KHAN,7,DERA GHAZI KHAN,16,TUMAN LEGHARI,25,22,5,2013,,,,26.0,,,,,,,
107172728,PUNJAB,1,DERA GHAZI KHAN,7,TAUNSA,17,MORJHANGI,27,18,5,2013,,,,28.0,,,,,,,
108182829,PUNJAB,1,BAHAWAL NAGAR,8,FORT ABBAS,18,176 7R,28,9,5,2013,,,,29.0,,,,,,,
108192930,PUNJAB,1,BAHAWAL NAGAR,8,BAHAWAL NAGAR,19,BARA SAJAWAR KHAN,29,30,4,2013,,,,30.0,,,,,,,
108203031,PUNJAB,1,BAHAWAL NAGAR,8,CHISHTIAN,20,128 MURAD,30,4,5,2013,,,,31.0,,,,,,,
108213132,PUNJAB,1,BAHAWAL NAGAR,8,MINCHIN ABAD,21,MANDI SADIQ GUNJ,31,25,4,2013,,,,32.0,,,,,,,
109223233,PUNJAB,1,RAHIM YAR KHAN,9,LIAQUAT PUR,22,CHACK 46 ABS,32,10,5,2013,,,,33.0,,,,,,,
109223334,PUNJAB,1,RAHIM YAR KHAN,9,LIAQUAT PUR,22,DASHTI,33,15,5,2013,,,,34.0,,,,,,,
109233435,PUNJAB,1,RAHIM YAR KHAN,9,KHAN PUR,23,JETHA BHUJTA,34,3,5,2013,,,,35.0,,,,,,,
109233536,PUNJAB,1,RAHIM YAR KHAN,9,KHAN PUR,23,LATKI,35,28,4,2013,,,,36.0,,,,,,,
110243637,PUNJAB,1,MULTAN,10,JALAL PUR PIR WALA,24,LAL WAH,36,27,4,2013,,,,37.0,,,,,,,
110243738,PUNJAB,1,MULTAN,10,JALAL PUR PIR WALA,24,MIAN PUR BALEY WALA,37,1,5,2013,,,,38.0,,,,,,,
110243839,PUNJAB,1,MULTAN,10,JALAL PUR PIR WALA,24,GHAZI PUR,38,14,5,2013,,,,39.0,,,,,,,
110253940,PUNJAB,1,MULTAN,10,MULTAN SADAR,25,BOTTEE WALA,39,15,5,2013,,,,40.0,,,,,,,
111264041,PUNJAB,1,FAISALABAD,11,JARANWALA,26,CHAK NO 76RB,40,24,4,2013,,,,41.0,,,,,,,
111274142,PUNJAB,1,FAISALABAD,11,SAMUNDARI,27,CHAK 226 GB,41,30,4,2013,,,,42.0,,,,,,,
111274243,PUNJAB,1,FAISALABAD,11,SAMMUNDRI,27,CHAK 042,42,8,5,2013,,,,43.0,,,,,,,
111284344,PUNJAB,1,FAISALABAD,11,TANDLIANWALA,28,CHAK 490 GB,43,16,5,2013,,,,44.0,,,,,,,
112294445,PUNJAB,1,SARGODHA,12,BHALWAL,29,GORNA,44,16,5,2013,,,,45.0,,,,,,,
112304546,PUNJAB,1,SARGODHA,12,SHAH PUR,30,AQIL SHAH,45,7,5,2013,,,,46.0,,,,,,,
112304647,PUNJAB,1,SARGODHA,12,SHAH PUR,30,SABOWAL,46,4,5,2013,,,,47.0,,,,,,,
112314748,PUNJAB,1,SARGODHA,12,SILLAWALI,31,SHAEENABAD,47,25,4,2013,,,,48.0,,,,,,,
213324849,SINDH,2,THATTA,13,MIR PUR SAKRO,32,GUJJO,48,27,4,2013,,,,49.0,,,,,,,
213324952,SINDH,2,THATTA,13,MIR PUR SAKRO,32,CHOUBANDI,49,9,5,2013,,,,52.0,,,,,,,
213334950,SINDH,2,THATTA,13,MIR PUR SAKRO,33,CHOUBANDI,49,3,5,2013,,,,50.0,,,,,,,
213335051,SINDH,2,THATTA,13,MIR PUR BATHORO,33,JHOKE SHARIF,50,15,5,2013,,,,51.0,,,,,,,
214345253,SINDH,2,DADU,14,KHUDA ABAD,34,KHUDA ABAD,52,28,4,2013,,,,53.0,,,,,,,
214355354,SINDH,2,DADU,14,KOTRI,35,UNER PUR,53,17,5,2013,,,,54.0,,,,,,,
214365455,SINDH,2,DADU,14,JOHI,36,TANDO RAHIM KHAN,54,3,5,2013,,,,55.0,,,,,,,
214365556,SINDH,2,DADU,14,K N SHAH,36,KANDAY CHUKI,54,7,5,2013,,,,56.0,,,,,,,
215385657,SINDH,2,SANGHAR,15,KHIPRO,38,KHORI,56,4,5,2013,,,,57.0,,,,,,,
215395758,SINDH,2,SANGHAR,15,SANGHAR,39,GUJRI,57,25,4,2013,,,,58.0,,,,,,,
215395859,SINDH,2,SANGHAR,15,SANGHAR,39,KANHAR,58,9,5,2013,,,,59.0,,,,,,,
215405960,SINDH,2,SANGHAR,15,SINJHORO,40,JHOL,59,17,5,2013,,,,60.0,,,,,,,
216416061,SINDH,2,JACOBABAD,16,JACOBABAD,41,DHSTI,62,6,5,2013,,,,63.0,,,,,,,
216416162,SINDH,2,JALOBABAD,16,JACOBABAD,41,AHMED PUR,61,4,5,2013,,,,62.0,,,,,,,
216426263,SINDH,2,JACOBABAD,16,KASHMOR,42,SODHI,62,18,5,2013,,,,63.0,,,,,,,
216436364,SIDNH,2,JACOBABNAD,16,KANDHKOT,43,SAIFAL,63,9,5,2013,,,,64.0,,,,,,,
217446465,SINDH,2,HYDERABAD,17,TANDO M KHAN,44,CHOUDRO TC,64,27,4,2013,,,,65.0,,,,,,,
217446566,SINDH,2,HYDERABAD,17,TANDO M KHAN,44,GHULAM SHAH MOYA,65,3,5,2013,,,,66.0,,,,,,,
217446667,SINDH,2,HYDERABAD,17,TANDO M KHAN,44,SAEED PUR,66,8,5,2013,,,,67.0,,,,,,,
217456768,SINDH,2,HYDERABAD,17,HALA,45,GHOTANA TC,67,16,5,2013,,,,68.0,,,,,,,
318466869,KPK,3,NOWSHERA,18,PABBI,46,MOHIB BANDA,68,29,4,2013,,,,69.0,,,,,,,
318466970,KPK,3,NOWSHERA,18,PABBI,46,JALOZAI,69,7,5,2013,,,,70.0,,,,,,,
318467071,KPK,3,NOWSHERA,18,NOWSHERA,46,GANDERI,70,24,4,2013,,,,71.0,,,,,,,
318467172,KPK,3,NOWSHERA,18,NOWSHERA,46,INZARI,71,30,4,2013,,,,72.0,,,,,,,
319477273,KPK,3,MANSEHRA,19,MANSEHRA,47,BEHALI,72,25,4,2013,,,,73.0,,,,,,,
319477274,KPK,3,MANSEHRA,19,MANSEHRA,47,BEHALI,72,2,5,2013,,,,74.0,,,,,,,
319477374,KPK,3,MANSEHRA,19,MANSEHRA,47,CHATTER PLAIN,73,4,5,2013,,,,74.0,,,,,,,
319487476,KPK,3,MANSEHRA,19,BALAKOT,48,TALHATTA,74,14,5,2013,,,,76.0,,,,,,,
215395758,SINDH,2,SANGHAR,15,SANGHAR TALUKA,39,GUJRI UC,57,13,6,2014,1.0,2.0,7.0,,,,,,,,
213324952,SINDH,2,THATTA,13,MIRPUR SAKRO TALUKA,32,CHOUBANDI UC,49,2,6,2014,6.0,8.0,2.0,,,,,,,,
102030405,PUNJAB,1,BHAKKAR,2,BHAKKAR TEHSIL,3,NOTAK UC,4,25,5,2014,3.0,1.0,7.0,,,,,,,,
105111819,PUNJAB,1,VEHARI,5,VEHARI TEHSIL,11,CHAK 166/E.B UC,18,11,6,2014,1.0,-99.0,,,,,,,,,
105121920,PUNJAB,1,VEHARI,5,BUREWALA TEHSIL,12,495/E.B UC,19,20,6,2014,1.0,-99.0,,,,,,,,,
107162526,PUNJAB,1,D G KHAN,7,D.G KHAN,16,TUMAN LEGHARI UC,25,3,6,2014,3.0,8.0,-99.0,,,,,,,,
104081415,PUNJAB,1,ATTOCK,4,ATTOCK TEHSIL,8,SHAMSABAD UC,14,21,5,2014,1.0,-99.0,,,,,,,,,
104091516,PUNJAB,1,ATTOCK,4,FATEH JANG TEHSIL,9,QUTBAL UC,15,4,6,2014,1.0,-99.0,,,,,,,,,
101010101,PUNJAB,1,KASUR,1,CHUNIAN TEHSIL,1,LUNDEY UC,1,28,5,2014,1.0,2.0,-99.0,,,,,,,,
217446566,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,MOYA TC,65,1,6,2014,6.0,3.0,-99.0,,,,,,,,
318466970,KPK,3,NOWSHERA,18,PABBI,46,JALLOZAI,69,17,6,2014,7.0,-99.0,,,,,,,,,
318467172,KPK,3,NOWSHERA,18,NOWSHERA TEHSIL,46,AINZARI UC,71,5,6,2014,5.0,7.0,-99.0,,,,,,,,
217456768,SINDH,2,HYDERABAD,17,HALA TALUKA,45,GHOTANA TC,67,23,10,2014,6.0,8.0,-99.0,,,,,,,,
112314748,PUNJAB,1,SARGODHA,12,SILLANWALI TEHSIL,31,SHAHEENABAD UC,47,11,6,2014,1.0,2.0,-99.0,,,,,,,,
213324950,SINDH,2,THATTA,13,MIRPUR SAKRO TALUKA,32,CHOUBANDI UC,49,12,6,2014,6.0,8.0,2.0,,,,,,,,
213324849,SINDH,2,THATTA,13,MIRPUR SAKRO TALUKA,32,GUJJO UC,48,25,5,2014,6.0,8.0,3.0,,,,,,,,
112304546,PUNJAB,1,SARGODHA,12,SHAHPUR TEHSIL,30,AQIL SHAH UC,45,3,6,2014,1.0,2.0,-99.0,,,,,,,,
217446465,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,CHOUDRO TC,64,27,5,2014,6.0,2.0,-99.0,,,,,,,,
214345253,SINDH,2,DADU,14,DADU TALUKA,34,KHUDABAD UC,52,5,6,2014,6.0,3.0,-99.0,,,,,,,,
215395859,SINDH,2,SANGHAR,15,SANGHAR TALUKA,39,KANHAR UC,58,29,5,2014,6.0,3.0,8.0,,,,,,,,
215405960,SINDH,2,SANGHAR,15,SINJHORO TALUKA,40,JHOL UC,59,4,6,2014,6.0,-99.0,,,,,,,,,
318466869,KPK,3,NOWSHERA,18,PABBI,46,BANDA MOHIB UC,68,2,6,2014,7.0,-99.0,,,,,,,,,
214365455,SINDH,2,DADU,14,JOHI TALUKA,36,TANDO RAHIM KHAN UC,54,9,6,2014,8.0,6.0,-99.0,,,,,,,,
217446667,SINDH,2,HYDERABAD,17,TANDO MUHAMMAD KHAN,44,SAEEDPUR TC,66,14,6,2014,6.0,3.0,-99.0,,,,,,,,
104081213,PUNJAB,1,ATTOCK,4,ATTOCK TEHSIL,8,BAHADUR KHAN UC,12,28,5,2014,5.0,-99.0,,,,,,,,,
101020304,PUNJAB,1,KASUR,1,PATTOKI TEHSIL,2,CHAK NO 027,3,16,6,2014,1.0,2.0,-99.0,,,,,,,,
104081314,PUNJAB,1,ATTOCK,4,ATTOCK TEHSIL,8,KAMRA UC,13,9,6,2014,1.0,-99.0,,,,,,,,,
102030607,PUNJAB,1,BHAKKAR,2,BHAKKAR TEHSIL,3,KHANSAR UC,6,10,6,2014,3.0,1.0,2.0,,,,,,,,
102040708,PUNJAB,1,BHAKKAR,2,DARYA KHAN TEHSIL,4,BARRANGA UC,7,16,6,2014,3.0,2.0,1.0,,,,,,,,
102030506,PUNJAB,1,BHAKKAR,2,BHAKKAR TEHSIL,3,CHAK NO 061/ML UC,5,31,5,2014,3.0,1.0,2.0,,,,,,,,
