CID,FID,Community,DOI_d,DOI_m,DOI_y,D_ID,D_Name,EndTime_hrs,EndTime_mins,Language 1,Language 2,Language 3,M_ID,P_ID,P_Name,StartTime_hrs,StartTime_mins,Survey_Round,T_ID,T_Name,UC_ID,UC_Name
108182829.0,1081828291.0,1.0,30.0,3.0,2012.0,8.0,BAHAWAL NAGAR,12.0,15.0,1.0,2.0,0.0,29.0,1.0,PUNJAB,11.0,10.0,1.0,18.0,FORT ABBAS,28.0,
108192930.0,1081929302.0,2.0,15.0,3.0,2012.0,8.0,BAHAWAL NAGAR,11.0,35.0,1.0,0.0,0.0,30.0,1.0,PUNJAB,10.0,10.0,1.0,19.0,BAHAWAL NAGAR,29.0,
108203031.0,1082030313.0,3.0,3.0,4.0,2012.0,8.0,BAHAWAL NAGAR,12.0,31.0,1.0,2.0,0.0,31.0,1.0,PUNJAB,11.0,44.0,1.0,20.0,CHISHTIAN,30.0,
108213132.0,1082131324.0,4.0,25.0,3.0,2012.0,8.0,BAHAWAL NAGAR,16.0,50.0,1.0,0.0,0.0,32.0,1.0,PUNJAB,16.0,0.0,1.0,21.0,MINCHIN ABAD,31.0,
109223233.0,1092232331.0,1.0,30.0,3.0,2012.0,9.0,RAHIMYAR KHAN,11.0,50.0,1.0,3.0,0.0,33.0,1.0,PUNJAB,10.0,48.0,1.0,22.0,LIAQUAT PUR,32.0,
109223334.0,1092233342.0,2.0,5.0,4.0,2012.0,9.0,RAHIMYAR KHAN,18.0,25.0,3.0,2.0,1.0,34.0,1.0,PUNJAB,16.0,30.0,1.0,22.0,LIAQUAT PUR,33.0,
109233435.0,1092334353.0,3.0,24.0,3.0,2012.0,9.0,RAHIMYAR KHAN,11.0,5.0,1.0,3.0,6.0,35.0,1.0,PUNJAB,10.0,15.0,1.0,23.0,KHAN PUR,34.0,
109233536.0,1092335364.0,4.0,17.0,3.0,2012.0,9.0,RAHIMYAR KHAN,11.0,50.0,1.0,3.0,7.0,36.0,1.0,PUNJAB,11.0,6.0,1.0,23.0,KHAN PUR,35.0,
110243637.0,1102436371.0,1.0,4.0,4.0,2012.0,10.0,MULTAN,10.0,30.0,3.0,1.0,2.0,37.0,1.0,PUNJAB,9.0,45.0,1.0,24.0,JALAL PUR PIRWALA,36.0,
110243738.0,1102437382.0,2.0,30.0,3.0,2012.0,10.0,MULTAN,11.0,46.0,3.0,1.0,2.0,38.0,1.0,PUNJAB,10.0,50.0,1.0,24.0,JALAL PUR PIRWALA,37.0,
110243839.0,1102438393.0,3.0,28.0,3.0,2012.0,10.0,MULTAN,15.0,6.0,3.0,2.0,1.0,39.0,1.0,PUNJAB,14.0,40.0,1.0,24.0,JALAL PUR PIRWALA,38.0,
110253940.0,1102539404.0,4.0,18.0,3.0,2012.0,10.0,MULTAN,10.0,40.0,3.0,1.0,2.0,40.0,1.0,PUNJAB,10.0,15.0,1.0,25.0,MULTAN SADDAR,39.0,
111264041.0,1112640411.0,1.0,21.0,3.0,2012.0,11.0,FAISALABAD,2.0,32.0,1.0,2.0,7.0,41.0,1.0,PUNJAB,2.0,6.0,1.0,26.0,JARANWALA,40.0,
111274142.0,1112741422.0,2.0,5.0,4.0,2012.0,11.0,FAISALABAD,16.0,18.0,1.0,2.0,0.0,42.0,1.0,PUNJAB,15.0,36.0,1.0,27.0,SAMUNDARI,41.0,
111274243.0,1112742433.0,3.0,28.0,3.0,2012.0,11.0,FAISALABAD,14.0,0.0,1.0,0.0,0.0,43.0,1.0,PUNJAB,13.0,10.0,1.0,27.0,SAMUNDARI,42.0,
111284344.0,1112843444.0,4.0,11.0,4.0,2012.0,11.0,FAISALABAD,14.0,48.0,9.0,1.0,2.0,44.0,1.0,PUNJAB,13.0,35.0,1.0,28.0,TANDLIAN WALA,43.0,
112294445.0,1122944451.0,1.0,1.0,4.0,2012.0,12.0,SARGODHA,15.0,10.0,1.0,1.0,1.0,45.0,1.0,PUNJAB,14.0,15.0,1.0,29.0,BHALWAL,44.0,
112304546.0,1123045462.0,2.0,18.0,3.0,2012.0,12.0,SARGODHA,11.0,40.0,1.0,2.0,0.0,46.0,1.0,PUNJAB,10.0,35.0,1.0,30.0,SHAH PUR,45.0,
112304647.0,1123046473.0,3.0,24.0,3.0,2012.0,12.0,SARGODHA,14.0,5.0,1.0,0.0,0.0,47.0,1.0,PUNJAB,12.0,33.0,1.0,30.0,SHAH PUR,46.0,
112314748.0,1123147484.0,4.0,8.0,4.0,2012.0,12.0,SARGODHA,9.0,23.0,1.0,2.0,0.0,48.0,1.0,PUNJAB,8.0,10.0,1.0,31.0,SILLAN WALI,47.0,
213324849.0,2133248491.0,1.0,28.0,3.0,2012.0,13.0,THATTA,12.0,30.0,6.0,2.0,0.0,49.0,2.0,SINDH,11.0,0.0,1.0,32.0,MIR PUR SAKRO,48.0,
213324950.0,2133249502.0,2.0,9.0,4.0,2012.0,13.0,THATTA,10.0,20.0,6.0,0.0,0.0,50.0,2.0,SINDH,9.0,0.0,1.0,32.0,MIR PUR SAKRO,49.0,
213324952.0,2133249523.0,3.0,2.0,4.0,2012.0,13.0,THATTA,14.0,25.0,6.0,0.0,0.0,52.0,2.0,SINDH,13.0,0.0,1.0,32.0,MIR PUR SAKRO,49.0,
213335051.0,2133351514.0,4.0,16.0,3.0,2012.0,13.0,THATTA,13.0,20.0,6.0,8.0,0.0,51.0,2.0,SINDH,12.0,30.0,1.0,33.0,MIRPUR BATHORO,50.0,
214345253.0,2143452531.0,1.0,28.0,3.0,2012.0,14.0,DADU,11.0,52.0,6.0,0.0,0.0,53.0,2.0,SINDH,11.0,14.0,1.0,34.0,DADU,52.0,
214355354.0,2143553542.0,2.0,12.0,4.0,2012.0,14.0,DADU,15.0,23.0,6.0,3.0,0.0,54.0,2.0,SINDH,14.0,19.0,1.0,35.0,KOTRI,53.0,
214365455.0,2143654553.0,3.0,20.0,3.0,2012.0,14.0,DADU,18.0,13.0,8.0,6.0,3.0,55.0,2.0,SINDH,16.0,10.0,1.0,36.0,JOHI,54.0,
214375556.0,2143755564.0,4.0,6.0,4.0,2012.0,14.0,DADU,15.0,45.0,6.0,3.0,8.0,56.0,2.0,SINDH,15.0,10.0,1.0,37.0,KHAIR PUR NATHAN SHAH,55.0,
215385657.0,2153856571.0,1.0,11.0,4.0,2012.0,15.0,SANGHAR,12.0,40.0,6.0,3.0,0.0,57.0,2.0,SINDH,11.0,30.0,1.0,38.0,KHIPRO,56.0,
215395758.0,2153957582.0,2.0,25.0,3.0,2012.0,15.0,SANGHAR,12.0,23.0,7.0,6.0,1.0,58.0,2.0,SINDH,11.0,17.0,1.0,39.0,SANGHAR,57.0,
215395859.0,2153958593.0,3.0,5.0,4.0,2012.0,15.0,SANGHAR,16.0,5.0,6.0,4.0,3.0,59.0,2.0,SINDH,15.0,10.0,1.0,39.0,SANGHAR,58.0,
215405960.0,2154059604.0,4.0,6.0,4.0,2012.0,15.0,SANGHAR,14.0,0.0,1.0,6.0,0.0,60.0,2.0,SINDH,13.0,0.0,1.0,40.0,SINJHORO,59.0,
216416061.0,2164160611.0,1.0,24.0,3.0,2012.0,16.0,JACOBABAD,9.0,15.0,6.0,3.0,8.0,61.0,2.0,SINDH,8.0,10.0,1.0,41.0,JACOBABAD,60.0,
216416162.0,2164161622.0,2.0,20.0,4.0,2012.0,16.0,JACOBABAD,14.0,45.0,8.0,6.0,0.0,62.0,2.0,SINDH,14.0,5.0,1.0,41.0,JACOBABAD,61.0,
216426263.0,2164262633.0,3.0,15.0,4.0,2012.0,16.0,JACOBABAD,13.0,58.0,6.0,0.0,0.0,63.0,2.0,SINDH,13.0,10.0,1.0,42.0,KASHMORE,62.0,
216436364.0,2164363644.0,4.0,10.0,4.0,2012.0,16.0,JACOBABAD,12.0,50.0,8.0,6.0,0.0,64.0,2.0,SINDH,12.0,10.0,1.0,43.0,KANDHKOT,63.0,
217446465.0,2174464651.0,1.0,16.0,4.0,2012.0,17.0,HYDERABAD,14.0,5.0,6.0,0.0,0.0,65.0,2.0,SINDH,13.0,21.0,1.0,44.0,TANDO MUHAMMAD KHAN,64.0,
217446566.0,2174465662.0,2.0,29.0,3.0,2012.0,17.0,HYDERABAD,13.0,15.0,3.0,6.0,0.0,66.0,2.0,SINDH,12.0,0.0,1.0,44.0,TANDO MUHAMMAD KHAN,65.0,
217446667.0,2174466673.0,3.0,4.0,4.0,2012.0,17.0,HYDERABAD,15.0,15.0,6.0,5.0,0.0,67.0,2.0,SINDH,13.0,30.0,1.0,44.0,TANDO MUHAMMAD KHAN,66.0,
217456768.0,2174567684.0,4.0,20.0,3.0,2012.0,17.0,HYDERABAD,16.0,38.0,8.0,2.0,0.0,68.0,2.0,SINDH,15.0,50.0,1.0,45.0,HALA,67.0,
318466869.0,3184668691.0,1.0,24.0,3.0,2012.0,18.0,NOWSHERA,12.0,35.0,7.0,0.0,0.0,69.0,3.0,KPK,11.0,15.0,1.0,46.0,NOWSHERA,68.0,
318466970.0,3184669702.0,2.0,2.0,4.0,2012.0,18.0,NOWSHERA,12.0,19.0,7.0,0.0,0.0,70.0,3.0,KPK,11.0,40.0,1.0,46.0,NOWSHERA,69.0,
318467071.0,3184670713.0,3.0,19.0,3.0,2012.0,18.0,NOWSHERA,12.0,0.0,7.0,10.0,0.0,71.0,3.0,KPK,11.0,0.0,1.0,46.0,NOWSHERA,70.0,
318467172.0,3184671724.0,4.0,28.0,3.0,2012.0,18.0,NOWSHERA,10.0,45.0,7.0,5.0,0.0,72.0,3.0,KPK,8.0,59.0,1.0,46.0,NOWSHERA,71.0,
319477273.0,3194772731.0,1.0,1.0,4.0,2012.0,19.0,MANSEHRA,16.0,51.0,5.0,2.0,1.0,73.0,3.0,KPK,16.0,17.0,1.0,47.0,MANSEHRA,72.0,
319477274.0,3194772742.0,2.0,9.0,4.0,2012.0,19.0,MANSEHRA,0.0,0.0,5.0,2.0,7.0,74.0,3.0,KPK,0.0,0.0,1.0,47.0,MANSEHRA,72.0,
319477375.0,3194773753.0,3.0,18.0,4.0,2012.0,19.0,MANSEHRA,0.0,0.0,5.0,2.0,10.0,75.0,3.0,KPK,0.0,0.0,1.0,47.0,MANSEHRA,73.0,
319487476.0,3194874764.0,4.0,24.0,3.0,2012.0,19.0,MANSEHRA,0.0,0.0,5.0,2.0,10.0,76.0,3.0,KPK,0.0,0.0,1.0,48.0,BALAKOT,74.0,
101010101.0,,,15.0,5.0,2013.0,1.0,KASUR,,,,,,1.0,1.0,PUNJAB,,,,1.0,CHUNIAN,1.0,LUNDEY
101010202.0,,,6.0,5.0,2013.0,1.0,KASUR,,,,,,2.0,1.0,PUNJAB,,,,1.0,CHUNIAN,2.0,MOKAL
101010203.0,,,8.0,5.0,2013.0,1.0,KASUR,,,,,,3.0,1.0,PUNJAB,,,,1.0,CHUNIAN,2.0,MOKAL
101020304.0,,,14.0,5.0,2013.0,1.0,KASUR,,,,,,4.0,1.0,PUNJAB,,,,2.0,PATTOKI,3.0,CHAK NO 027
102030405.0,,,27.0,4.0,2013.0,2.0,BHAKKAR,,,,,,5.0,1.0,PUNJAB,,,,3.0,BHAKKAR,4.0,NOTAK
102030506.0,,,4.0,5.0,2013.0,2.0,BHAKKAR,,,,,,6.0,1.0,PUNJAB,,,,3.0,BHAKKAR,5.0,CHAK NO 061 ML
102030607.0,,,10.0,5.0,2013.0,2.0,BHAKKAR,,,,,,7.0,1.0,PUNJAB,,,,3.0,BHAKKAR,6.0,KHANSUR
102040708.0,,,18.0,5.0,2013.0,2.0,BHAKKAR,,,,,,8.0,1.0,PUNJAB,,,,4.0,DARYA KHAN,7.0,BARANGA
103050809.0,,,12.0,5.0,2013.0,3.0,KHANEWAL,,,,,,9.0,1.0,PUNJAB,,,,5.0,KHANEWAL,8.0,BHIRU WAL
103060910.0,,,29.0,5.0,2013.0,3.0,KHANEWAL,,,,,,10.0,1.0,PUNJAB,,,,6.0,MIAN CHAINNU,9.0,137/I6L
103061011.0,,,24.0,4.0,2013.0,3.0,KHANEWAL,,,,,,11.0,1.0,PUNJAB,,,,6.0,MIAN CHANNU,10.0,ROTLA
103071112.0,,,9.0,5.0,2013.0,3.0,KHANEWAL,,,,,,12.0,1.0,PUNJAB,,,,7.0,JAHNLAN,11.0,053/10-R
104081213.0,,,25.0,4.0,2013.0,4.0,ATTOCK,,,,,,13.0,1.0,PUNJAB,,,,8.0,HAZRO,12.0,BAHADUR KHAN
104081314.0,,,2.0,5.0,2013.0,4.0,ATTOCK,,,,,,14.0,1.0,PUNJAB,,,,8.0,ATTOCK,13.0,KAMRA
104081415.0,,,9.0,5.0,2013.0,4.0,ATTOCK,,,,,,15.0,1.0,PUNJAB,,,,8.0,HAZRO,14.0,SHAMS ABAD
104091516.0,,,15.0,5.0,2013.0,4.0,ATTOCK,,,,,,16.0,1.0,PUNJAB,,,,9.0,FATEH JHANG,15.0,QUTBAL
105101617.0,,,24.0,4.0,2013.0,5.0,VEHARI,,,,,,17.0,1.0,PUNJAB,,,,10.0,MAILSI,16.0,FADDA
105101718.0,,,29.0,4.0,2013.0,5.0,VEHARI,,,,,,18.0,1.0,PUNJAB,,,,10.0,MAILSI,17.0,FATEH PUR
105111819.0,,,8.0,5.0,2013.0,5.0,VEHARI,,,,,,19.0,1.0,PUNJAB,,,,11.0,VEHARI,18.0,CHAK 166 EB
105121920.0,,,15.0,5.0,2013.0,5.0,VEHARI,,,,,,20.0,1.0,PUNJAB,,,,12.0,BURAY WALA,19.0,495 EB
106132021.0,,,10.0,5.0,2013.0,6.0,JHANG,,,,,,21.0,1.0,PUNJAB,,,,13.0,SHORKOT,20.0,BINDA SURBANA
106132122.0,,,13.0,5.0,2013.0,6.0,JHANG,,,,,,22.0,1.0,PUNJAB,,,,13.0,SHORKOT,21.0,GUDARA
106142223.0,,,29.0,4.0,2013.0,6.0,JHANG,,,,,,23.0,1.0,PUNJAB,,,,14.0,CHINIOT,22.0,DOSA
106142324.0,,,4.0,5.0,2013.0,6.0,JHANG,,,,,,24.0,1.0,PUNJAB,,,,14.0,ISHAZARI,23.0,KOT SHAKIR
107152425.0,,,7.0,5.0,2013.0,7.0,DERA GHAZI KHAN,,,,,,25.0,1.0,PUNJAB,,,,15.0,DERA GHAZI KHAN,24.0,CHOJI ZAREEN
107152627.0,,,30.0,4.0,2013.0,7.0,DERA GHAZI KHAN,,,,,,27.0,1.0,PUNJAB,,,,15.0,DERA GHAZI KHAN,26.0,GADAI
107162526.0,,,22.0,5.0,2013.0,7.0,DERA GHAZI KHAN,,,,,,26.0,1.0,PUNJAB,,,,16.0,DERA GHAZI KHAN,25.0,TUMAN LEGHARI
107172728.0,,,18.0,5.0,2013.0,7.0,DERA GHAZI KHAN,,,,,,28.0,1.0,PUNJAB,,,,17.0,TAUNSA,27.0,MORJHANGI
108182829.0,,,9.0,5.0,2013.0,8.0,BAHAWAL NAGAR,,,,,,29.0,1.0,PUNJAB,,,,18.0,FORT ABBAS,28.0,176 7R
108192930.0,,,30.0,4.0,2013.0,8.0,BAHAWAL NAGAR,,,,,,30.0,1.0,PUNJAB,,,,19.0,BAHAWAL NAGAR,29.0,BARA SAJAWAR KHAN
108203031.0,,,4.0,5.0,2013.0,8.0,BAHAWAL NAGAR,,,,,,31.0,1.0,PUNJAB,,,,20.0,CHISHTIAN,30.0,128 MURAD
108213132.0,,,25.0,4.0,2013.0,8.0,BAHAWAL NAGAR,,,,,,32.0,1.0,PUNJAB,,,,21.0,MINCHIN ABAD,31.0,MANDI SADIQ GUNJ
109223233.0,,,10.0,5.0,2013.0,9.0,RAHIM YAR KHAN,,,,,,33.0,1.0,PUNJAB,,,,22.0,LIAQUAT PUR,32.0,CHACK 46 ABS
109223334.0,,,15.0,5.0,2013.0,9.0,RAHIM YAR KHAN,,,,,,34.0,1.0,PUNJAB,,,,22.0,LIAQUAT PUR,33.0,DASHTI
109233435.0,,,3.0,5.0,2013.0,9.0,RAHIM YAR KHAN,,,,,,35.0,1.0,PUNJAB,,,,23.0,KHAN PUR,34.0,JETHA BHUJTA
109233536.0,,,28.0,4.0,2013.0,9.0,RAHIM YAR KHAN,,,,,,36.0,1.0,PUNJAB,,,,23.0,KHAN PUR,35.0,LATKI
110243637.0,,,27.0,4.0,2013.0,10.0,MULTAN,,,,,,37.0,1.0,PUNJAB,,,,24.0,JALAL PUR PIR WALA,36.0,LAL WAH
110243738.0,,,1.0,5.0,2013.0,10.0,MULTAN,,,,,,38.0,1.0,PUNJAB,,,,24.0,JALAL PUR PIR WALA,37.0,MIAN PUR BALEY WALA
110243839.0,,,14.0,5.0,2013.0,10.0,MULTAN,,,,,,39.0,1.0,PUNJAB,,,,24.0,JALAL PUR PIR WALA,38.0,GHAZI PUR
110253940.0,,,15.0,5.0,2013.0,10.0,MULTAN,,,,,,40.0,1.0,PUNJAB,,,,25.0,MULTAN SADAR,39.0,BOTTEE WALA
111264041.0,,,24.0,4.0,2013.0,11.0,FAISALABAD,,,,,,41.0,1.0,PUNJAB,,,,26.0,JARANWALA,40.0,CHAK NO 76RB
111274142.0,,,30.0,4.0,2013.0,11.0,FAISALABAD,,,,,,42.0,1.0,PUNJAB,,,,27.0,SAMUNDARI,41.0,CHAK 226 GB
111274243.0,,,8.0,5.0,2013.0,11.0,FAISALABAD,,,,,,43.0,1.0,PUNJAB,,,,27.0,SAMMUNDRI,42.0,CHAK 042
111284344.0,,,16.0,5.0,2013.0,11.0,FAISALABAD,,,,,,44.0,1.0,PUNJAB,,,,28.0,TANDLIANWALA,43.0,CHAK 490 GB
112294445.0,,,16.0,5.0,2013.0,12.0,SARGODHA,,,,,,45.0,1.0,PUNJAB,,,,29.0,BHALWAL,44.0,GORNA
112304546.0,,,7.0,5.0,2013.0,12.0,SARGODHA,,,,,,46.0,1.0,PUNJAB,,,,30.0,SHAH PUR,45.0,AQIL SHAH
112304647.0,,,4.0,5.0,2013.0,12.0,SARGODHA,,,,,,47.0,1.0,PUNJAB,,,,30.0,SHAH PUR,46.0,SABOWAL
112314748.0,,,25.0,4.0,2013.0,12.0,SARGODHA,,,,,,48.0,1.0,PUNJAB,,,,31.0,SILLAWALI,47.0,SHAEENABAD
213324849.0,,,27.0,4.0,2013.0,13.0,THATTA,,,,,,49.0,2.0,SINDH,,,,32.0,MIR PUR SAKRO,48.0,GUJJO
213324952.0,,,9.0,5.0,2013.0,13.0,THATTA,,,,,,52.0,2.0,SINDH,,,,32.0,MIR PUR SAKRO,49.0,CHOUBANDI
213334950.0,,,3.0,5.0,2013.0,13.0,THATTA,,,,,,50.0,2.0,SINDH,,,,33.0,MIR PUR SAKRO,49.0,CHOUBANDI
213335051.0,,,15.0,5.0,2013.0,13.0,THATTA,,,,,,51.0,2.0,SINDH,,,,33.0,MIR PUR BATHORO,50.0,JHOKE SHARIF
214345253.0,,,28.0,4.0,2013.0,14.0,DADU,,,,,,53.0,2.0,SINDH,,,,34.0,KHUDA ABAD,52.0,KHUDA ABAD
214355354.0,,,17.0,5.0,2013.0,14.0,DADU,,,,,,54.0,2.0,SINDH,,,,35.0,KOTRI,53.0,UNER PUR
214365455.0,,,3.0,5.0,2013.0,14.0,DADU,,,,,,55.0,2.0,SINDH,,,,36.0,JOHI,54.0,TANDO RAHIM KHAN
214365556.0,,,7.0,5.0,2013.0,14.0,DADU,,,,,,56.0,2.0,SINDH,,,,36.0,K N SHAH,54.0,KANDAY CHUKI
215385657.0,,,4.0,5.0,2013.0,15.0,SANGHAR,,,,,,57.0,2.0,SINDH,,,,38.0,KHIPRO,56.0,KHORI
215395758.0,,,25.0,4.0,2013.0,15.0,SANGHAR,,,,,,58.0,2.0,SINDH,,,,39.0,SANGHAR,57.0,GUJRI
215395859.0,,,9.0,5.0,2013.0,15.0,SANGHAR,,,,,,59.0,2.0,SINDH,,,,39.0,SANGHAR,58.0,KANHAR
215405960.0,,,17.0,5.0,2013.0,15.0,SANGHAR,,,,,,60.0,2.0,SINDH,,,,40.0,SINJHORO,59.0,JHOL
216416061.0,,,6.0,5.0,2013.0,16.0,JACOBABAD,,,,,,63.0,2.0,SINDH,,,,41.0,JACOBABAD,62.0,DHSTI
216416162.0,,,4.0,5.0,2013.0,16.0,JALOBABAD,,,,,,62.0,2.0,SINDH,,,,41.0,JACOBABAD,61.0,AHMED PUR
216426263.0,,,18.0,5.0,2013.0,16.0,JACOBABAD,,,,,,63.0,2.0,SINDH,,,,42.0,KASHMOR,62.0,SODHI
216436364.0,,,9.0,5.0,2013.0,16.0,JACOBABNAD,,,,,,64.0,2.0,SIDNH,,,,43.0,KANDHKOT,63.0,SAIFAL
217446465.0,,,27.0,4.0,2013.0,17.0,HYDERABAD,,,,,,65.0,2.0,SINDH,,,,44.0,TANDO M KHAN,64.0,CHOUDRO TC
217446566.0,,,3.0,5.0,2013.0,17.0,HYDERABAD,,,,,,66.0,2.0,SINDH,,,,44.0,TANDO M KHAN,65.0,GHULAM SHAH MOYA
217446667.0,,,8.0,5.0,2013.0,17.0,HYDERABAD,,,,,,67.0,2.0,SINDH,,,,44.0,TANDO M KHAN,66.0,SAEED PUR
217456768.0,,,16.0,5.0,2013.0,17.0,HYDERABAD,,,,,,68.0,2.0,SINDH,,,,45.0,HALA,67.0,GHOTANA TC
318466869.0,,,29.0,4.0,2013.0,18.0,NOWSHERA,,,,,,69.0,3.0,KPK,,,,46.0,PABBI,68.0,MOHIB BANDA
318466970.0,,,7.0,5.0,2013.0,18.0,NOWSHERA,,,,,,70.0,3.0,KPK,,,,46.0,PABBI,69.0,JALOZAI
318467071.0,,,24.0,4.0,2013.0,18.0,NOWSHERA,,,,,,71.0,3.0,KPK,,,,46.0,NOWSHERA,70.0,GANDERI
