,CID,G_OMM,G_OMM_Tunit,G_OMM_NoT,G_OMM_NoM,G_OMM_NoF,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,Survey_Round,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_Prgm_ID,G_Prgm_M,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_Prgm_ILoM,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,G_Prgm_Decide,G_PrgmEffC_5y,G_Prgm_2007NoHHB,G_Prgm_Name,G_PrgmEffC_1y,G_PrgmM_StillRun
20,106132021,0.0,,,,,,,,7.0,4.0,6.0,1.0,1.0,1061320211.0,1.0,6.0,13.0,20.0,21.0,4.0,7.0,3.0,7.0,8.0,4.0,4.0,5.0,8.0,8.0,7.0,9.0,,,,,,,,,,,,,,
21,106132122,0.0,,,,,,,,3.0,4.0,2.0,1.0,2.0,1061321222.0,1.0,6.0,13.0,21.0,22.0,6.0,4.0,3.0,8.0,4.0,5.0,9.0,8.0,4.0,4.0,2.0,8.0,,,,,,,,,,,,,,
22,106142223,0.0,,,,,,,,4.0,6.0,7.0,1.0,3.0,1061422233.0,1.0,6.0,14.0,22.0,23.0,10.0,6.0,5.0,2.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,,,,,,,,,,,,,,
23,106142324,0.0,,,,,,,,3.0,1.0,4.0,1.0,4.0,1061423244.0,1.0,6.0,14.0,23.0,24.0,4.0,3.0,6.0,5.0,4.0,2.0,8.0,5.0,4.0,8.0,9.0,7.0,,,,,,,,,,,,,,
24,107152425,1.0,5.0,6.0,30.0,0.0,4.0,8.0,6.0,2.0,11.0,4.0,1.0,1.0,1071524251.0,1.0,7.0,15.0,24.0,25.0,4.0,3.0,5.0,4.0,5.0,8.0,4.0,8.0,6.0,4.0,5.0,8.0,,,,,,,,,,,,,,
25,107162526,1.0,3.0,6.0,50.0,0.0,6.0,4.0,8.0,6.0,2.0,4.0,1.0,2.0,1071625262.0,1.0,7.0,16.0,25.0,26.0,4.0,5.0,-99.0,4.0,5.0,8.0,4.0,7.0,8.0,4.0,5.0,8.0,,,,,,,,,,,,,,
26,107162627,1.0,1.0,3.0,100.0,0.0,6.0,8.0,7.0,2.0,4.0,6.0,1.0,3.0,1071626273.0,1.0,7.0,16.0,26.0,27.0,2.0,4.0,-99.0,7.0,4.0,-99.0,2.0,4.0,-99.0,7.0,4.0,-99.0,,,,,,,,,,,,,,
27,107172728,0.0,,,,,,,,1.0,4.0,5.0,1.0,4.0,1071727284.0,1.0,7.0,17.0,27.0,28.0,4.0,5.0,-99.0,4.0,8.0,-99.0,8.0,2.0,-99.0,4.0,2.0,-99.0,,,,,,,,,,,,,,
28,108182829,1.0,3.0,7.0,30.0,0.0,7.0,6.0,8.0,3.0,4.0,8.0,1.0,1.0,1081828291.0,1.0,8.0,18.0,28.0,29.0,4.0,3.0,-99.0,4.0,3.0,5.0,5.0,4.0,-99.0,8.0,4.0,-99.0,,,,,,,,,,,,,,
29,108192930,1.0,1.0,3.0,50.0,0.0,6.0,4.0,7.0,2.0,3.0,4.0,1.0,2.0,1081929302.0,1.0,8.0,19.0,29.0,30.0,4.0,-99.0,,4.0,8.0,-99.0,4.0,2.0,-99.0,4.0,2.0,-99.0,,,,,,,,,,,,,,
30,108203031,1.0,3.0,7.0,50.0,0.0,6.0,7.0,,2.0,4.0,,1.0,3.0,1082030313.0,1.0,8.0,20.0,30.0,31.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,,,,,,,,,,,,,,
31,108213132,1.0,3.0,7.0,50.0,0.0,6.0,4.0,,2.0,4.0,,1.0,4.0,1082131324.0,1.0,8.0,21.0,31.0,32.0,4.0,3.0,5.0,1.0,8.0,9.0,1.0,8.0,4.0,8.0,1.0,5.0,,,,,,,,,,,,,,
32,109223233,1.0,5.0,7.0,25.0,0.0,6.0,7.0,,11.0,4.0,1.0,1.0,1.0,1092232331.0,1.0,9.0,22.0,32.0,33.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,-99.0,1.0,2.0,4.0,,,,,,,,,,,,,,
33,109223334,1.0,2.0,3.0,10.0,2.0,2.0,1.0,7.0,2.0,3.0,11.0,1.0,2.0,1092233342.0,1.0,9.0,22.0,33.0,34.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,,,,,,,,,,,,,,
34,109233435,1.0,1.0,7.0,5.0,0.0,8.0,1.0,6.0,4.0,2.0,9.0,1.0,3.0,1092334353.0,1.0,9.0,23.0,34.0,35.0,9.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,8.0,8.0,1.0,2.0,,,,,,,,,,,,,,
35,109233536,1.0,1.0,5.0,7.0,0.0,3.0,4.0,7.0,9.0,7.0,2.0,1.0,4.0,1092335364.0,1.0,9.0,23.0,35.0,36.0,8.0,1.0,2.0,9.0,8.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,
36,110243637,0.0,,,,,,,,4.0,6.0,8.0,1.0,1.0,1102436371.0,1.0,10.0,24.0,36.0,37.0,2.0,3.0,7.0,1.0,4.0,5.0,4.0,2.0,8.0,8.0,4.0,2.0,,,,,,,,,,,,,,
37,110243738,1.0,1.0,3.0,25.0,0.0,6.0,3.0,8.0,4.0,3.0,7.0,1.0,2.0,1102437382.0,1.0,10.0,24.0,37.0,38.0,4.0,3.0,1.0,1.0,4.0,2.0,8.0,7.0,9.0,7.0,9.0,8.0,,,,,,,,,,,,,,
38,110243839,1.0,5.0,3.0,15.0,0.0,6.0,8.0,,4.0,3.0,8.0,1.0,3.0,1102438393.0,1.0,10.0,24.0,38.0,39.0,2.0,6.0,8.0,8.0,5.0,4.0,8.0,7.0,6.0,3.0,4.0,8.0,,,,,,,,,,,,,,
39,110253940,1.0,2.0,2.0,4.0,1.0,6.0,8.0,4.0,2.0,4.0,3.0,1.0,4.0,1102539404.0,1.0,10.0,25.0,39.0,40.0,4.0,5.0,6.0,2.0,4.0,5.0,2.0,5.0,6.0,2.0,3.0,5.0,,,,,,,,,,,,,,
40,111264041,1.0,3.0,7.0,40.0,0.0,4.0,6.0,2.0,4.0,7.0,6.0,1.0,1.0,1112640411.0,1.0,11.0,26.0,40.0,41.0,4.0,3.0,1.0,2.0,4.0,-99.0,2.0,8.0,6.0,4.0,2.0,8.0,,,,,,,,,,,,,,
41,111274142,1.0,1.0,7.0,50.0,0.0,6.0,7.0,8.0,2.0,5.0,7.0,1.0,2.0,1112741422.0,1.0,11.0,27.0,41.0,42.0,3.0,4.0,5.0,5.0,7.0,-99.0,2.0,5.0,6.0,4.0,2.0,8.0,,,,,,,,,,,,,,
42,111274243,1.0,1.0,7.0,20.0,0.0,4.0,6.0,7.0,4.0,2.0,5.0,1.0,3.0,1112742433.0,1.0,11.0,27.0,42.0,43.0,2.0,5.0,8.0,2.0,5.0,6.0,5.0,4.0,2.0,6.0,2.0,4.0,,,,,,,,,,,,,,
43,111284344,1.0,1.0,7.0,20.0,0.0,7.0,6.0,8.0,2.0,4.0,7.0,1.0,4.0,1112843444.0,1.0,11.0,28.0,43.0,44.0,10.0,2.0,6.0,2.0,1.0,8.0,2.0,5.0,8.0,5.0,8.0,6.0,,,,,,,,,,,,,,
44,112294445,1.0,1.0,5.0,60.0,0.0,7.0,6.0,8.0,7.0,6.0,2.0,1.0,1.0,1122944451.0,1.0,12.0,29.0,44.0,45.0,10.0,6.0,7.0,2.0,8.0,6.0,8.0,2.0,6.0,5.0,8.0,7.0,,,,,,,,,,,,,,
45,112304546,1.0,4.0,4.0,50.0,0.0,6.0,7.0,8.0,2.0,6.0,5.0,1.0,2.0,1123045462.0,1.0,12.0,30.0,45.0,46.0,10.0,6.0,7.0,2.0,5.0,6.0,2.0,5.0,8.0,5.0,4.0,9.0,,,,,,,,,,,,,,
46,112304647,1.0,1.0,4.0,50.0,0.0,6.0,7.0,8.0,10.0,6.0,7.0,1.0,3.0,1123046473.0,1.0,12.0,30.0,46.0,47.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,,
47,112314748,1.0,2.0,4.0,100.0,0.0,7.0,6.0,3.0,7.0,6.0,2.0,1.0,4.0,1123147484.0,1.0,12.0,31.0,47.0,48.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,
48,213324849,0.0,,,,,,,,4.0,3.0,7.0,1.0,1.0,2133248491.0,2.0,13.0,32.0,48.0,49.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,
49,213324950,0.0,,,,,,,,2.0,4.0,5.0,1.0,2.0,2133249502.0,2.0,13.0,32.0,49.0,50.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,4.0,10.0,3.0,4.0,1.0,,,,,,,,,,,,,,
50,213324952,0.0,,,,,,,,10.0,2.0,4.0,1.0,3.0,2133249523.0,2.0,13.0,32.0,49.0,52.0,8.0,9.0,-99.0,8.0,6.0,9.0,8.0,6.0,9.0,8.0,9.0,6.0,,,,,,,,,,,,,,
51,213335051,1.0,2.0,3.0,12.0,0.0,6.0,2.0,7.0,4.0,2.0,5.0,1.0,4.0,2133351514.0,2.0,13.0,33.0,50.0,51.0,-99.0,,,5.0,6.0,8.0,5.0,6.0,8.0,5.0,6.0,7.0,,,,,,,,,,,,,,
52,214345253,1.0,8.0,4.0,70.0,0.0,1.0,4.0,7.0,2.0,5.0,12.0,1.0,1.0,2143452531.0,2.0,14.0,34.0,52.0,53.0,-99.0,,,8.0,6.0,5.0,8.0,6.0,5.0,8.0,6.0,9.0,,,,,,,,,,,,,,
53,214355354,0.0,,,,,,,,4.0,2.0,1.0,1.0,2.0,2143553542.0,2.0,14.0,35.0,53.0,54.0,4.0,10.0,3.0,2.0,8.0,6.0,2.0,8.0,6.0,2.0,8.0,6.0,,,,,,,,,,,,,,
54,214365455,0.0,,,,,,,,4.0,3.0,2.0,1.0,3.0,2143654553.0,2.0,14.0,36.0,54.0,55.0,4.0,3.0,7.0,2.0,6.0,8.0,2.0,6.0,8.0,2.0,6.0,8.0,,,,,,,,,,,,,,
55,214375556,1.0,1.0,3.0,25.0,0.0,3.0,7.0,1.0,2.0,4.0,5.0,1.0,4.0,2143755564.0,2.0,14.0,37.0,55.0,56.0,3.0,4.0,10.0,4.0,6.0,8.0,6.0,8.0,9.0,8.0,6.0,-99.0,,,,,,,,,,,,,,
56,215385657,1.0,3.0,7.0,100.0,0.0,4.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,2153856571.0,2.0,15.0,38.0,56.0,57.0,10.0,4.0,3.0,5.0,8.0,9.0,5.0,6.0,8.0,5.0,6.0,8.0,,,,,,,,,,,,,,
57,215395758,1.0,3.0,3.0,300.0,0.0,1.0,2.0,7.0,2.0,5.0,8.0,1.0,2.0,2153957582.0,2.0,15.0,39.0,57.0,58.0,10.0,4.0,-99.0,2.0,8.0,-99.0,7.0,8.0,-99.0,2.0,4.0,-99.0,,,,,,,,,,,,,,
58,215395859,0.0,,,,,,,,5.0,2.0,8.0,1.0,3.0,2153958593.0,2.0,15.0,39.0,58.0,59.0,7.0,-99.0,,2.0,7.0,8.0,8.0,6.0,-99.0,5.0,8.0,-99.0,,,,,,,,,,,,,,
59,215405960,0.0,,,,,,,,2.0,5.0,4.0,1.0,4.0,2154059604.0,2.0,15.0,40.0,59.0,60.0,6.0,3.0,-99.0,2.0,4.0,-99.0,7.0,8.0,-99.0,4.0,2.0,-99.0,,,,,,,,,,,,,,
60,216416061,1.0,5.0,7.0,10.0,0.0,1.0,2.0,4.0,7.0,4.0,5.0,1.0,1.0,2164160611.0,2.0,16.0,41.0,60.0,61.0,-99.0,,,2.0,5.0,-99.0,2.0,8.0,-99.0,2.0,4.0,-99.0,,,,,,,,,,,,,,
61,216416162,0.0,,,,,,,,2.0,5.0,3.0,1.0,2.0,2164161622.0,2.0,16.0,41.0,61.0,62.0,2.0,5.0,-99.0,5.0,7.0,-99.0,8.0,-99.0,,7.0,8.0,-99.0,,,,,,,,,,,,,,
62,216426263,1.0,3.0,7.0,50.0,0.0,6.0,7.0,,2.0,7.0,5.0,1.0,3.0,2164262633.0,2.0,16.0,42.0,62.0,63.0,4.0,7.0,-99.0,2.0,-99.0,,4.0,8.0,-99.0,4.0,8.0,-99.0,,,,,,,,,,,,,,
63,216436364,1.0,5.0,7.0,50.0,0.0,6.0,7.0,,7.0,2.0,5.0,1.0,4.0,2164363644.0,2.0,16.0,43.0,63.0,64.0,4.0,5.0,-99.0,4.0,5.0,-99.0,4.0,-99.0,,4.0,5.0,8.0,,,,,,,,,,,,,,
64,217446465,0.0,,,,,,,,3.0,6.0,4.0,1.0,1.0,2174464651.0,2.0,17.0,44.0,64.0,65.0,4.0,6.0,5.0,4.0,8.0,-99.0,5.0,-99.0,,4.0,8.0,-99.0,,,,,,,,,,,,,,
65,217446566,1.0,3.0,7.0,10.0,0.0,8.0,1.0,6.0,3.0,4.0,1.0,1.0,2.0,2174465662.0,2.0,17.0,44.0,65.0,66.0,4.0,1.0,8.0,4.0,6.0,3.0,5.0,4.0,6.0,7.0,4.0,9.0,,,,,,,,,,,,,,
66,217446667,0.0,,,,,,,,2.0,4.0,6.0,1.0,3.0,2174466673.0,2.0,17.0,44.0,66.0,67.0,4.0,7.0,3.0,4.0,1.0,2.0,5.0,8.0,9.0,4.0,7.0,8.0,,,,,,,,,,,,,,
67,217456768,1.0,11.0,7.0,40.0,0.0,2.0,6.0,1.0,5.0,2.0,9.0,1.0,4.0,2174567684.0,2.0,17.0,45.0,67.0,68.0,4.0,6.0,1.0,1.0,2.0,4.0,5.0,4.0,8.0,9.0,4.0,2.0,,,,,,,,,,,,,,
68,318466869,1.0,4.0,6.0,10.0,0.0,6.0,7.0,8.0,6.0,7.0,4.0,1.0,1.0,3184668691.0,3.0,18.0,46.0,68.0,69.0,4.0,1.0,-99.0,1.0,2.0,4.0,8.0,4.0,5.0,8.0,9.0,4.0,,,,,,,,,,,,,,
69,318466970,0.0,,,,,,,,4.0,7.0,2.0,1.0,2.0,3184669702.0,3.0,18.0,46.0,69.0,70.0,5.0,-99.0,,1.0,2.0,-99.0,6.0,8.0,9.0,4.0,5.0,6.0,,,,,,,,,,,,,,
70,318467071,1.0,1.0,3.0,10.0,0.0,3.0,4.0,6.0,1.0,2.0,4.0,1.0,3.0,3184670713.0,3.0,18.0,46.0,70.0,71.0,5.0,6.0,-99.0,1.0,2.0,4.0,4.0,6.0,-99.0,4.0,6.0,8.0,,,,,,,,,,,,,,
71,318467172,1.0,1.0,3.0,100.0,0.0,6.0,7.0,4.0,6.0,2.0,4.0,1.0,4.0,3184671724.0,3.0,18.0,46.0,71.0,72.0,5.0,-99.0,,4.0,6.0,-99.0,5.0,6.0,9.0,1.0,2.0,4.0,,,,,,,,,,,,,,
72,319477273,0.0,,,,,,,,2.0,5.0,4.0,1.0,1.0,3194772731.0,3.0,19.0,47.0,72.0,73.0,7.0,6.0,5.0,1.0,2.0,5.0,6.0,9.0,-99.0,1.0,2.0,4.0,,,,,,,,,,,,,,
73,319477274,1.0,4.0,7.0,35.0,0.0,8.0,3.0,4.0,2.0,5.0,6.0,1.0,2.0,3194772742.0,3.0,19.0,47.0,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,319477375,1.0,2.0,5.0,60.0,0.0,4.0,8.0,5.0,2.0,5.0,3.0,1.0,3.0,3194773753.0,3.0,19.0,47.0,73.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,319487476,1.0,1.0,3.0,40.0,0.0,2.0,4.0,6.0,2.0,4.0,5.0,1.0,4.0,3194874764.0,3.0,19.0,48.0,74.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,101010101,0.0,,,,,,,,2.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,101010202,0.0,,,,,,,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,101010203,1.0,5.0,2.0,10.0,,4.0,6.0,8.0,7.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,101020304,1.0,6.0,2.0,40.0,,6.0,1.0,4.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,102030405,1.0,7.0,7.0,15.0,,4.0,6.0,3.0,2.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,102030506,1.0,3.0,1.0,20.0,,4.0,8.0,7.0,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,102030607,1.0,6.0,3.0,50.0,,8.0,,,3.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,102040708,0.0,,,,,,,,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,103050809,0.0,,,,,,,,10.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,103060910,1.0,7.0,5.0,30.0,,3.0,9.0,10.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,103061011,0.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,103071112,0.0,,,,,,,,3.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,104081213,1.0,6.0,12.0,40.0,,6.0,7.0,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,104081314,0.0,,,,,,,,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,104081415,1.0,7.0,6.0,50.0,,6.0,8.0,,10.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,104091516,1.0,3.0,12.0,30.0,,6.0,7.0,8.0,8.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,105101617,1.0,5.0,2.0,15.0,,8.0,6.0,7.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,105101718,0.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,105111819,1.0,5.0,3.0,20.0,0.0,6.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,105121920,0.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,106132021,1.0,7.0,4.0,17.0,,6.0,7.0,8.0,1.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,106132122,1.0,2.0,1.0,30.0,,6.0,8.0,7.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,106142223,0.0,,,,,,,,1.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,106142324,0.0,,,,,,,,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,107152425,0.0,,,,,,,,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,107152627,0.0,,,,,,,,8.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,107162526,0.0,,,,,,,,3.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,107172728,0.0,,,,,,,,1.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,108182829,1.0,3.0,8.0,50.0,,4.0,8.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,108192930,1.0,5.0,5.0,50.0,,6.0,4.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,108203031,0.0,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108213132,0.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109223233,0.0,,,,,,,,10.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109223334,1.0,3.0,2.0,15.0,,6.0,7.0,8.0,2.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,109233435,1.0,6.0,4.0,15.0,,3.0,6.0,8.0,2.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,109233536,1.0,6.0,5.0,15.0,,9.0,6.0,8.0,4.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,110243637,0.0,,,,,,,,4.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,110243738,1.0,6.0,1.0,30.0,,7.0,8.0,9.0,10.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
