CID,PID,R_Age,R_Gender,R_PiP_y,R_HEL,R_TiM_y,R_MainIncomeSrc,Survey_Round,Community,FID,P_ID,D_ID,T_ID,M_ID
103050809,2,35,1,10.0,12,35.0,1,1.0,1.0,1030508091.0,1.0,3.0,5.0,9.0
103050809,3,38,1,12.0,0,38.0,1,1.0,1.0,1030508091.0,1.0,3.0,5.0,9.0
103060910,1,37,1,10.0,14,37.0,4,1.0,2.0,1030609102.0,1.0,3.0,6.0,10.0
103060910,2,42,1,12.0,10,42.0,4,1.0,2.0,1030609102.0,1.0,3.0,6.0,10.0
103060910,3,43,1,11.0,10,,4,1.0,2.0,1030609102.0,1.0,3.0,6.0,10.0
103061011,1,48,1,30.0,23,48.0,1,1.0,3.0,1030610113.0,1.0,3.0,6.0,11.0
103061011,2,50,1,30.0,10,50.0,1,1.0,3.0,1030610113.0,1.0,3.0,6.0,11.0
103061011,3,70,1,33.0,10,33.0,8,1.0,3.0,1030610113.0,1.0,3.0,6.0,11.0
103071112,1,69,1,40.0,5,69.0,1,1.0,4.0,1030711124.0,1.0,3.0,7.0,12.0
103071112,2,43,1,6.0,10,43.0,4,1.0,4.0,1030711124.0,1.0,3.0,7.0,12.0
103071112,3,43,1,12.0,5,43.0,4,1.0,4.0,1030711124.0,1.0,3.0,7.0,12.0
104081213,1,65,1,8.0,10,65.0,1,1.0,1.0,1040812131.0,1.0,4.0,8.0,13.0
104081213,2,37,1,6.0,14,,4,1.0,1.0,1040812131.0,1.0,4.0,8.0,13.0
104081213,3,41,1,13.0,13,41.0,3,1.0,1.0,1040812131.0,1.0,4.0,8.0,13.0
104081314,1,46,1,7.0,8,46.0,3,1.0,2.0,1040813142.0,1.0,4.0,8.0,14.0
104081314,2,32,1,12.0,10,32.0,4,1.0,2.0,1040813142.0,1.0,4.0,8.0,14.0
104081314,3,30,1,9.0,17,30.0,1,1.0,2.0,1040813142.0,1.0,4.0,8.0,14.0
104081415,1,58,1,32.0,5,58.0,1,1.0,3.0,1040814153.0,1.0,4.0,8.0,15.0
104081415,2,31,1,7.0,8,31.0,4,1.0,3.0,1040814153.0,1.0,4.0,8.0,15.0
104081415,3,46,1,9.0,5,46.0,1,1.0,3.0,1040814153.0,1.0,4.0,8.0,15.0
104091516,1,61,1,14.0,13,61.0,3,1.0,4.0,1040915164.0,1.0,4.0,9.0,16.0
104091516,2,54,1,9.0,14,54.0,3,1.0,4.0,1040915164.0,1.0,4.0,9.0,16.0
104091516,3,36,1,6.0,10,36.0,4,1.0,4.0,1040915164.0,1.0,4.0,9.0,16.0
105101617,1,60,1,25.0,5,55.0,5,1.0,1.0,1051016171.0,1.0,5.0,10.0,17.0
105101617,2,30,1,10.0,8,30.0,1,1.0,1.0,1051016171.0,1.0,5.0,10.0,17.0
105101617,3,26,1,7.0,14,26.0,3,1.0,1.0,1051016171.0,1.0,5.0,10.0,17.0
105101718,1,40,1,15.0,5,40.0,1,1.0,2.0,1051017182.0,1.0,5.0,10.0,18.0
105101718,2,45,1,30.0,5,45.0,1,1.0,2.0,1051017182.0,1.0,5.0,10.0,18.0
105101718,3,28,1,10.0,21,28.0,1,1.0,2.0,1051017182.0,1.0,5.0,10.0,18.0
105111819,1,60,1,30.0,12,,4,1.0,3.0,1051118193.0,1.0,5.0,11.0,19.0
105111819,2,55,1,35.0,6,20.0,1,1.0,3.0,1051118193.0,1.0,5.0,11.0,19.0
105111819,3,35,1,20.0,8,30.0,1,1.0,3.0,1051118193.0,1.0,5.0,11.0,19.0
105121920,1,46,1,15.0,12,36.0,4,1.0,4.0,1051219204.0,1.0,5.0,12.0,20.0
105121920,2,38,1,10.0,14,38.0,4,1.0,4.0,1051219204.0,1.0,5.0,12.0,20.0
105121920,3,60,1,40.0,12,60.0,1,1.0,4.0,1051219204.0,1.0,5.0,12.0,20.0
106132021,1,32,1,15.0,5,10.0,7,1.0,1.0,1061320211.0,1.0,6.0,13.0,21.0
106132021,2,59,1,30.0,10,59.0,1,1.0,1.0,1061320211.0,1.0,6.0,13.0,21.0
106132021,3,60,1,20.0,5,60.0,3,1.0,1.0,1061320211.0,1.0,6.0,13.0,21.0
106132122,1,38,1,20.0,22,38.0,3,1.0,2.0,1061321222.0,1.0,6.0,13.0,22.0
106132122,2,38,1,20.0,10,38.0,1,1.0,2.0,1061321222.0,1.0,6.0,13.0,22.0
106132122,3,28,1,15.0,10,28.0,1,1.0,2.0,1061321222.0,1.0,6.0,13.0,22.0
106142223,1,63,1,6.0,13,63.0,1,1.0,3.0,1061422233.0,1.0,6.0,14.0,23.0
106142223,2,70,1,40.0,10,70.0,5,1.0,3.0,1061422233.0,1.0,6.0,14.0,23.0
106142223,3,30,1,9.0,14,27.0,4,1.0,3.0,1061422233.0,1.0,6.0,14.0,23.0
106142324,1,60,1,38.0,12,60.0,1,1.0,4.0,1061423244.0,1.0,6.0,14.0,24.0
106142324,2,40,1,20.0,5,40.0,1,1.0,4.0,1061423244.0,1.0,6.0,14.0,24.0
106142324,3,48,1,25.0,22,48.0,1,1.0,4.0,1061423244.0,1.0,6.0,14.0,24.0
107152425,1,61,1,4.0,5,40.0,1,1.0,1.0,1071524251.0,1.0,7.0,15.0,25.0
107152425,2,47,1,24.0,12,47.0,6,1.0,1.0,1071524251.0,1.0,7.0,15.0,25.0
107152425,3,50,1,4.0,10,,1,1.0,1.0,1071524251.0,1.0,7.0,15.0,25.0
107162526,1,50,1,10.0,10,20.0,3,1.0,2.0,1071625262.0,1.0,7.0,16.0,26.0
107162526,2,46,1,15.0,23,25.0,3,1.0,2.0,1071625262.0,1.0,7.0,16.0,26.0
107162526,3,55,1,10.0,23,25.0,3,1.0,2.0,1071625262.0,1.0,7.0,16.0,26.0
107162627,1,23,1,4.0,12,23.0,6,1.0,3.0,1071626273.0,1.0,7.0,16.0,27.0
107162627,2,65,1,20.0,23,50.0,1,1.0,3.0,1071626273.0,1.0,7.0,16.0,27.0
107162627,3,27,1,5.0,23,20.0,3,1.0,3.0,1071626273.0,1.0,7.0,16.0,27.0
107172728,1,51,1,13.0,10,50.0,1,1.0,4.0,1071727284.0,1.0,7.0,17.0,28.0
107172728,2,60,1,10.0,10,10.0,4,1.0,4.0,1071727284.0,1.0,7.0,17.0,28.0
107172728,3,27,1,10.0,13,27.0,1,1.0,4.0,1071727284.0,1.0,7.0,17.0,28.0
108182829,1,54,1,22.0,5,54.0,1,1.0,1.0,1081828291.0,1.0,8.0,18.0,29.0
108182829,2,40,1,10.0,23,40.0,7,1.0,1.0,1081828291.0,1.0,8.0,18.0,29.0
108182829,3,45,1,15.0,10,15.0,4,1.0,1.0,1081828291.0,1.0,8.0,18.0,29.0
108192930,1,48,1,7.0,5,45.0,1,1.0,2.0,1081929302.0,1.0,8.0,19.0,30.0
108192930,2,70,1,42.0,23,42.0,1,1.0,2.0,1081929302.0,1.0,8.0,19.0,30.0
108192930,3,41,1,8.0,14,28.0,4,1.0,2.0,1081929302.0,1.0,8.0,19.0,30.0
108203031,1,45,1,30.0,12,45.0,1,1.0,3.0,1082030313.0,1.0,8.0,20.0,31.0
108203031,2,45,1,10.0,4,45.0,3,1.0,3.0,1082030313.0,1.0,8.0,20.0,31.0
108203031,3,49,1,20.0,23,49.0,1,1.0,3.0,1082030313.0,1.0,8.0,20.0,31.0
108213132,1,71,1,50.0,23,71.0,1,1.0,4.0,1082131324.0,1.0,8.0,21.0,32.0
108213132,2,50,1,30.0,8,50.0,1,1.0,4.0,1082131324.0,1.0,8.0,21.0,32.0
108213132,3,26,1,16.0,0,26.0,1,1.0,4.0,1082131324.0,1.0,8.0,21.0,32.0
109223233,1,61,1,24.0,13,61.0,1,1.0,1.0,1092232331.0,1.0,9.0,22.0,33.0
109223233,2,29,1,5.0,10,29.0,3,1.0,1.0,1092232331.0,1.0,9.0,22.0,33.0
109223233,3,62,1,30.0,0,45.0,1,1.0,1.0,1092232331.0,1.0,9.0,22.0,33.0
109223334,1,44,1,23.0,13,,4,1.0,2.0,1092233342.0,1.0,9.0,22.0,34.0
109223334,2,35,1,1.0,10,1.0,1,1.0,2.0,1092233342.0,1.0,9.0,22.0,34.0
109223334,3,55,1,25.0,5,55.0,1,1.0,2.0,1092233342.0,1.0,9.0,22.0,34.0
109233435,1,42,1,28.0,6,34.0,7,1.0,3.0,1092334353.0,1.0,9.0,23.0,35.0
109233435,2,28,1,1.0,1,28.0,3,1.0,3.0,1092334353.0,1.0,9.0,23.0,35.0
109233435,3,19,1,3.0,8,19.0,1,1.0,3.0,1092334353.0,1.0,9.0,23.0,35.0
109233536,1,50,1,27.0,13,50.0,4,1.0,4.0,1092335364.0,1.0,9.0,23.0,36.0
109233536,2,52,1,40.0,5,52.0,1,1.0,4.0,1092335364.0,1.0,9.0,23.0,36.0
109233536,3,23,1,1.0,14,23.0,1,1.0,4.0,1092335364.0,1.0,9.0,23.0,36.0
110243637,1,32,1,8.0,13,32.0,3,1.0,1.0,1102436371.0,1.0,10.0,24.0,37.0
110243637,2,30,1,12.0,9,30.0,3,1.0,1.0,1102436371.0,1.0,10.0,24.0,37.0
110243637,3,40,1,16.0,7,40.0,3,1.0,1.0,1102436371.0,1.0,10.0,24.0,37.0
110243738,1,47,1,31.0,7,47.0,1,1.0,2.0,1102437382.0,1.0,10.0,24.0,38.0
110243738,2,50,1,18.0,5,50.0,1,1.0,2.0,1102437382.0,1.0,10.0,24.0,38.0
110243738,3,55,1,25.0,5,55.0,1,1.0,2.0,1102437382.0,1.0,10.0,24.0,38.0
110243839,1,38,1,12.0,10,38.0,1,1.0,3.0,1102438393.0,1.0,10.0,24.0,39.0
110243839,2,28,1,3.0,5,28.0,3,1.0,3.0,1102438393.0,1.0,10.0,24.0,39.0
110243839,3,35,1,18.0,5,35.0,1,1.0,3.0,1102438393.0,1.0,10.0,24.0,39.0
110253940,1,62,1,4.0,23,62.0,1,1.0,4.0,1102539404.0,1.0,10.0,25.0,40.0
110253940,2,63,1,30.0,23,37.0,1,1.0,4.0,1102539404.0,1.0,10.0,25.0,40.0
110253940,3,38,1,6.0,10,38.0,1,1.0,4.0,1102539404.0,1.0,10.0,25.0,40.0
111264041,1,40,1,19.0,14,40.0,4,1.0,1.0,1112640411.0,1.0,11.0,26.0,41.0
111264041,2,48,1,25.0,10,48.0,4,1.0,1.0,1112640411.0,1.0,11.0,26.0,41.0
111264041,3,25,2,2.0,13,25.0,6,1.0,1.0,1112640411.0,1.0,11.0,26.0,41.0
111274142,1,39,1,12.0,12,39.0,1,1.0,2.0,1112741422.0,1.0,11.0,27.0,42.0
111274142,2,53,1,35.0,10,53.0,1,1.0,2.0,1112741422.0,1.0,11.0,27.0,42.0
111274142,3,40,1,22.0,5,40.0,1,1.0,2.0,1112741422.0,1.0,11.0,27.0,42.0
111274243,1,60,1,2.0,10,60.0,1,1.0,3.0,1112742433.0,1.0,11.0,27.0,43.0
111274243,2,37,1,15.0,12,37.0,3,1.0,3.0,1112742433.0,1.0,11.0,27.0,43.0
111274243,3,60,1,40.0,8,60.0,3,1.0,3.0,1112742433.0,1.0,11.0,27.0,43.0
111284344,1,59,1,22.0,10,,1,1.0,4.0,1112843444.0,1.0,11.0,28.0,44.0
111284344,2,41,1,2.0,8,41.0,1,1.0,4.0,1112843444.0,1.0,11.0,28.0,44.0
111284344,3,68,1,15.0,5,68.0,1,1.0,4.0,1112843444.0,1.0,11.0,28.0,44.0
112294445,1,29,1,15.0,8,29.0,1,1.0,1.0,1122944451.0,1.0,12.0,29.0,45.0
112294445,2,28,1,12.0,10,28.0,1,1.0,1.0,1122944451.0,1.0,12.0,29.0,45.0
112294445,3,30,1,15.0,10,30.0,1,1.0,1.0,1122944451.0,1.0,12.0,29.0,45.0
112304546,1,79,1,50.0,10,79.0,1,1.0,2.0,1123045462.0,1.0,12.0,30.0,46.0
112304546,2,59,1,40.0,23,59.0,1,1.0,2.0,1123045462.0,1.0,12.0,30.0,46.0
112304546,3,62,1,20.0,10,40.0,3,1.0,2.0,1123045462.0,1.0,12.0,30.0,46.0
112304647,1,45,1,10.0,8,45.0,1,1.0,3.0,1123046473.0,1.0,12.0,30.0,47.0
112304647,2,54,1,4.0,5,,1,1.0,3.0,1123046473.0,1.0,12.0,30.0,47.0
112304647,3,55,1,35.0,5,55.0,7,1.0,3.0,1123046473.0,1.0,12.0,30.0,47.0
112314748,1,65,1,45.0,12,45.0,1,1.0,4.0,1123147484.0,1.0,12.0,31.0,48.0
112314748,2,35,1,8.0,13,35.0,1,1.0,4.0,1123147484.0,1.0,12.0,31.0,48.0
112314748,3,30,1,5.0,13,30.0,1,1.0,4.0,1123147484.0,1.0,12.0,31.0,48.0
213324849,1,60,1,26.0,0,60.0,1,1.0,1.0,2133248491.0,2.0,13.0,32.0,49.0
213324849,2,39,1,10.0,5,39.0,1,1.0,1.0,2133248491.0,2.0,13.0,32.0,49.0
213324849,3,40,1,20.0,3,40.0,1,1.0,1.0,2133248491.0,2.0,13.0,32.0,49.0
213324950,1,24,1,3.0,5,24.0,1,1.0,2.0,2133249502.0,2.0,13.0,32.0,50.0
213324950,2,33,1,10.0,23,33.0,1,1.0,2.0,2133249502.0,2.0,13.0,32.0,50.0
213324950,3,29,1,9.0,1,29.0,1,1.0,2.0,2133249502.0,2.0,13.0,32.0,50.0
213324952,1,40,1,4.0,5,40.0,1,1.0,3.0,2133249523.0,2.0,13.0,32.0,52.0
213324952,2,51,1,31.0,23,51.0,1,1.0,3.0,2133249523.0,2.0,13.0,32.0,52.0
213324952,3,36,1,20.0,3,36.0,1,1.0,3.0,2133249523.0,2.0,13.0,32.0,52.0
213335051,1,45,1,22.0,12,45.0,4,1.0,4.0,2133351514.0,2.0,13.0,33.0,51.0
213335051,2,50,1,35.0,5,50.0,1,1.0,4.0,2133351514.0,2.0,13.0,33.0,51.0
213335051,3,30,1,15.0,5,30.0,1,1.0,4.0,2133351514.0,2.0,13.0,33.0,51.0
214345253,1,59,1,28.0,14,59.0,1,1.0,1.0,2143452531.0,2.0,14.0,34.0,53.0
214345253,2,51,1,36.0,12,51.0,1,1.0,1.0,2143452531.0,2.0,14.0,34.0,53.0
214345253,3,46,1,30.0,13,46.0,1,1.0,1.0,2143452531.0,2.0,14.0,34.0,53.0
214355354,1,40,1,20.0,13,40.0,4,1.0,2.0,2143553542.0,2.0,14.0,35.0,54.0
214355354,2,57,1,20.0,5,57.0,3,1.0,2.0,2143553542.0,2.0,14.0,35.0,54.0
214355354,3,63,1,25.0,7,20.0,5,1.0,2.0,2143553542.0,2.0,14.0,35.0,54.0
214365455,1,32,1,22.0,9,32.0,1,1.0,3.0,2143654553.0,2.0,14.0,36.0,55.0
214365455,2,31,1,10.0,8,31.0,1,1.0,3.0,2143654553.0,2.0,14.0,36.0,55.0
214365455,3,35,1,22.0,3,35.0,1,1.0,3.0,2143654553.0,2.0,14.0,36.0,55.0
214375556,1,42,1,20.0,13,42.0,4,1.0,4.0,2143755564.0,2.0,14.0,37.0,56.0
214375556,2,24,1,6.0,8,24.0,3,1.0,4.0,2143755564.0,2.0,14.0,37.0,56.0
214375556,3,32,1,16.0,12,32.0,1,1.0,4.0,2143755564.0,2.0,14.0,37.0,56.0
215385657,1,60,1,40.0,13,60.0,1,1.0,1.0,2153856571.0,2.0,15.0,38.0,57.0
215385657,2,38,1,20.0,10,38.0,1,1.0,1.0,2153856571.0,2.0,15.0,38.0,57.0
215385657,3,30,1,10.0,12,30.0,1,1.0,1.0,2153856571.0,2.0,15.0,38.0,57.0
215395758,1,45,1,10.0,10,45.0,1,1.0,2.0,2153957582.0,2.0,15.0,39.0,58.0
215395758,2,37,1,20.0,14,37.0,4,1.0,2.0,2153957582.0,2.0,15.0,39.0,58.0
215395758,3,35,1,15.0,10,35.0,3,1.0,2.0,2153957582.0,2.0,15.0,39.0,58.0
215395859,1,48,1,15.0,5,48.0,1,1.0,3.0,2153958593.0,2.0,15.0,39.0,59.0
215395859,2,38,1,15.0,10,,4,1.0,3.0,2153958593.0,2.0,15.0,39.0,59.0
215395859,3,50,1,20.0,5,25.0,1,1.0,3.0,2153958593.0,2.0,15.0,39.0,59.0
215405960,1,33,1,25.0,10,,1,1.0,4.0,2154059604.0,2.0,15.0,40.0,60.0
215405960,2,39,1,30.0,4,15.0,1,1.0,4.0,2154059604.0,2.0,15.0,40.0,60.0
215405960,3,35,1,22.0,3,15.0,1,1.0,4.0,2154059604.0,2.0,15.0,40.0,60.0
216416061,1,60,1,40.0,5,60.0,1,1.0,1.0,2164160611.0,2.0,16.0,41.0,61.0
216416061,2,18,1,1.0,1,18.0,1,1.0,1.0,2164160611.0,2.0,16.0,41.0,61.0
216416061,3,42,1,24.0,14,42.0,4,1.0,1.0,2164160611.0,2.0,16.0,41.0,61.0
216416162,1,37,1,8.0,12,8.0,1,1.0,2.0,2164161622.0,2.0,16.0,41.0,62.0
216416162,2,35,1,35.0,23,35.0,1,1.0,2.0,2164161622.0,2.0,16.0,41.0,62.0
216416162,3,35,1,8.0,23,8.0,1,1.0,2.0,2164161622.0,2.0,16.0,41.0,62.0
216426263,1,51,1,28.0,14,51.0,4,1.0,3.0,2164262633.0,2.0,16.0,42.0,63.0
216426263,2,52,1,30.0,23,52.0,1,1.0,3.0,2164262633.0,2.0,16.0,42.0,63.0
216426263,3,44,1,20.0,14,44.0,4,1.0,3.0,2164262633.0,2.0,16.0,42.0,63.0
216436364,1,32,1,12.0,13,32.0,1,1.0,4.0,2164363644.0,2.0,16.0,43.0,64.0
216436364,2,48,1,28.0,0,48.0,1,1.0,4.0,2164363644.0,2.0,16.0,43.0,64.0
216436364,3,65,1,45.0,23,65.0,1,1.0,4.0,2164363644.0,2.0,16.0,43.0,64.0
217446465,1,64,1,40.0,23,64.0,1,1.0,1.0,2174464651.0,2.0,17.0,44.0,65.0
217446465,2,59,1,39.0,23,59.0,1,1.0,1.0,2174464651.0,2.0,17.0,44.0,65.0
217446465,3,62,1,40.0,23,62.0,1,1.0,1.0,2174464651.0,2.0,17.0,44.0,65.0
217446566,1,58,1,20.0,23,58.0,1,1.0,2.0,2174465662.0,2.0,17.0,44.0,66.0
217446566,2,58,1,21.0,3,58.0,1,1.0,2.0,2174465662.0,2.0,17.0,44.0,66.0
217446566,3,29,1,11.0,7,29.0,3,1.0,2.0,2174465662.0,2.0,17.0,44.0,66.0
217446667,1,55,1,3.0,3,55.0,1,1.0,3.0,2174466673.0,2.0,17.0,44.0,67.0
217446667,2,53,1,20.0,23,53.0,1,1.0,3.0,2174466673.0,2.0,17.0,44.0,67.0
217446667,3,59,1,22.0,23,59.0,1,1.0,3.0,2174466673.0,2.0,17.0,44.0,67.0
217456768,1,41,1,20.0,23,41.0,1,1.0,4.0,2174567684.0,2.0,17.0,45.0,68.0
217456768,2,33,1,8.0,10,33.0,1,1.0,4.0,2174567684.0,2.0,17.0,45.0,68.0
217456768,3,55,1,30.0,23,55.0,1,1.0,4.0,2174567684.0,2.0,17.0,45.0,68.0
318466869,1,25,1,2.0,12,25.0,4,1.0,1.0,3184668691.0,3.0,18.0,46.0,69.0
318466869,2,50,1,40.0,8,50.0,1,1.0,1.0,3184668691.0,3.0,18.0,46.0,69.0
318466869,3,35,1,10.0,12,35.0,1,1.0,1.0,3184668691.0,3.0,18.0,46.0,69.0
318466970,1,39,1,10.0,13,39.0,4,1.0,2.0,3184669702.0,3.0,18.0,46.0,70.0
318466970,2,42,1,18.0,12,42.0,4,1.0,2.0,3184669702.0,3.0,18.0,46.0,70.0
318466970,3,27,1,7.0,14,27.0,3,1.0,2.0,3184669702.0,3.0,18.0,46.0,70.0
318467071,1,31,1,8.0,6,31.0,1,1.0,3.0,3184670713.0,3.0,18.0,46.0,71.0
318467071,2,45,1,20.0,13,45.0,4,1.0,3.0,3184670713.0,3.0,18.0,46.0,71.0
318467071,3,45,1,25.0,10,45.0,3,1.0,3.0,3184670713.0,3.0,18.0,46.0,71.0
318467172,1,50,1,10.0,9,50.0,3,1.0,4.0,3184671724.0,3.0,18.0,46.0,72.0
318467172,2,45,1,23.0,10,45.0,4,1.0,4.0,3184671724.0,3.0,18.0,46.0,72.0
318467172,3,66,1,25.0,8,66.0,6,1.0,4.0,3184671724.0,3.0,18.0,46.0,72.0
319477273,1,37,1,17.0,10,37.0,4,1.0,1.0,3194772731.0,3.0,19.0,47.0,73.0
319477273,2,45,1,20.0,10,45.0,5,1.0,1.0,3194772731.0,3.0,19.0,47.0,73.0
319477273,3,45,1,20.0,8,45.0,3,1.0,1.0,3194772731.0,3.0,19.0,47.0,73.0
319477274,1,61,1,20.0,5,61.0,3,1.0,2.0,3194772742.0,3.0,19.0,47.0,74.0
319477274,2,51,1,15.0,12,51.0,4,1.0,2.0,3194772742.0,3.0,19.0,47.0,74.0
319477274,3,45,1,19.0,13,45.0,4,1.0,2.0,3194772742.0,3.0,19.0,47.0,74.0
319477375,1,40,1,6.0,13,40.0,1,1.0,3.0,3194773753.0,3.0,19.0,47.0,75.0
319477375,2,44,1,23.0,13,44.0,4,1.0,3.0,3194773753.0,3.0,19.0,47.0,75.0
319477375,3,49,1,29.0,13,49.0,4,1.0,3.0,3194773753.0,3.0,19.0,47.0,75.0
319487476,1,55,1,4.0,10,55.0,1,1.0,4.0,3194874764.0,3.0,19.0,48.0,76.0
319487476,2,25,1,5.0,13,25.0,1,1.0,4.0,3194874764.0,3.0,19.0,48.0,76.0
319487476,3,58,1,10.0,5,58.0,1,1.0,4.0,3194874764.0,3.0,19.0,48.0,76.0
101010101,1,45,1,18.0,8,,3,,,,,,,
101010202,1,30,1,20.0,6,25.0,1,,,,,,,
101010203,1,20,1,7.0,0,,1,,,,,,,
101020304,1,49,1,2.0,17,,4,,,,,,,
102030405,1,63,1,11.0,12,43.0,5,,,,,,,
102030506,1,54,1,20.0,8,54.0,1,,,,,,,
102030607,1,26,1,13.0,10,26.0,1,,,,,,,
102040708,1,46,1,26.0,13,46.0,4,,,,,,,
103050809,1,62,1,20.0,10,62.0,1,,,,,,,
103060910,1,26,1,5.0,10,26.0,1,,,,,,,
103061011,1,68,1,32.0,8,33.0,1,,,,,,,
103071112,1,32,1,16.0,5,32.0,1,,,,,,,
104081213,1,54,1,20.0,9,54.0,8,,,,,,,
104081314,1,63,1,40.0,10,63.0,7,,,,,,,
104081415,1,40,1,20.0,10,40.0,3,,,,,,,
104091516,1,55,1,30.0,12,55.0,4,,,,,,,
105101617,1,31,1,15.0,8,31.0,1,,,,,,,
105101718,1,43,1,20.0,5,43.0,1,,,,,,,
105111819,1,61,1,50.0,23,61.0,1,,,,,,,
105121920,1,50,1,30.0,9,50.0,1,,,,,,,
106132021,1,30,1,10.0,13,30.0,4,,,,,,,
106132122,1,38,1,15.0,12,38.0,3,,,,,,,
106142223,1,62,1,40.0,10,50.0,3,,,,,,,
106142324,1,75,1,60.0,4,75.0,1,,,,,,,
107152425,1,40,1,14.0,10,35.0,4,,,,,,,
107152627,1,41,1,18.0,10,23.0,3,,,,,,,
107162526,1,55,1,25.0,5,25.0,3,,,,,,,
107172728,1,20,1,10.0,12,20.0,1,,,,,,,
108182829,1,48,1,33.0,5,48.0,1,,,,,,,
108192930,1,49,1,2.0,8,45.0,1,,,,,,,
108203031,1,56,1,25.0,10,56.0,5,,,,,,,
108213132,1,43,1,5.0,10,43.0,1,,,,,,,
109223233,1,62,1,23.0,13,62.0,1,,,,,,,
109223334,1,36,1,15.0,10,4.0,1,,,,,,,
109233435,1,21,1,4.0,8,21.0,7,,,,,,,
109233536,1,23,1,7.0,12,23.0,1,,,,,,,
110243637,1,65,1,40.0,0,65.0,1,,,,,,,
110243738,1,28,1,6.0,5,28.0,1,,,,,,,
110243839,1,21,1,0.4,12,21.0,4,,,,,,,
110253940,1,50,1,20.0,8,50.0,3,,,,,,,
111264041,1,50,1,4.0,10,50.0,1,,,,,,,
111274142,1,21,1,11.0,8,21.0,1,,,,,,,
111274243,1,24,1,1.0,12,24.0,1,,,,,,,
111284344,1,50,1,12.0,8,50.0,1,,,,,,,
112294445,1,35,1,20.0,0,35.0,3,,,,,,,
112304546,1,70,1,20.0,10,70.0,5,,,,,,,
112304647,1,55,1,4.0,5,55.0,3,,,,,,,
112314748,1,58,1,40.0,3,58.0,5,,,,,,,
213324849,1,30,1,20.0,0,30.0,1,,,,,,,
213324952,1,38,1,15.0,5,38.0,1,,,,,,,
213334950,1,20,1,8.0,2,20.0,3,,,,,,,
213335051,1,28,1,13.0,23,28.0,1,,,,,,,
214345253,1,56,1,4.0,5,56.0,1,,,,,,,
214355354,1,42,1,20.0,13,42.0,4,,,,,,,
214365455,1,32,1,10.0,8,32.0,1,,,,,,,
214365556,1,28,1,5.0,10,28.0,1,,,,,,,
215385657,1,54,1,27.0,10,54.0,1,,,,,,,
215395758,1,41,1,23.0,13,41.0,4,,,,,,,
215395859,1,50,1,26.0,14,,4,,,,,,,
215405960,1,32,1,10.0,10,8.0,1,,,,,,,
216416061,1,50,1,30.0,10,50.0,1,,,,,,,
