CID,FID,Community,D_ID,M_ID,P_ID,Src_CV,Src_CV_y,Src_HHLAI,Src_HHNFI,Src_ID,Src_Lease_5y,Src_Near_DistKM,Survey_Round,T_ID,UC_ID
106142223.0,1061422233.0,30.0,60.0,230.0,10.0,1.0,1999.0,6.0,6.0,55.0,0.0,325.0,10.0,140.0,220.0
106142324.0,1061423244.0,40.0,60.0,240.0,10.0,3.0,3998.0,5.0,5.0,55.0,5.0,285.0,10.0,140.0,230.0
107152425.0,1071524251.0,10.0,70.0,250.0,10.0,1.0,1999.0,0.0,0.0,55.0,0.0,51.0,10.0,150.0,240.0
107162526.0,1071625262.0,20.0,70.0,260.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,400.0,10.0,160.0,250.0
107162627.0,1071626273.0,30.0,70.0,270.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,79.0,10.0,160.0,260.0
107172728.0,1071727284.0,40.0,70.0,280.0,10.0,0.0,0.0,2.0,1.0,55.0,6.0,207.0,10.0,170.0,270.0
108182829.0,1081828291.0,10.0,80.0,290.0,10.0,0.0,0.0,3.0,0.0,55.0,7.0,160.0,10.0,180.0,280.0
108192930.0,1081929302.0,20.0,80.0,300.0,10.0,0.0,0.0,6.0,0.0,55.0,12.0,218.0,10.0,190.0,290.0
108203031.0,1082030313.0,30.0,80.0,310.0,10.0,1.0,2007.0,2.0,1.0,55.0,6.0,162.0,10.0,200.0,300.0
108213132.0,1082131324.0,40.0,80.0,320.0,10.0,0.0,0.0,4.0,0.0,55.0,9.0,30.0,10.0,210.0,310.0
109223233.0,3092232331.0,10.0,90.0,330.0,10.0,6.0,11994.0,4.0,3.0,55.0,11.0,5.0,10.0,220.0,320.0
109223334.0,1092233342.0,20.0,90.0,340.0,10.0,7.0,13993.0,7.0,3.0,55.0,7.0,3.0,10.0,220.0,330.0
109233435.0,1092334353.0,30.0,90.0,350.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,10.0,230.0,340.0
109233536.0,1092335364.0,40.0,90.0,360.0,10.0,2.0,3998.0,4.0,2.0,55.0,13.0,170.0,10.0,230.0,350.0
110243637.0,1102436371.0,10.0,100.0,370.0,10.0,4.0,8004.0,7.0,4.0,55.0,11.0,57.0,10.0,240.0,360.0
110243738.0,1102437382.0,20.0,100.0,380.0,10.0,0.0,0.0,6.0,3.0,55.0,15.0,77.0,10.0,240.0,370.0
110243839.0,1102438393.0,30.0,100.0,390.0,10.0,3.0,6005.0,5.0,5.0,55.0,13.0,122.75,10.0,240.0,380.0
110253940.0,1102539404.0,40.0,100.0,400.0,10.0,2.0,3998.0,4.0,3.0,55.0,9.0,80.0,10.0,250.0,390.0
111264041.0,1112640411.0,10.0,110.0,410.0,10.0,5.0,9995.0,4.0,3.0,55.0,12.0,108.0,10.0,260.0,400.0
111274142.0,1112741422.0,20.0,110.0,420.0,10.0,0.0,0.0,2.0,1.0,55.0,4.0,200.0,10.0,270.0,410.0
111274243.0,1112742433.0,30.0,110.0,430.0,10.0,0.0,0.0,3.0,1.0,55.0,4.0,142.0,10.0,270.0,420.0
111284344.0,1112843444.0,40.0,110.0,440.0,10.0,0.0,0.0,2.0,1.0,55.0,2.0,80.0,10.0,280.0,430.0
112294445.0,1122944451.0,10.0,120.0,450.0,10.0,1.0,1999.0,6.0,5.0,55.0,14.0,87.0,10.0,290.0,440.0
112304546.0,1123045462.0,20.0,120.0,460.0,10.0,2.0,3998.0,7.0,4.0,55.0,18.0,24.0,10.0,300.0,450.0
112304647.0,1123046473.0,30.0,120.0,470.0,10.0,2.0,4005.0,3.0,2.0,55.0,10.0,105.0,10.0,300.0,460.0
112314748.0,1123147484.0,40.0,120.0,480.0,10.0,2.0,3998.0,7.0,5.0,55.0,21.0,49.0,10.0,310.0,470.0
213324849.0,2133248491.0,10.0,130.0,490.0,20.0,1.0,1999.0,6.0,1.0,55.0,12.0,111.0,10.0,320.0,480.0
213324950.0,2133249502.0,20.0,130.0,500.0,20.0,0.0,0.0,5.0,1.0,55.0,13.0,72.0,10.0,320.0,490.0
213324952.0,2133249523.0,30.0,130.0,520.0,20.0,1.0,2008.0,5.0,2.0,55.0,12.0,72.5,10.0,320.0,490.0
213335051.0,2133351514.0,40.0,130.0,510.0,20.0,2.0,1999.0,5.0,5.0,55.0,13.0,72.0,10.0,330.0,500.0
214345253.0,2143452531.0,10.0,140.0,530.0,20.0,3.0,6005.0,7.0,6.0,55.0,11.0,87.0,10.0,340.0,520.0
214355354.0,2143553542.0,20.0,140.0,540.0,20.0,3.0,5997.0,5.0,1.0,55.0,14.0,210.0,10.0,350.0,530.0
214365455.0,2143654553.0,30.0,140.0,550.0,20.0,2.0,3998.0,6.0,5.0,55.0,12.0,168.0,10.0,360.0,540.0
214375556.0,2143755564.0,40.0,140.0,560.0,20.0,3.0,5998.0,4.0,3.0,55.0,8.0,44.0,10.0,370.0,550.0
215385657.0,2153856571.0,10.0,150.0,570.0,20.0,0.0,0.0,10.0,10.0,55.0,20.0,130.0,10.0,380.0,560.0
215395758.0,2153957582.0,20.0,150.0,580.0,20.0,1.0,1999.0,10.0,4.0,55.0,20.0,164.0,10.0,390.0,570.0
215395859.0,2153958593.0,30.0,150.0,590.0,20.0,1.0,1999.0,10.0,4.0,55.0,20.0,180.0,10.0,390.0,580.0
215405960.0,2154059604.0,40.0,150.0,600.0,20.0,0.0,0.0,9.0,10.0,55.0,21.0,174.0,10.0,400.0,590.0
216416061.0,2164160611.0,10.0,160.0,610.0,20.0,2.0,4009.0,2.0,3.0,55.0,11.0,80.5,10.0,410.0,600.0
216416162.0,2164161622.0,20.0,160.0,620.0,20.0,1.0,1999.0,1.0,1.0,55.0,2.0,135.0,10.0,410.0,610.0
216426263.0,2164262633.0,30.0,160.0,630.0,20.0,2.0,3998.0,2.0,2.0,55.0,4.0,94.0,10.0,420.0,620.0
216436364.0,2164363644.0,40.0,160.0,640.0,20.0,1.0,1999.0,1.0,1.0,55.0,2.0,66.0,10.0,430.0,630.0
217446465.0,2174464651.0,10.0,170.0,650.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,200.0,10.0,440.0,640.0
217446566.0,2174465662.0,20.0,170.0,660.0,20.0,0.0,0.0,1.0,0.0,55.0,1.0,171.0,10.0,440.0,650.0
217446667.0,2174466673.0,30.0,170.0,670.0,20.0,1.0,1999.0,3.0,1.0,55.0,5.0,47.0,10.0,440.0,660.0
217456768.0,2174567684.0,40.0,170.0,680.0,20.0,1.0,1999.0,1.0,2.0,55.0,6.0,21.0,10.0,450.0,670.0
318466869.0,3184668691.0,10.0,180.0,690.0,30.0,0.0,0.0,2.0,0.0,55.0,4.0,99.0,10.0,460.0,680.0
318466970.0,3184669702.0,20.0,180.0,700.0,30.0,5.0,9995.0,1.0,0.0,55.0,3.0,45.0,10.0,460.0,690.0
318467071.0,3184670713.0,30.0,180.0,710.0,30.0,2.0,3998.0,4.0,4.0,55.0,8.0,114.0,10.0,460.0,700.0
318467172.0,3184671724.0,40.0,180.0,720.0,30.0,0.0,0.0,1.0,0.0,55.0,2.0,180.0,10.0,460.0,710.0
319477273.0,3194772131.0,10.0,190.0,730.0,30.0,0.0,0.0,5.0,3.0,55.0,13.0,236.0,10.0,470.0,720.0
319477274.0,3197472742.0,20.0,190.0,740.0,30.0,1.0,1999.0,2.0,1.0,55.0,7.0,220.0,10.0,470.0,720.0
319477375.0,3194773753.0,30.0,190.0,750.0,30.0,0.0,0.0,5.0,3.0,55.0,13.0,427.0,10.0,470.0,730.0
319487476.0,3194874764.0,40.0,190.0,760.0,30.0,1.0,1999.0,3.0,2.0,55.0,8.0,221.0,10.0,480.0,740.0
