,Survey_Round,CID,Community,BE_SoNFE,BE_SoNFE_5y,BE_SoNFE_PrmLis,BE_NFE_TimeReg,BE_NFE_TimeReg_5y,BE_NFE_TimePTO,BE_NFE_TimePTO_5y,BE_NFE_Prm_NoA,BE_NFE_PrmNoA_5y,BE_NFE_PTOCost,BE_NFE_PTOCost_5y,BE_NFE_TimeLTO,BE_NFE_TimeLTO_5y,BE_NFE_LisNoA,BE_NFE_LisNoA_5y,BE_AME_Tax,BE_AME_Tax_5y,BE_ASE_Tax,BE_ASE_Tax_5y,BE_ATE_Tax,BE_ATE_Tax_5y,VE_NFE_URP,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,Const_ID,Const_Main,Const_MI,Const_SMI,BO_COC_T,BO_BAAB_T,BO_BAOS_T,BO_COCEst_T,BO_BAABEst_T,BO_BAOSEst_T,BO_COC_LG,BO_BAAB_LG,BO_BAOS_LG,BO_COC_RD,BO_BAAB_RD,BO_BAOS_RD,BO_COC_IOP,BO_BAAB_IOP,BO_BAOS_IOP,BO_COC_CDP,BO_BAAB_CDP,BO_BAOS_CDP,BO_COC_AS,BO_BAAB_AS,BO_BAOS_AS,BO_COC_IOG,BO_BAAB_IOG,BO_BAOS_IOG,BO_COC_IGP,BO_BAAB_IGP,BO_BAOS_IGP,Serv_Name,Serv_EntT,Serv_EntT_FA_y,Serv_Avl_1hrs,Serv_AffEnt,Serv_DemEnt
10,1,103061011,3,500000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1030610113.0,1,3,6,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,103071112,4,1000000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1030711124.0,1,3,7,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,104081213,1,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1040812131.0,1,4,8,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,104081314,2,100000.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1040813142.0,1,4,8,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,104081415,3,500000.0,2.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,15.0,2.0,0.0,1040814153.0,1,4,8,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,104091516,4,5000000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,1040915164.0,1,4,9,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,105101617,1,15000.0,2.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1051016171.0,1,5,10,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,105101718,2,15000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,1.0,1051017182.0,1,5,10,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,105111819,3,25000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1051118193.0,1,5,11,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,105121920,4,30000.0,2.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1051219204.0,1,5,12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,106132021,1,1500000.0,2.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1061320211.0,1,6,13,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,106132122,2,3000000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1061321222.0,1,6,13,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,106142223,3,3000000.0,1.0,0.0,,,,,,,,,,,,,2.0,2.0,,,,,0.0,1061422233.0,1,6,14,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,106142324,4,4000000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1061423244.0,1,6,14,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,107152425,1,50000.0,2.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1071524251.0,1,7,15,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,107162526,2,10000.0,3.0,0.0,,,,,,,,,,,,,,2.0,,2.0,,2.0,,1071625262.0,1,7,16,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,107162627,3,7000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1071626273.0,1,7,16,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,107172728,4,10000.0,2.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1071727284.0,1,7,17,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,108182829,1,100000.0,3.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1081828291.0,1,8,18,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,108192930,2,100000.0,3.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1081929302.0,1,8,19,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,108203031,3,400000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1082030313.0,1,8,20,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,108213132,4,200000.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,1082131324.0,1,8,21,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,109223233,1,70000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,1.0,,0.0,1092232331.0,1,9,22,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,109223334,2,200000.0,1.0,0.0,,,,,,,,,,,,,2.0,3.0,,,,,0.0,1092233342.0,1,9,22,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,109233435,3,3000000.0,2.0,0.0,,,,,,,,,,,,,1.0,3.0,1.7,3.0,1.0,2.0,0.0,1092334353.0,1,9,23,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,109233536,4,1000000.0,2.0,0.0,,,,,,,,,,,,,5.0,2.0,10.0,3.0,0.0,2.0,0.0,1092335364.0,1,9,23,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,110243637,1,6000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1102436371.0,1,10,24,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,110243738,2,35000.0,3.0,0.0,,,,,,,,,,,,,,2.0,,2.0,,2.0,0.0,1102437382.0,1,10,24,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,110243839,3,20000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1102438393.0,1,10,24,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,110253940,4,20000.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1102539404.0,1,10,25,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,111264041,1,80000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1112640411.0,1,11,26,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,111274142,2,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1112741422.0,1,11,27,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,111274243,3,200000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1112742433.0,1,11,27,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,111284344,4,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1112843444.0,1,11,28,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,112294445,1,60000.0,3.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1122944451.0,1,12,29,44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,112304546,2,120000.0,3.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1123045462.0,1,12,30,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,112304647,3,72000.0,2.0,0.0,,,,,,,,,,,,,,2.0,,2.0,,2.0,0.0,1123046473.0,1,12,30,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,112314748,4,240000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1123147484.0,1,12,31,47,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,213324849,1,50000.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,2133248491.0,2,13,32,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,213324950,2,,,0.0,,,,,,,,,,,,,,,,,,,0.0,2133249502.0,2,13,32,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,213324952,3,,,0.0,,,,,,,,,,,,,,,,,,,0.0,2133249523.0,2,13,32,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,213335051,4,35000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2133351514.0,2,13,33,50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,214345253,1,18000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2143452531.0,2,14,34,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,214355354,2,36000.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2143553542.0,2,14,35,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,214365455,3,35000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2143654553.0,2,14,36,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,214375556,4,84000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2143755564.0,2,14,37,55,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,215385657,1,220000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2153856571.0,2,15,38,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,215395758,2,150000.0,3.0,1.0,20.0,2.0,,,,,,,,,,,,,,,,,0.0,2153957582.0,2,15,39,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,215395859,3,80000.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2153958593.0,2,15,39,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,215405960,4,,2.0,0.0,,,,,,,,,,,,,,,,,,,,2154059604.0,2,15,40,59,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,216416061,1,60000.0,2.0,0.0,,,,,,,,,,,,,,2.0,,2.0,,2.0,0.0,2164160611.0,2,16,41,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,216416162,2,,,0.0,,,,,,,,,,,,,,,,,,,,2164161622.0,2,16,41,61,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,216426263,3,,,0.0,,,,,,,,,,,,,,,,,,,,2164262633.0,2,16,42,62,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,216436364,4,36000.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2164363644.0,2,16,43,63,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,217446465,1,24000.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2174464651.0,2,17,44,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,217446566,2,,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2174465662.0,2,17,44,65,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,217446667,3,,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2174466673.0,2,17,44,66,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,217456768,4,,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,2174567684.0,2,17,45,67,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,318466869,1,100000.0,3.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3184668691.0,3,18,46,68,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,318466970,2,200000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,3184669702.0,3,18,46,69,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,318467071,3,200000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3184670713.0,3,18,46,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,318467172,4,,,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3184671724.0,3,18,46,71,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,319477273,1,500000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3194772731.0,3,19,47,72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,319477274,2,1000000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3194772742.0,3,19,47,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,319477375,3,100000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3194773753.0,3,19,47,73,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,319487476,4,50000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,3194874764.0,3,19,48,74,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,4.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,5.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,7.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,14.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,16.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,101010101,1,,,,,,,,,,,,,,,,,,,,,,,1010101011.0,1,1,1,1,1,17.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,5.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,7.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,9.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,11.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,12.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,13.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,14.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,15.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,16.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,101010202,2,,,,,,,,,,,,,,,,,,,,,,,1010102022.0,1,1,1,2,2,17.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,5.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,7.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,101010203,3,,,,,,,,,,,,,,,,,,,,,,,1010102033.0,1,1,1,2,3,12.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
