CID,NA_NoPSM,NA_TNoPPCamp,NA_NoCandM,NA_MaxCampM,NA_MaxCampM_NoR,NA_MaxCampM_DTD,NA_MaxCamp_AdvTV,NA_MaxCamp_AdvBB,NA_MaxCamp_AdvNews,NA_MaxCamp_AdvES,NA_MNA_PP,NA_MNA_NoV,NA_MNA_GroupMeets,NA_ElecFair,NA_MNA_WobM,NA_PPCampaign_PartyCode,NA_PPCampaign,PA_NoPSM,PA_TNoPPCamp,PA_NoCandM,PA_MaxCampM,PA_MaxCampM_NoR,PA_MaxCampM_DTD,PA_MaxCamp_AdvTV,PA_MaxCamp_AdvBB,PA_MaxCamp_AdvNews,PA_MaxCamp_AdvES,PA_MPA_PP,PA_MPA_NoV,PA_MPA_GroupMeets,PA_ElecFair,PA_MPA_WobM,PA_PPCampaign_PartyCode,PA_PPCampaign
215405960,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
318466869,1.0,4.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
214365455,1.0,2.0,0.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
217446667,2.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
104081213,1.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
101020304,1.0,4.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
104081314,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
102030607,1.0,4.0,1.0,6.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
102040708,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
102030506,0.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
106132021,1.0,4.0,1.0,6.0,25.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
112304647,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
103050809,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
105101718,1.0,4.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
110243839,1.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
110243738,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
109233435,2.0,5.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
110253940,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
216416061,3.0,3.0,2.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
216416162,1.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
216426263,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
214375556,1.0,3.0,0.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
318467071,0.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
319477273,2.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
107152425,4.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
319487476,1.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
108203031,1.0,7.0,3.0,15.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
108213132,1.0,6.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
109223233,2.0,7.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
109233536,2.0,6.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
111274142,1.0,7.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
111274243,4.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
106132122,2.0,4.0,1.0,1.0,16.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
319477274,1.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
106142223,1.0,3.0,1.0,6.0,10.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
215385657,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
111264041,5.0,5.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
103060910,1.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
103071112,1.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
213335051,1.0,2.0,0.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
112294445,1.0,4.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
101010203,1.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
103061011,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
101010202,0.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
110243637,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
109223334,1.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
319477375,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
108192930,0.0,9.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
108182829,1.0,7.0,2.0,6.0,3.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
106142324,0.0,4.0,1.0,1.0,15.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
111284344,2.0,6.0,1.0,6.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
105101617,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
216436364,2.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
215395758,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
213324952,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
102030405,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
105111819,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
105121920,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,22.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,24.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,,,,,
107162526,,,,,,,,,,,,,,,,26.0,0.0,,,,,,,,,,,,,,,,,
