CID,FID,Community,D_ID,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_OMM,G_OMM_NoF,G_OMM_NoM,G_OMM_NoT,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_OMM_Tunit,G_PrgmEffC_1y,G_PrgmEffC_5y,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_PrgmM_StillRun,G_Prgm_2007NoHHB,G_Prgm_Decide,G_Prgm_ID,G_Prgm_ILoM,G_Prgm_M,G_Prgm_Name,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,M_ID,P_ID,Survey_Round,T_ID,UC_ID,Unnamed: 0
103061011.0,1030610113.0,9.0,9.0,2.0,9.0,6.0,4.0,6.0,-99.0,5.0,6.0,7.0,4.0,8.0,6.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,PRSP,6.0,4.0,0.0,33.0,3.0,3.0,18.0,30.0,2265.0
103071112.0,1030711124.0,12.0,9.0,2.0,1.0,5.0,5.0,8.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,6.0,5.0,7.0,1.0,0.0,30.0,7.0,6.0,7.0,8.0,4.0,0.0,0.0,2008.0,4.0,0.0,0.0,3.0,1.0,3.0,1.0,Sindh RSP,4.0,6.0,3.0,36.0,3.0,3.0,21.0,33.0,2268.0
104081213.0,1040812131.0,5.0,20.0,5.0,4.0,3.0,-99.0,0.0,0.0,9.0,-99.0,0.0,9.0,4.0,-99.0,9.0,-99.0,0.0,1.0,0.0,50.0,3.0,6.0,7.0,3.0,2.0,0.0,0.0,2009.0,21.0,0.0,0.0,1.0,1.0,2.0,1.0,Sarhad RSP,4.0,3.0,6.0,65.0,5.0,5.0,40.0,60.0,6310.0
104081314.0,1040813142.0,8.0,16.0,3.0,4.0,7.0,-99.0,0.0,0.0,9.0,-99.0,0.0,9.0,4.0,-99.0,9.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,125.0,0.0,0.0,1.0,1.0,1.0,1.0,PPAF,6.0,4.0,3.0,56.0,4.0,4.0,32.0,52.0,4298.0
104081415.0,1040814153.0,12.0,16.0,2.0,4.0,5.0,7.0,5.0,-99.0,2.0,6.0,9.0,4.0,-99.0,0.0,9.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4003.0,150.0,0.0,30.0,2.0,13.0,5.0,2.0,"AKRSP, Aurat Foundation",9.0,10.0,3.0,60.0,4.0,4.0,32.0,56.0,2524.0
104091516.0,1040915164.0,36.0,36.0,2.0,4.0,5.0,-99.0,0.0,0.0,2.0,1.0,-99.0,4.0,-99.0,0.0,2.0,-99.0,0.0,1.0,5.0,20.0,7.0,4.0,3.0,6.0,1.0,3.0,5.0,6003.0,190.0,1.0,60.0,10.0,15.0,8.0,3.0,"Edhi Foundation, Khushal Pakistan, BISP",9.0,17.0,15.0,144.0,9.0,9.0,81.0,135.0,10883.0
105101617.0,1051016171.0,3.0,15.0,4.0,6.0,5.0,4.0,-99.0,0.0,2.0,8.0,-99.0,8.0,-99.0,0.0,1.0,8.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,15.0,1.0,0.0,4.0,1.0,3.0,1.0,Watan Card,4.0,6.0,9.0,51.0,3.0,3.0,30.0,48.0,2293.0
105101718.0,1051017182.0,6.0,15.0,4.0,2.0,6.0,4.0,3.0,5.0,4.0,1.0,8.0,5.0,8.0,9.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRSP,0.0,0.0,0.0,54.0,3.0,3.0,30.0,51.0,2296.0
105111819.0,1051118193.0,9.0,15.0,4.0,6.0,7.0,5.0,4.0,3.0,1.0,4.0,8.0,8.0,5.0,9.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,PRSP,0.0,0.0,0.0,57.0,3.0,3.0,33.0,54.0,2299.0
105121920.0,1051219204.0,20.0,25.0,5.0,2.0,6.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,9.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,20.0,0.0,0.0,3.0,1.0,2.0,1.0,Sindh RSP,6.0,3.0,4.0,100.0,5.0,5.0,60.0,95.0,6369.0
106132021.0,1061320211.0,3.0,18.0,7.0,4.0,6.0,4.0,7.0,3.0,7.0,8.0,4.0,8.0,7.0,9.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sarhad RSP,0.0,0.0,0.0,63.0,3.0,3.0,39.0,60.0,2307.0
106132122.0,1061321222.0,6.0,18.0,3.0,4.0,2.0,6.0,4.0,3.0,8.0,4.0,5.0,4.0,2.0,8.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PPAF,0.0,0.0,0.0,66.0,3.0,3.0,39.0,63.0,2310.0
106142223.0,1061422233.0,12.0,24.0,4.0,6.0,7.0,10.0,6.0,5.0,2.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.0,40.0,0.0,0.0,8.0,3.0,6.0,2.0,"AKRSP, Aurat Foundation",17.0,7.0,0.0,92.0,4.0,4.0,56.0,88.0,2568.0
106142324.0,1061423244.0,12.0,18.0,3.0,1.0,4.0,4.0,3.0,6.0,5.0,4.0,2.0,8.0,9.0,7.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,15.0,0.0,0.0,4.0,2.0,3.0,1.0,Edhi Foundation,5.0,11.0,0.0,72.0,3.0,3.0,42.0,69.0,2317.0
107152425.0,1071524251.0,3.0,21.0,2.0,11.0,4.0,4.0,3.0,5.0,4.0,5.0,8.0,4.0,5.0,8.0,4.0,8.0,6.0,1.0,0.0,30.0,6.0,4.0,8.0,6.0,5.0,0.0,0.0,2010.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,Khushal Pakistan,6.0,4.0,0.0,75.0,3.0,3.0,45.0,72.0,2320.0
107162526.0,1071625262.0,6.0,21.0,6.0,2.0,4.0,4.0,5.0,-99.0,4.0,5.0,8.0,4.0,5.0,8.0,4.0,7.0,8.0,1.0,0.0,50.0,6.0,6.0,4.0,8.0,3.0,3.0,0.0,2011.0,20.0,0.0,0.0,1.0,1.0,3.0,1.0,BISP,3.0,6.0,0.0,78.0,3.0,3.0,48.0,75.0,2323.0
107162627.0,1071626273.0,9.0,21.0,2.0,4.0,6.0,2.0,4.0,-99.0,7.0,4.0,-99.0,7.0,4.0,-99.0,2.0,4.0,-99.0,1.0,0.0,100.0,3.0,6.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watan Card,0.0,0.0,0.0,81.0,3.0,3.0,48.0,78.0,2326.0
107172728.0,1071727284.0,20.0,35.0,1.0,4.0,5.0,4.0,5.0,-99.0,4.0,8.0,-99.0,4.0,2.0,-99.0,8.0,2.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6031.0,253.0,0.0,0.0,5.0,6.0,8.0,3.0,"NRSP, PRSP, Sindh RSP",15.0,12.0,14.0,140.0,5.0,5.0,85.0,135.0,2852.0
108182829.0,1081828291.0,4.0,32.0,3.0,4.0,8.0,4.0,3.0,-99.0,4.0,3.0,5.0,8.0,4.0,-99.0,5.0,4.0,-99.0,1.0,0.0,30.0,7.0,7.0,6.0,8.0,3.0,0.0,4.0,4017.0,30.0,0.0,0.0,7.0,4.0,6.0,2.0,"Sarhad RSP, PPAF",10.0,9.0,9.0,116.0,4.0,4.0,72.0,112.0,2598.0
108192930.0,1081929302.0,8.0,32.0,2.0,3.0,4.0,4.0,-99.0,0.0,4.0,8.0,-99.0,4.0,2.0,-99.0,4.0,2.0,-99.0,1.0,0.0,50.0,3.0,6.0,4.0,7.0,1.0,0.0,1.0,4018.0,33.0,1.0,0.0,3.0,4.0,6.0,2.0,"AKRSP, Aurat Foundation",7.0,7.0,0.0,120.0,4.0,4.0,76.0,116.0,2604.0
108203031.0,1082030313.0,12.0,32.0,2.0,4.0,0.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,0.0,50.0,7.0,6.0,7.0,0.0,3.0,0.0,3.0,4016.0,40.0,0.0,0.0,6.0,4.0,6.0,2.0,"Edhi Foundation, Khushal Pakistan",10.0,7.0,3.0,124.0,4.0,4.0,80.0,120.0,2610.0
108213132.0,1082131324.0,28.0,56.0,2.0,4.0,0.0,4.0,3.0,5.0,1.0,8.0,9.0,8.0,1.0,5.0,1.0,8.0,4.0,1.0,0.0,50.0,7.0,6.0,4.0,0.0,3.0,2.0,4.0,4019.0,32.0,0.0,0.0,2.0,4.0,3.0,2.0,"BISP, Watan Card",10.0,6.0,0.0,224.0,7.0,7.0,147.0,217.0,8760.0
109223233.0,1092232331.0,4.0,36.0,11.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,-99.0,1.0,0.0,25.0,7.0,6.0,7.0,0.0,5.0,0.0,0.0,4005.0,28.0,1.0,0.0,4.0,4.0,5.0,2.0,"NRSP, PRSP",9.0,10.0,8.0,132.0,4.0,4.0,88.0,128.0,2625.0
109223334.0,1092233342.0,20.0,90.0,2.0,3.0,11.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,1.0,2.0,10.0,3.0,2.0,1.0,7.0,2.0,0.0,0.0,4020.0,25.0,0.0,0.0,2.0,4.0,4.0,2.0,"Sindh RSP, Sarhad RSP",6.0,11.0,7.0,340.0,10.0,10.0,220.0,330.0,14958.0
109233435.0,1092334353.0,12.0,36.0,4.0,2.0,9.0,9.0,2.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,2.0,8.0,1.0,0.0,5.0,7.0,8.0,1.0,6.0,1.0,0.0,0.0,2011.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,PPAF,6.0,4.0,3.0,140.0,4.0,4.0,92.0,136.0,4426.0
109233536.0,1092335364.0,20.0,45.0,9.0,7.0,2.0,8.0,1.0,2.0,9.0,8.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,7.0,5.0,3.0,4.0,7.0,1.0,0.0,0.0,2011.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,AKRSP,6.0,4.0,0.0,180.0,5.0,5.0,115.0,175.0,6494.0
110243637.0,1102436371.0,3.0,30.0,4.0,6.0,8.0,2.0,3.0,7.0,1.0,4.0,5.0,8.0,4.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,12.0,0.0,0.0,4.0,1.0,1.0,1.0,Aurat Foundation,6.0,4.0,9.0,111.0,3.0,3.0,72.0,108.0,2376.0
110243738.0,1102437382.0,8.0,40.0,4.0,3.0,7.0,4.0,3.0,1.0,1.0,4.0,2.0,7.0,9.0,8.0,8.0,7.0,9.0,1.0,0.0,25.0,3.0,6.0,3.0,8.0,1.0,0.0,2.0,4019.0,115.0,1.0,0.0,5.0,4.0,2.0,2.0,"Edhi Foundation, Khushal Pakistan",10.0,8.0,5.0,152.0,4.0,4.0,96.0,148.0,2658.0
110243839.0,1102438393.0,12.0,40.0,4.0,3.0,8.0,2.0,6.0,8.0,8.0,5.0,4.0,3.0,4.0,8.0,8.0,7.0,6.0,1.0,0.0,15.0,3.0,6.0,8.0,0.0,5.0,2.0,4.0,4020.0,114.0,0.0,0.0,2.0,4.0,2.0,2.0,"BISP, Watan Card",12.0,7.0,3.0,156.0,4.0,4.0,96.0,152.0,2664.0
110253940.0,1102539404.0,12.0,30.0,2.0,4.0,3.0,4.0,5.0,6.0,2.0,4.0,5.0,2.0,3.0,5.0,2.0,5.0,6.0,1.0,1.0,4.0,2.0,6.0,8.0,4.0,2.0,3.0,0.0,2009.0,40.0,0.0,0.0,2.0,1.0,1.0,1.0,NRSP,6.0,4.0,2.0,120.0,3.0,3.0,75.0,117.0,2387.0
111264041.0,1112640411.0,4.0,44.0,4.0,7.0,6.0,4.0,3.0,1.0,2.0,4.0,-99.0,4.0,2.0,8.0,2.0,8.0,6.0,1.0,0.0,40.0,7.0,4.0,6.0,2.0,3.0,0.0,3.0,2010.0,110.0,1.0,0.0,6.0,5.0,5.0,2.0,"PRSP, Sindh RSP",7.0,6.0,3.0,164.0,4.0,4.0,104.0,160.0,2674.0
111274142.0,1112741422.0,8.0,44.0,2.0,5.0,7.0,3.0,4.0,5.0,5.0,7.0,-99.0,4.0,2.0,8.0,2.0,5.0,6.0,1.0,0.0,50.0,7.0,6.0,7.0,8.0,1.0,0.0,5.0,4016.0,20.0,1.0,0.0,2.0,4.0,7.0,2.0,"Sarhad RSP, PPAF",12.0,3.0,0.0,168.0,4.0,4.0,108.0,164.0,2680.0
111274243.0,1112742433.0,15.0,55.0,4.0,2.0,5.0,2.0,5.0,8.0,2.0,5.0,6.0,6.0,2.0,4.0,5.0,4.0,2.0,1.0,0.0,20.0,7.0,4.0,6.0,7.0,1.0,0.0,0.0,2009.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,AKRSP,6.0,0.0,0.0,215.0,5.0,5.0,135.0,210.0,6539.0
111284344.0,1112843444.0,16.0,44.0,2.0,4.0,7.0,10.0,2.0,6.0,2.0,1.0,8.0,5.0,8.0,6.0,2.0,5.0,8.0,1.0,0.0,20.0,7.0,7.0,6.0,8.0,1.0,0.0,3.0,2010.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,Aurat Foundation,4.0,6.0,0.0,176.0,4.0,4.0,112.0,172.0,4476.0
112294445.0,1122944451.0,3.0,36.0,7.0,6.0,2.0,10.0,6.0,7.0,2.0,8.0,6.0,5.0,8.0,7.0,8.0,2.0,6.0,1.0,0.0,60.0,5.0,7.0,6.0,8.0,1.0,0.0,0.0,2012.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,Edhi Foundation,6.0,3.0,4.0,135.0,3.0,3.0,87.0,132.0,2407.0
112304546.0,1123045462.0,6.0,36.0,2.0,6.0,5.0,10.0,6.0,7.0,2.0,5.0,6.0,5.0,4.0,9.0,2.0,5.0,8.0,1.0,0.0,50.0,4.0,6.0,7.0,8.0,4.0,4.0,0.0,2011.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,Khushal Pakistan,6.0,4.0,3.0,138.0,3.0,3.0,90.0,135.0,2410.0
112304647.0,1123046473.0,12.0,48.0,10.0,6.0,7.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,1.0,0.0,50.0,4.0,6.0,7.0,8.0,1.0,2.0,0.0,2010.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,BISP,4.0,6.0,0.0,188.0,4.0,4.0,120.0,184.0,4490.0
112314748.0,1123147484.0,16.0,48.0,7.0,6.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,100.0,4.0,7.0,6.0,3.0,2.0,0.0,0.0,2011.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,Watan Card,6.0,4.0,3.0,192.0,4.0,4.0,124.0,188.0,4496.0
213324849.0,2133248491.0,4.0,52.0,4.0,3.0,7.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4015.0,52.0,0.0,0.0,2.0,4.0,4.0,2.0,"NRSP, PRSP",11.0,12.0,10.0,196.0,8.0,4.0,128.0,192.0,2715.0
213324950.0,2133249502.0,6.0,39.0,2.0,4.0,5.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,Sindh RSP,4.0,6.0,0.0,150.0,6.0,3.0,96.0,147.0,2425.0
213324952.0,2133249523.0,9.0,39.0,10.0,2.0,4.0,8.0,9.0,-99.0,8.0,6.0,9.0,8.0,9.0,6.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,Sarhad RSP,4.0,6.0,0.0,156.0,6.0,3.0,96.0,147.0,2428.0
213335051.0,2133351514.0,16.0,52.0,4.0,2.0,5.0,-99.0,0.0,0.0,5.0,6.0,8.0,5.0,6.0,7.0,5.0,6.0,8.0,1.0,0.0,12.0,3.0,6.0,2.0,7.0,2.0,0.0,0.0,2009.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0,PPAF,4.0,6.0,3.0,204.0,8.0,4.0,132.0,200.0,4515.0
214345253.0,2143452531.0,3.0,42.0,2.0,5.0,12.0,-99.0,0.0,0.0,8.0,6.0,5.0,8.0,6.0,9.0,8.0,6.0,5.0,1.0,0.0,70.0,4.0,1.0,4.0,7.0,8.0,0.0,0.0,2010.0,11.0,0.0,0.0,2.0,1.0,3.0,1.0,AKRSP,4.0,6.0,1.0,159.0,6.0,3.0,102.0,156.0,2435.0
214355354.0,2143553542.0,14.0,98.0,4.0,2.0,1.0,4.0,10.0,3.0,2.0,8.0,6.0,2.0,8.0,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6031.0,138.0,2.0,0.0,7.0,11.0,10.0,3.0,"Aurat Foundation, Edhi Foundation, Khushal Pakistan",23.0,12.0,13.0,378.0,14.0,7.0,245.0,371.0,7214.0
214365455.0,2143654553.0,15.0,70.0,4.0,3.0,2.0,4.0,3.0,7.0,2.0,6.0,8.0,2.0,6.0,8.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4020.0,50.0,0.0,0.0,4.0,3.0,6.0,2.0,"BISP, Watan Card",5.0,9.0,12.0,275.0,10.0,5.0,180.0,270.0,4838.0
214375556.0,2143755564.0,28.0,98.0,2.0,4.0,5.0,3.0,4.0,10.0,4.0,6.0,8.0,8.0,6.0,-99.0,6.0,8.0,9.0,1.0,0.0,25.0,3.0,3.0,7.0,1.0,1.0,0.0,0.0,4021.0,85.0,0.0,0.0,5.0,3.0,5.0,2.0,"NRSP, PRSP",12.0,7.0,9.0,392.0,14.0,7.0,259.0,385.0,9034.0
215385657.0,2153856571.0,6.0,90.0,2.0,5.0,3.0,10.0,4.0,3.0,5.0,8.0,9.0,5.0,6.0,8.0,5.0,6.0,8.0,1.0,0.0,100.0,7.0,4.0,6.0,1.0,3.0,0.0,0.0,4019.0,300.0,1.0,0.0,2.0,3.0,2.0,2.0,"Sindh RSP, Sarhad RSP",2.0,4.0,8.0,342.0,12.0,6.0,228.0,336.0,6957.0
215395758.0,2153957582.0,16.0,120.0,2.0,5.0,8.0,10.0,4.0,-99.0,2.0,8.0,-99.0,2.0,4.0,-99.0,7.0,8.0,-99.0,1.0,0.0,300.0,3.0,1.0,2.0,7.0,3.0,0.0,0.0,4019.0,400.0,1.0,0.0,2.0,3.0,2.0,2.0,"PPAF, AKRSP",10.0,17.0,7.0,464.0,16.0,8.0,312.0,456.0,11174.0
215395859.0,2153958593.0,15.0,75.0,5.0,2.0,8.0,7.0,-99.0,0.0,2.0,7.0,8.0,5.0,8.0,-99.0,8.0,6.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.0,300.0,1.0,0.0,2.0,3.0,2.0,2.0,"Aurat Foundation, Edhi Foundation",17.0,9.0,9.0,295.0,10.0,5.0,195.0,290.0,4886.0
215405960.0,2154059604.0,16.0,60.0,2.0,5.0,4.0,6.0,3.0,-99.0,2.0,4.0,-99.0,4.0,2.0,-99.0,7.0,8.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4020.0,100.0,0.0,0.0,2.0,3.0,3.0,2.0,"Khushal Pakistan, BISP",17.0,10.0,7.0,240.0,8.0,4.0,160.0,236.0,2789.0
216416061.0,2164160611.0,7.0,112.0,7.0,4.0,5.0,-99.0,0.0,0.0,2.0,5.0,-99.0,2.0,4.0,-99.0,2.0,8.0,-99.0,1.0,0.0,10.0,7.0,1.0,2.0,4.0,5.0,0.0,0.0,4021.0,250.0,0.0,0.0,2.0,3.0,4.0,2.0,"Watan Card, NRSP",14.0,7.0,6.0,427.0,14.0,7.0,287.0,420.0,9119.0
216416162.0,2164161622.0,6.0,48.0,2.0,5.0,3.0,2.0,5.0,-99.0,5.0,7.0,-99.0,7.0,8.0,-99.0,8.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6.0,0.0,0.0,1.0,2.0,3.0,1.0,PRSP,11.0,9.0,0.0,186.0,6.0,3.0,123.0,183.0,2487.0
216426263.0,2164262633.0,12.0,64.0,2.0,7.0,5.0,4.0,7.0,-99.0,2.0,-99.0,0.0,4.0,8.0,-99.0,4.0,8.0,-99.0,1.0,0.0,50.0,7.0,6.0,7.0,0.0,3.0,0.0,0.0,2010.0,5.0,0.0,0.0,1.0,2.0,4.0,1.0,Sindh RSP,11.0,6.0,9.0,252.0,8.0,4.0,168.0,248.0,4602.0
216436364.0,2164363644.0,20.0,80.0,7.0,2.0,5.0,4.0,5.0,-99.0,4.0,5.0,-99.0,4.0,5.0,8.0,4.0,-99.0,0.0,1.0,0.0,50.0,7.0,6.0,7.0,0.0,5.0,0.0,0.0,6033.0,53.0,0.0,0.0,3.0,11.0,8.0,3.0,"Sarhad RSP, PPAF, AKRSP",26.0,12.0,18.0,320.0,10.0,5.0,215.0,315.0,3133.0
