CID,Community,D_ID,FID,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_OMM,G_OMM_NoF,G_OMM_NoM,G_OMM_NoT,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_OMM_Tunit,G_PrgmEffC_1y,G_PrgmEffC_5y,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_PrgmM_StillRun,G_Prgm_2007NoHHB,G_Prgm_Decide,G_Prgm_ID,G_Prgm_ILoM,G_Prgm_M,G_Prgm_Name,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,M_ID,P_ID,Survey_Round,T_ID,UC_ID,Unnamed: 0
104081415.0,12.0,16.0,4163256612.0,16.0,17.0,10.0,7.0,5.0,-99.0,2.0,6.0,9.0,4.0,-99.0,0.0,9.0,-99.0,0.0,1.0,0.0,50.0,6.0,6.0,8.0,0.0,7.0,8.0,2.0,9947.0,258.0,1.0,30.0,3.0,159.0,8.0,7.0,"AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, PPAF (AND PROGRAM FUNDED UNDER, KHUSHAL PAKISTAN, AURAT FOUNDATION, SARHAD RSP, SINDH RSP, WATAN CARD",13.0,16.0,3.0,60.0,4.0,4.0,32.0,56.0,74592.0
104091516.0,36.0,36.0,9368236476.0,11.0,-91.0,12.0,-99.0,0.0,0.0,2.0,1.0,-99.0,4.0,-99.0,0.0,2.0,-99.0,0.0,2.0,5.0,50.0,19.0,10.0,10.0,14.0,4.0,6.0,5.0,12026.0,646.0,4.0,60.0,14.0,159.0,13.0,7.0,"Edhi Foundation, Khushal Pakistan, BISP, AKRSP, Aurat Foundation, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, EDHI FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER, SARHAD RSP, WATAN CARD, SINDH RSP, KHUSHAL PAKISTAN",33.0,33.0,17.0,144.0,9.0,9.0,81.0,135.0,82557.0
105101617.0,3.0,15.0,3153048513.0,10.0,-88.0,5.0,4.0,-99.0,0.0,2.0,8.0,-99.0,8.0,-99.0,0.0,1.0,8.0,-99.0,2.0,-99.0,65.0,5.0,16.0,12.0,14.0,9.0,6.0,0.0,6030.0,80.0,3.0,0.0,5.0,133.0,4.0,3.0,"Watan Card, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, AURAT FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER, EDHI FOUNDATION, SARHAD RSP, KHUSHAL PAKISTAN, SINDH RSP",8.0,12.0,18.0,51.0,3.0,3.0,30.0,48.0,73887.0
105101718.0,6.0,15.0,3153051546.0,12.0,6.0,7.0,4.0,3.0,5.0,4.0,1.0,8.0,5.0,8.0,9.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2010.0,45.0,2.0,0.0,0.0,132.0,0.0,1.0,"NRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, AURAT FOUNDATION, WATAN CARD, SINDH RSP, KHUSHAL PAKISTAN, SARHAD RSP",0.0,0.0,0.0,54.0,3.0,3.0,30.0,51.0,74319.0
105111819.0,9.0,15.0,3153354579.0,10.0,9.0,8.0,5.0,4.0,3.0,1.0,4.0,8.0,8.0,5.0,9.0,2.0,4.0,8.0,1.0,0.0,20.0,3.0,6.0,7.0,8.0,5.0,4.0,0.0,4022.0,41.0,1.0,0.0,1.0,132.0,2.0,2.0,"PRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, EDHI FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER, SARHAD RSP, AURAT FOUNDATION, SINDH RSP, WATAN CARD",6.0,4.0,9.0,57.0,3.0,3.0,33.0,54.0,74751.0
105121920.0,20.0,25.0,5256096020.0,14.0,6.0,13.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,9.0,5.0,4.0,9.0,1.0,-99.0,20.0,1.0,3.0,-99.0,0.0,6.0,7.0,0.0,3977.0,77.0,2.0,0.0,8.0,133.0,5.0,4.0,"Sindh RSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sarhad RSP, PPAF, AKRSP, PPAF (AND PROGRAM FUNDED UNDER, KHUSHAL PAKISTAN, EDHI FOUNDATION, WATAN CARD, SARHAD RSP, AURAT FOUNDATION, SINDH RSP",10.0,8.0,10.0,100.0,5.0,5.0,60.0,95.0,79250.0
106132021.0,3.0,18.0,3183960633.0,12.0,17.0,14.0,4.0,7.0,3.0,7.0,8.0,4.0,8.0,7.0,9.0,4.0,5.0,8.0,1.0,0.0,17.0,4.0,6.0,7.0,8.0,7.0,4.0,0.0,2013.0,40.0,1.0,0.0,4.0,132.0,3.0,2.0,"Sarhad RSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, PPAF, AKRSP, EDHI FOUNDATION, KHUSHAL PAKISTAN, AURAT FOUNDATION, SARHAD RSP, PPAF (AND PROGRAM FUNDED UNDER, WATAN CARD, SINDH RSP",6.0,4.0,9.0,63.0,3.0,3.0,39.0,60.0,75617.0
106132122.0,6.0,18.0,3183963666.0,8.0,9.0,12.0,6.0,4.0,3.0,8.0,4.0,5.0,4.0,2.0,8.0,9.0,8.0,4.0,1.0,0.0,30.0,1.0,6.0,8.0,7.0,2.0,4.0,0.0,2011.0,20.0,1.0,0.0,0.0,132.0,0.0,1.0,"PPAF, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, AKRSP, KHUSHAL PAKISTAN, EDHI FOUNDATION, WATAN CARD, SINDH RSP",0.0,0.0,0.0,66.0,3.0,3.0,39.0,63.0,76049.0
106142223.0,12.0,24.0,4245688932.0,11.0,14.0,17.0,10.0,6.0,5.0,2.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10005.0,125.0,1.0,0.0,16.0,135.0,11.0,6.0,"AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, PPAF (AND PROGRAM FUNDED UNDER, SARHAD RSP, AURAT FOUNDATION, EDHI FOUNDATION, KHUSHAL PAKISTAN",32.0,13.0,3.0,92.0,4.0,4.0,56.0,88.0,76736.0
106142324.0,12.0,18.0,3184269732.0,10.0,8.0,14.0,4.0,3.0,6.0,5.0,4.0,2.0,8.0,9.0,7.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8040.0,60.0,2.0,0.0,9.0,134.0,8.0,4.0,"Edhi Foundation, Aurat Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, WATAN CARD, SINDH RSP, AURAT FOUNDATION, KHUSHAL PAKISTAN, EDHI FOUNDATION, SARHAD RSP",22.0,15.0,3.0,72.0,3.0,3.0,42.0,69.0,76914.0
107152425.0,3.0,21.0,3214572753.0,10.0,23.0,10.0,4.0,3.0,5.0,4.0,5.0,8.0,4.0,5.0,8.0,4.0,8.0,6.0,2.0,-99.0,230.0,8.0,8.0,11.0,-93.0,11.0,3.0,0.0,8043.0,1550.0,1.0,0.0,23.0,133.0,10.0,7.0,"Khushal Pakistan, Aurat Foundation, Edhi Foundation, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, PPAF (AND PROGRAM FUNDED UNDER, SINDH RSP, AURAT FOUNDATION, SARHAD RSP, WATAN CARD, EDHI FOUNDATION, KHUSHAL PAKISTAN",39.0,29.0,26.0,75.0,3.0,3.0,45.0,72.0,77346.0
107152627.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6026.0,515.0,2.0,0.0,6.0,66.0,7.0,3.0,"Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP",20.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,33640.0
107162526.0,6.0,21.0,3214875786.0,12.0,10.0,13.0,4.0,5.0,-99.0,4.0,5.0,8.0,4.0,5.0,8.0,4.0,7.0,8.0,2.0,-99.0,140.0,10.0,10.0,10.0,11.0,9.0,5.0,0.0,6033.0,130.0,1.0,0.0,2.0,133.0,5.0,3.0,"BISP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, PPAF (AND PROGRAM FUNDED UNDER, AURAT FOUNDATION, WATAN CARD, KHUSHAL PAKISTAN, SARHAD RSP, EDHI FOUNDATION",9.0,10.0,3.0,78.0,3.0,3.0,48.0,75.0,78021.0
107162627.0,9.0,21.0,3214878819.0,2.0,4.0,6.0,2.0,4.0,-99.0,7.0,4.0,-99.0,7.0,4.0,-99.0,2.0,4.0,-99.0,1.0,0.0,100.0,3.0,6.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watan Card,0.0,0.0,0.0,81.0,3.0,3.0,48.0,78.0,2326.0
107172728.0,20.0,35.0,5358636420.0,2.0,9.0,15.0,4.0,5.0,-99.0,4.0,8.0,-99.0,4.0,2.0,-99.0,8.0,2.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12054.0,523.0,2.0,0.0,9.0,72.0,11.0,6.0,"NRSP, PRSP, Sindh RSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, Sarhad RSP, PPAF, AKRSP",35.0,23.0,27.0,140.0,5.0,5.0,85.0,135.0,36978.0
108182829.0,4.0,32.0,4327313164.0,14.0,6.0,-91.0,4.0,3.0,-99.0,4.0,3.0,5.0,8.0,4.0,-99.0,5.0,4.0,-99.0,3.0,-99.0,120.0,21.0,18.0,20.0,18.0,11.0,1.0,4.0,10044.0,60.0,2.0,0.0,12.0,136.0,10.0,5.0,"Sarhad RSP, PPAF, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, AKRSP, SINDH RSP, AURAT FOUNDATION, WATAN CARD, KHUSHAL PAKISTAN",16.0,9.0,9.0,116.0,4.0,4.0,72.0,112.0,78968.0
108192930.0,8.0,32.0,4327717208.0,10.0,16.0,-95.0,4.0,-99.0,0.0,4.0,8.0,-99.0,4.0,2.0,-99.0,4.0,2.0,-99.0,3.0,10.0,130.0,43.0,16.0,14.0,15.0,8.0,2.0,1.0,10045.0,103.0,2.0,0.0,11.0,136.0,12.0,6.0,"AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, SARHAD RSP, PPAF (AND PROGRAM FUNDED UNDER, EDHI FOUNDATION, SINDH RSP, WATAN CARD, KHUSHAL PAKISTAN",16.0,7.0,0.0,120.0,4.0,4.0,76.0,116.0,79403.0
108203031.0,12.0,32.0,4328121252.0,9.0,21.0,2.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,2.0,-99.0,70.0,9.0,12.0,15.0,-99.0,9.0,2.0,3.0,10043.0,100.0,1.0,0.0,11.0,136.0,10.0,5.0,"Edhi Foundation, Khushal Pakistan, Aurat Foundation, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, PPAF (AND PROGRAM FUNDED UNDER, AURAT FOUNDATION, KHUSHAL PAKISTAN, SARHAD RSP, SINDH RSP, WATAN CARD",13.0,7.0,3.0,124.0,4.0,4.0,80.0,120.0,79838.0
108213132.0,28.0,56.0,7574919268.0,10.0,14.0,-99.0,4.0,3.0,5.0,1.0,8.0,9.0,8.0,1.0,5.0,1.0,8.0,4.0,2.0,-99.0,70.0,13.0,12.0,12.0,-99.0,6.0,5.0,4.0,7994.0,92.0,1.0,0.0,7.0,136.0,6.0,5.0,"BISP, Watan Card, Aurat Foundation, Edhi Foundation, Khushal Pakistan, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, EDHI FOUNDATION, SINDH RSP, AURAT FOUNDATION, SARHAD RSP, KHUSHAL PAKISTAN",16.0,6.0,0.0,224.0,7.0,7.0,147.0,217.0,86417.0
109223233.0,4.0,36.0,4368929324.0,22.0,8.0,12.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,-99.0,1.0,0.0,25.0,7.0,6.0,7.0,0.0,5.0,3.0,0.0,8015.0,75.0,3.0,0.0,5.0,136.0,8.0,4.0,"NRSP, PRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, Sindh RSP, Sarhad RSP, PPAF, AKRSP, PPAF (AND PROGRAM FUNDED UNDER, WATAN CARD, EDHI FOUNDATION, SARHAD RSP, SINDH RSP, AURAT FOUNDATION",13.0,13.0,10.0,132.0,4.0,4.0,88.0,128.0,80711.0
109223334.0,20.0,90.0,10922333420.0,8.0,15.0,22.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,2.0,25.0,5.0,8.0,8.0,15.0,5.0,3.0,0.0,8040.0,60.0,3.0,0.0,3.0,136.0,8.0,4.0,"Sindh RSP, Sarhad RSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, PPAF, AKRSP, KHUSHAL PAKISTAN, PPAF (AND PROGRAM FUNDED UNDER, AURAT FOUNDATION, SINDH RSP, EDHI FOUNDATION, WATAN CARD",10.0,14.0,13.0,340.0,10.0,10.0,220.0,330.0,93473.0
109233435.0,12.0,36.0,4369337412.0,7.0,14.0,16.0,9.0,2.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,2.0,8.0,2.0,0.0,20.0,11.0,11.0,7.0,14.0,7.0,2.0,0.0,6032.0,17.0,1.0,0.0,2.0,133.0,7.0,3.0,"PPAF, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, AKRSP, SARHAD RSP, PPAF (AND PROGRAM FUNDED UNDER, WATAN CARD, KHUSHAL PAKISTAN, EDHI FOUNDATION, AURAT FOUNDATION",12.0,7.0,4.0,140.0,4.0,4.0,92.0,136.0,83370.0
109233536.0,20.0,45.0,5461676820.0,15.0,21.0,17.0,8.0,1.0,2.0,9.0,8.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,22.0,10.0,12.0,10.0,15.0,7.0,4.0,0.0,6032.0,22.0,2.0,0.0,5.0,133.0,7.0,3.0,"AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, SINDH RSP, WATAN CARD, EDHI FOUNDATION, AURAT FOUNDATION, KHUSHAL PAKISTAN",10.0,10.0,1.0,180.0,5.0,5.0,115.0,175.0,85867.0
110243637.0,3.0,30.0,3307309113.0,10.0,15.0,-81.0,2.0,3.0,7.0,1.0,4.0,5.0,8.0,4.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10037.0,1012.0,1.0,0.0,8.0,133.0,4.0,5.0,"Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, SARHAD RSP, PPAF (AND PROGRAM FUNDED UNDER, AURAT FOUNDATION, SINDH RSP, WATAN CARD, EDHI FOUNDATION",16.0,13.0,16.0,111.0,3.0,3.0,72.0,108.0,82178.0
110243738.0,8.0,40.0,4409749528.0,23.0,7.0,17.0,4.0,3.0,1.0,1.0,4.0,2.0,7.0,9.0,8.0,8.0,7.0,9.0,2.0,0.0,55.0,4.0,13.0,11.0,17.0,7.0,7.0,2.0,10053.0,255.0,3.0,0.0,7.0,136.0,4.0,5.0,"Edhi Foundation, Khushal Pakistan, Aurat Foundation, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, KHUSHAL PAKISTAN, Khashif foundation, SARHAD RSP, WATAN CARD, PPAF (AND PROGRAM FUNDED UNDER",22.0,19.0,8.0,152.0,4.0,4.0,96.0,148.0,82889.0
